id,phase_id,symmetry_phase_id,type
1,1,2,1
2,1,1,2
3,1,2,3
4,2,1,1
5,2,2,2
6,2,1,3
7,3,4,1
8,3,3,2
9,3,4,3
10,4,3,1
11,4,4,2
12,4,3,3
13,5,6,1
14,5,7,2
15,5,8,3
16,6,7,1
17,6,8,2
18,6,5,3
19,7,8,1
20,7,5,2
21,7,6,3
22,8,5,1
23,8,6,2
24,8,7,3
25,9,10,1
26,9,11,2
27,9,12,3
28,10,11,1
29,10,12,2
30,10,9,3
31,11,12,1
32,11,9,2
33,11,10,3
34,12,9,1
35,12,10,2
36,12,11,3
37,13,14,1
38,13,15,2
39,13,16,3
40,14,15,1
41,14,16,2
42,14,13,3
43,15,16,1
44,15,13,2
45,15,14,3
46,16,13,1
47,16,14,2
48,16,15,3
49,17,17,1
50,17,17,2
51,17,17,3
