id,method,layout,inflow,intersection,queue_avg,queue_max,delay_avg,delay_max,speed_avg,num_phase_changes,reward
1,SCOOT,7-4-1,balanced_500,1,12.278884462151394,26.865219123505977,9.766754385964912,39.12206140350878,24.07800796812749,43,
2,SCOOT,7-4-1,balanced_500,2,13.474103585657371,29.791274900398406,9.95295918367347,35.611479591836726,24.522788844621516,33,
3,SCOOT,7-4-1,balanced_500,3,11.194860557768923,26.519282868525895,6.2551658767772516,27.721421800947866,25.0505577689243,42,
4,SCOOT,7-4-1,balanced_500,4,11.811035856573705,22.245179282868527,10.550824742268041,37.23969072164948,23.714661354581672,42,
5,SCOOT,7-4-1,balanced_500,5,15.642031872509959,29.194462151394422,11.000512820512823,37.867384615384616,21.056454183266933,41,
6,SCOOT,7-4-1,balanced_500,6,9.641354581673307,20.703266932270918,7.372616822429908,32.69551401869159,26.947689243027888,43,
7,SCOOT,7-4-1,balanced_500,7,13.457609561752989,30.13266932270916,9.472355769230772,35.198028846153846,24.02844621513944,34,
8,Proposed DRL,7-4-1,balanced_500,1,5.83170634920635,13.15313492063492,4.683080357142858,23.60200892857143,32.45924603174603,51,119.61000000000001
9,Proposed DRL,7-4-1,balanced_500,2,4.872698412698413,12.37107142857143,2.9855978260869565,15.398695652173911,35.84051587301588,50,136.93
10,Proposed DRL,7-4-1,balanced_500,3,4.446825396825397,10.724642857142856,3.6024056603773587,25.143160377358488,34.43575396825398,47,127.72
11,Proposed DRL,7-4-1,balanced_500,4,5.462976190476191,12.198611111111111,5.038974358974358,25.58953846153846,31.694325396825395,51,113.02000000000001
12,Proposed DRL,7-4-1,balanced_500,5,7.298095238095238,15.475515873015873,5.795376344086022,26.116290322580646,29.23154761904762,51,106.91
13,Proposed DRL,7-4-1,balanced_500,6,4.578809523809523,11.28265873015873,4.505467289719626,26.377663551401874,34.48063492063492,50,125.33
14,Proposed DRL,7-4-1,balanced_500,7,3.372420634920635,9.335753968253966,3.256026785714286,20.986294642857143,36.34269841269842,50,136.10000000000002
15,Macro-State DRL,7-4-1,balanced_500,1,8.997063492063491,17.971230158730158,7.923218884120172,33.72403433476394,27.288650793650792,49,104.16999999999999
16,Macro-State DRL,7-4-1,balanced_500,2,6.270753968253969,14.80797619047619,4.165618556701031,20.12556701030928,31.78797619047619,49,121.21
17,Macro-State DRL,7-4-1,balanced_500,3,5.744206349206349,12.137301587301588,5.782372093023256,32.30162790697673,31.462142857142855,49,111.25
18,Macro-State DRL,7-4-1,balanced_500,4,6.164087301587301,13.108650793650794,5.683128205128205,26.575999999999997,30.826071428571428,51,109.24000000000001
19,Macro-State DRL,7-4-1,balanced_500,5,7.898809523809523,16.071984126984127,6.975469613259669,27.55149171270718,28.21452380952381,50,102.63000000000001
20,Macro-State DRL,7-4-1,balanced_500,6,4.866626984126984,11.057301587301588,3.366026200873363,18.61502183406114,33.52706349206349,51,120.71000000000001
21,Macro-State DRL,7-4-1,balanced_500,7,4.495119047619047,11.479325396825397,8.174365482233501,52.522588832487294,33.35202380952381,49,122.19999999999999
22,4-Phase DRL,7-4-1,balanced_500,1,8.682420634920636,19.53980158730159,7.465555555555555,33.277971014492756,28.619801587301584,47,109.49000000000001
23,4-Phase DRL,7-4-1,balanced_500,2,5.69218253968254,13.466388888888888,4.531684210526317,24.504157894736846,33.27710317460318,48,128.69
24,4-Phase DRL,7-4-1,balanced_500,3,5.7949206349206355,13.596031746031745,4.881761904761905,31.73633333333333,31.8215873015873,46,118.64
25,4-Phase DRL,7-4-1,balanced_500,4,6.633928571428571,14.745039682539682,7.017989417989418,34.03015873015873,28.914920634920634,49,100.62
26,4-Phase DRL,7-4-1,balanced_500,5,10.660674603174602,21.715793650793646,9.268429319371728,35.26062827225131,25.15142857142857,50,89.83
27,4-Phase DRL,7-4-1,balanced_500,6,5.633293650793651,12.304761904761904,4.9062254901960785,26.63401960784314,32.70428571428571,47,118.59
28,4-Phase DRL,7-4-1,balanced_500,7,4.984365079365079,13.762738095238095,3.600181818181818,22.46622727272727,33.57476190476191,47,125.83000000000001
29,SCOOT,7-4-1,balanced_600,1,23.358007968127488,54.41661354581673,15.553771929824562,48.77964912280703,20.77199203187251,42,
30,SCOOT,7-4-1,balanced_600,2,16.561314741035858,38.04398406374502,9.8123786407767,34.30320388349514,24.689123505976095,35,
31,SCOOT,7-4-1,balanced_600,3,20.286693227091632,44.781195219123504,9.637000000000002,34.32777272727272,22.123466135458166,38,
32,SCOOT,7-4-1,balanced_600,4,15.113266932270916,26.21478087649403,12.758205128205127,39.02209401709402,23.08474103585657,41,
