id,layout,inflow,intersection,queue_avg
1,7-4-1-sb,balanced_500,7,4.3434920634920635
2,7-4-1,balanced_500,7,4.495119047619047
3,7-4-1,balanced_500,6,4.866626984126984
4,7-4-1-sb,balanced_500,6,5.10281746031746
5,7-4-1,balanced_500,3,5.744206349206349
6,7-4-1,balanced_500,4,6.164087301587301
7,7-4-1-sb,balanced_500,3,6.235396825396826
8,7-4-1,balanced_500,2,6.270753968253969
9,7-4-1-sb,balanced_500,4,6.512222222222222
10,7-4-1,balanced_600,6,7.07888888888889
11,7-4-1-sb,balanced_600,6,7.604404761904762
12,7-4-1,balanced_500,5,7.898809523809523
13,7-4-1-sb,balanced_500,2,7.94797619047619
14,7-4-1,balanced_600,4,8.009880952380954
15,7-4-1-sb,balanced_600,7,8.823095238095236
16,7-4-1,balanced_500,1,8.997063492063491
17,7-4-1,balanced_600,7,9.026944444444444
18,7-4-1,balanced_600,2,9.039880952380953
19,7-4-1-sb,balanced_600,4,9.221349206349206
20,7-4-1-sb,balanced_500,1,9.323968253968255
21,7-4-1-sb,balanced_500,5,9.752857142857144
22,7-4-1,balanced_600,3,9.85642857142857
23,7-4-1,unbalanced,6,10.154920634920634
24,7-4-1,balanced_700,6,10.419285714285714
25,7-4-1,main-minor,6,10.866785714285713
26,7-4-1-sb,balanced_600,3,11.09115079365079
27,7-4-1,unbalanced,3,11.151626984126985
28,7-4-1,main-minor,3,11.308809523809522
29,7-4-1-sb,balanced_700,6,11.918373015873016
30,7-4-1-sb,balanced_600,2,12.250476190476192
31,7-4-1-sb,main-minor,6,12.991428571428568
32,7-4-1-sb,main-minor,7,13.01230158730159
33,7-4-1,balanced_600,5,13.452261904761905
34,7-4-1,main-minor,7,13.985039682539682
35,7-4-1,main-minor,4,14.013968253968255
36,7-4-1,balanced_600,1,14.160674603174602
37,7-4-1-sb,balanced_600,1,14.299246031746032
38,7-4-1,balanced_700,3,14.358253968253969
39,7-4-1,balanced_700,7,14.369404761904763
40,7-4-1,balanced_700,4,14.579960317460317
41,7-4-1-sb,unbalanced,3,14.883690476190475
42,7-4-1-sb,balanced_600,5,15.345634920634922
43,7-4-1-sb,main-minor,3,15.500238095238096
44,7-4-1-sb,balanced_700,3,15.64202380952381
45,7-4-1,unbalanced,7,17.350555555555555
46,7-4-1-sb,unbalanced,6,18.523690476190474
47,7-4-1-sb,balanced_700,7,19.457301587301586
48,7-4-1,main-minor,1,19.668968253968252
49,7-4-1-sb,unbalanced,7,19.89507936507936
50,7-4-1,balanced_800,6,20.121111111111112
51,7-4-1,unbalanced,1,20.448968253968257
52,7-4-1,main-minor,5,22.060476190476194
53,7-4-1,main-minor,2,22.125396825396827
54,7-4-1,balanced_700,5,22.5897619047619
55,7-4-1-sb,balanced_700,4,24.87043650793651
56,7-4-1,unbalanced,4,25.80611111111111
57,7-4-1,balanced_800,3,25.85198412698413
58,7-4-1-sb,main-minor,4,25.977301587301582
59,7-4-1,balanced_700,1,26.962142857142858
60,7-4-1,balanced_700,2,27.898373015873016
61,7-4-1,balanced_800,7,30.81928571428572
62,7-4-1,unbalanced,5,31.490277777777777
63,7-4-1-sb,unbalanced,1,31.51511904761905
64,7-4-1-sb,balanced_800,7,31.93170634920635
65,7-4-1-sb,balanced_800,6,33.24996031746032
66,7-4-1-sb,unbalanced,4,33.5281746031746
67,7-4-1-sb,balanced_700,2,33.972857142857144
68,7-4-1-sb,main-minor,2,34.12587301587301
69,7-4-1,balanced_800,4,34.89678571428571
70,7-4-1-sb,balanced_800,3,35.59202380952381
71,7-4-1-sb,balanced_700,1,36.911865079365086
72,7-4-1-sb,main-minor,1,44.37444444444445
73,7-4-1,balanced_800,2,46.47313492063492
74,7-4-1-sb,unbalanced,2,47.49071428571428
75,7-4-1-sb,balanced_700,5,48.00357142857143
76,7-4-1-sb,unbalanced,5,53.17960317460317
77,7-4-1,balanced_800,5,53.223888888888894
78,7-4-1-sb,main-minor,5,55.15150793650793
79,7-4-1,balanced_800,1,59.75238095238096
80,7-4-1,unbalanced,2,60.929761904761904
81,7-4-1-sb,balanced_800,4,61.58603174603175
82,7-4-1-sb,balanced_800,2,78.68638888888889
83,7-4-1-sb,balanced_800,1,85.37238095238095
84,7-4-1-sb,balanced_800,5,96.65670634920635
