id,layout,inflow,intersection,queue_avg
1,7-4-1,balanced_500,6,3.5754761904761905
2,7-4-1,balanced_500,7,4.2588888888888885
3,7-4-1-sb,balanced_500,7,4.361388888888889
4,7-4-1-sb,balanced_500,6,4.680595238095238
5,7-4-1-sb,balanced_500,3,4.87563492063492
6,7-4-1-sb,balanced_500,4,5.265119047619048
7,7-4-1-sb,balanced_500,2,5.302301587301588
8,7-4-1,balanced_500,2,5.337460317460318
9,7-4-1,balanced_500,3,5.527261904761905
10,7-4-1,balanced_500,4,6.136071428571428
11,7-4-1,balanced_600,6,6.675317460317459
12,7-4-1-sb,balanced_600,6,6.682380952380952
13,7-4-1,balanced_500,1,6.769722222222222
14,7-4-1-sb,balanced_500,1,7.206309523809524
15,7-4-1,balanced_600,2,7.752420634920633
16,7-4-1,balanced_500,5,8.745238095238095
17,7-4-1,unbalanced,6,9.153769841269842
18,7-4-1,balanced_600,7,9.204603174603177
19,7-4-1,main-minor,6,9.228055555555555
20,7-4-1,balanced_600,4,9.249285714285715
21,7-4-1,balanced_600,3,9.408174603174604
22,7-4-1-sb,balanced_600,2,9.508888888888889
23,7-4-1-sb,balanced_500,5,9.611031746031744
24,7-4-1-sb,balanced_600,4,9.905555555555555
25,7-4-1-sb,balanced_600,7,10.16313492063492
26,7-4-1-sb,balanced_600,3,10.170674603174602
27,7-4-1,balanced_700,6,10.464682539682538
28,7-4-1-sb,main-minor,6,10.866825396825398
29,7-4-1,balanced_600,1,11.456666666666667
30,7-4-1,main-minor,7,11.684484126984126
31,7-4-1,balanced_600,5,11.93388888888889
32,7-4-1,unbalanced,3,12.442857142857143
33,7-4-1,main-minor,3,12.561309523809525
34,7-4-1-sb,unbalanced,6,12.71079365079365
35,7-4-1-sb,balanced_700,6,12.812380952380954
36,7-4-1,balanced_700,4,13.200714285714284
37,7-4-1-sb,balanced_600,1,13.545674603174602
38,7-4-1-sb,main-minor,3,14.537380952380953
39,7-4-1,balanced_700,3,14.566865079365082
40,7-4-1,balanced_700,7,15.915079365079364
41,7-4-1,unbalanced,7,16.091309523809525
42,7-4-1-sb,balanced_800,6,16.49003968253968
43,7-4-1-sb,main-minor,7,16.595793650793652
44,7-4-1,balanced_800,6,16.80642857142857
45,7-4-1-sb,unbalanced,3,16.818412698412697
46,7-4-1-sb,unbalanced,7,17.115436507936508
47,7-4-1,balanced_700,1,17.71706349206349
48,7-4-1,unbalanced,1,17.759603174603175
49,7-4-1,main-minor,2,18.049880952380953
50,7-4-1-sb,balanced_600,5,18.403412698412698
51,7-4-1-sb,balanced_700,3,19.016309523809525
52,7-4-1,main-minor,4,19.095952380952383
53,7-4-1,main-minor,1,19.65607142857143
54,7-4-1-sb,balanced_700,7,19.905952380952378
55,7-4-1-sb,balanced_700,2,20.153333333333332
56,7-4-1,main-minor,5,21.90920634920635
57,7-4-1,unbalanced,4,22.010317460317466
58,7-4-1-sb,balanced_700,4,22.63773809523809
59,7-4-1,balanced_800,7,23.33623015873016
60,7-4-1-sb,unbalanced,1,23.43420634920635
61,7-4-1,balanced_800,3,23.48170634920635
62,7-4-1-sb,main-minor,2,23.483809523809523
63,7-4-1,balanced_700,2,23.60015873015873
64,7-4-1,balanced_700,5,25.06924603174603
65,7-4-1-sb,unbalanced,4,27.53198412698413
66,7-4-1-sb,balanced_800,7,27.655079365079366
67,7-4-1-sb,main-minor,1,28.86678571428571
68,7-4-1,balanced_800,4,28.9243253968254
69,7-4-1,unbalanced,2,29.24448412698413
70,7-4-1-sb,main-minor,4,30.8109126984127
71,7-4-1-sb,balanced_800,3,33.39277777777777
72,7-4-1,unbalanced,5,37.11321428571428
73,7-4-1,balanced_800,5,38.00559523809524
74,7-4-1,balanced_800,2,38.751230158730166
75,7-4-1-sb,unbalanced,2,41.30146825396826
76,7-4-1-sb,balanced_700,1,41.62436507936508
77,7-4-1-sb,balanced_800,2,42.595079365079364
78,7-4-1-sb,unbalanced,5,44.43742063492065
79,7-4-1,balanced_800,1,44.69575396825396
80,7-4-1-sb,balanced_800,4,45.783492063492055
81,7-4-1-sb,balanced_700,5,47.692301587301586
82,7-4-1-sb,main-minor,5,54.63376984126984
83,7-4-1-sb,balanced_800,1,67.84301587301589
84,7-4-1-sb,balanced_800,5,85.88559523809523
