id,layout,inflow,intersection,queue_avg
1,7-4-1,balanced_500,6,9.641354581673307
2,7-4-1-sb,balanced_500,6,9.81577689243028
3,7-4-1-sb,balanced_500,7,11.126254980079679
4,7-4-1-sb,balanced_500,3,11.131513944223109
5,7-4-1,balanced_500,3,11.194860557768923
6,7-4-1-sb,balanced_500,4,11.507689243027889
7,7-4-1,balanced_500,4,11.811035856573705
8,7-4-1-sb,balanced_500,2,11.811434262948207
9,7-4-1,balanced_500,1,12.278884462151394
10,7-4-1,balanced_500,7,13.457609561752989
11,7-4-1,balanced_500,2,13.474103585657371
12,7-4-1,balanced_600,6,13.5898406374502
13,7-4-1-sb,balanced_500,1,15.08215139442231
14,7-4-1,balanced_600,4,15.113266932270916
15,7-4-1,balanced_500,5,15.642031872509959
16,7-4-1,balanced_600,2,16.561314741035858
17,7-4-1-sb,balanced_600,7,17.411513944223106
18,7-4-1-sb,balanced_600,6,17.43760956175299
19,7-4-1,balanced_600,7,18.101115537848607
20,7-4-1-sb,balanced_600,4,18.195816733067726
21,7-4-1-sb,balanced_600,2,18.383864541832672
22,7-4-1-sb,balanced_500,5,18.510916334661353
23,7-4-1,balanced_700,6,19.560517928286853
24,7-4-1,balanced_600,3,20.286693227091632
25,7-4-1-sb,balanced_600,3,22.27422310756972
26,7-4-1,balanced_600,1,23.358007968127488
27,7-4-1,main-minor,6,23.85629482071713
28,7-4-1,balanced_600,5,24.475697211155378
29,7-4-1,main-minor,2,24.571035856573705
30,7-4-1-sb,balanced_700,6,24.80346613545817
31,7-4-1,main-minor,7,25.876772908366537
32,7-4-1,main-minor,4,28.510796812749007
33,7-4-1-sb,main-minor,7,29.17203187250996
34,7-4-1,main-minor,3,29.245338645418325
35,7-4-1-sb,balanced_600,5,30.473266932270917
36,7-4-1,balanced_700,4,31.557689243027887
37,7-4-1,balanced_700,2,32.05681274900399
38,7-4-1,balanced_800,6,32.7112749003984
39,7-4-1,balanced_700,7,33.12382470119522
40,7-4-1-sb,balanced_600,1,34.226573705179284
41,7-4-1,balanced_700,3,34.888286852589644
42,7-4-1-sb,balanced_700,4,35.31525896414343
43,7-4-1-sb,balanced_700,3,36.1003984063745
44,7-4-1,balanced_700,1,37.762111553784855
45,7-4-1,main-minor,1,38.365816733067724
46,7-4-1,unbalanced,1,38.413824701195225
47,7-4-1-sb,balanced_700,7,40.19258964143426
48,7-4-1,unbalanced,6,40.2011155378486
49,7-4-1,unbalanced,3,40.88063745019921
50,7-4-1,balanced_700,5,41.23274900398406
51,7-4-1-sb,main-minor,2,43.10302788844622
52,7-4-1-sb,balanced_700,2,44.07844621513944
53,7-4-1,main-minor,5,44.39649402390438
54,7-4-1-sb,unbalanced,7,44.847011952191245
55,7-4-1-sb,main-minor,6,45.56912350597609
56,7-4-1-sb,main-minor,3,47.1196015936255
57,7-4-1,unbalanced,7,48.24059760956175
58,7-4-1,balanced_800,3,48.349800796812744
59,7-4-1-sb,main-minor,1,48.841314741035866
60,7-4-1-sb,main-minor,4,49.548964143426296
61,7-4-1,balanced_800,4,49.8788844621514
62,7-4-1,unbalanced,4,50.85904382470119
63,7-4-1,balanced_800,2,51.108764940239055
64,7-4-1,unbalanced,2,52.49872509960159
65,7-4-1,balanced_800,7,53.74884462151394
66,7-4-1-sb,unbalanced,1,53.83199203187252
67,7-4-1,unbalanced,5,57.330318725099595
68,7-4-1-sb,balanced_800,6,57.4494422310757
69,7-4-1-sb,unbalanced,4,60.49219123505975
70,7-4-1-sb,unbalanced,2,60.798964143426296
71,7-4-1-sb,balanced_800,7,61.48115537848606
72,7-4-1-sb,unbalanced,3,63.409561752988054
73,7-4-1-sb,balanced_700,5,65.37274900398405
74,7-4-1-sb,balanced_800,3,65.66426294820717
75,7-4-1-sb,balanced_700,1,67.39637450199203
76,7-4-1-sb,main-minor,5,68.63187250996015
77,7-4-1,balanced_800,5,68.77262948207171
78,7-4-1-sb,unbalanced,6,70.60059760956176
79,7-4-1-sb,balanced_800,2,70.78454183266932
80,7-4-1-sb,unbalanced,5,76.53131474103586
81,7-4-1,balanced_800,1,83.92868525896414
82,7-4-1-sb,balanced_800,4,84.83872509960159
83,7-4-1-sb,balanced_800,5,100.20501992031872
84,7-4-1-sb,balanced_800,1,107.18824701195219
