id,performance_metric,method,mean,worst,std,improve_rate,num_best
1,queue_avg,8-phase MPC,15.02,37.75,8.68,-52.07,41
2,queue_max,8-phase MPC,29.82,78.45,15.93,-54.7,38
3,delay_avg,8-phase MPC,10.97,24.36,5.5,-35.12,38
4,delay_max,8-phase MPC,40.6,73.63,13.0,-13.12,28
5,speed_avg,8-phase MPC,26.6,35.58,4.52,35.08,41
6,queue_avg,4-phase MPC,18.86,46.31,10.33,-39.8,1
7,queue_max,4-phase MPC,38.59,104.03,21.95,-41.38,4
8,delay_avg,4-phase MPC,13.27,25.26,5.56,-21.49,3
9,delay_max,4-phase MPC,47.26,76.55,14.35,1.12,7
10,speed_avg,4-phase MPC,24.05,34.09,4.12,22.1,1
11,queue_avg,SCOOT,31.33,70.77,14.94,0.0,0
12,queue_max,SCOOT,65.83,136.21,31.93,0.0,0
13,delay_avg,SCOOT,16.9,35.67,6.71,0.0,1
14,delay_max,SCOOT,46.74,73.83,11.24,0.0,7
15,speed_avg,SCOOT,19.69,26.84,3.22,0.0,0
