id,performance_metric,method,mean,worst,std,q1,q2,q3,iqr,improve_rate,num_best,num_outliers
1,queue_avg,SCOOT,35.02,64.2,15.34,22.79,36.83,45.85,23.06,,0,0
2,queue_avg,Macro-State DRL,25.1,79.03,15.69,12.2,23.45,33.37,21.17,-28.33,0,2
3,queue_avg,4-Phase DRL,25.06,56.46,13.14,12.65,25.24,34.83,22.18,-28.46,10,0
4,queue_avg,Proposed DRL,21.72,67.21,14.16,10.39,20.78,30.82,20.43,-37.98,74,2
5,queue_max,SCOOT,72.68,129.32,30.48,46.75,75.92,99.71,52.96,,0,0
6,queue_max,Macro-State DRL,44.81,126.48,25.35,23.09,43.02,59.68,36.59,-38.35,15,1
7,queue_max,4-Phase DRL,55.52,112.62,28.71,26.83,57.47,79.81,52.98,-23.62,2,0
8,queue_max,Proposed DRL,41.8,114.65,24.22,21.47,39.88,56.34,34.87,-42.48,67,2
9,delay_avg,SCOOT,21.62,42.18,8.3,15.85,21.78,26.9,11.05,,2,0
10,delay_avg,Macro-State DRL,19.25,44.59,8.98,12.07,19.31,25.08,13.01,-10.94,0,0
11,delay_avg,4-Phase DRL,17.73,36.31,8.06,10.95,18.66,22.58,11.63,-18.0,7,0
12,delay_avg,Proposed DRL,15.47,38.89,7.98,9.36,14.92,20.05,10.69,-28.44,75,1
13,delay_max,SCOOT,65.07,113.16,16.79,51.47,65.0,77.78,26.3,,14,0
14,delay_max,Macro-State DRL,70.87,159.42,27.77,49.98,69.88,85.08,35.1,8.91,5,3
15,delay_max,4-Phase DRL,63.08,111.09,20.9,44.83,61.0,78.39,33.57,-3.06,1,0
16,delay_max,Proposed DRL,56.52,109.98,19.76,40.05,56.31,70.81,30.76,-13.14,64,0
17,speed_avg,SCOOT,15.61,11.01,2.87,13.47,14.82,17.15,3.68,,0,0
18,speed_avg,Macro-State DRL,19.69,12.12,3.79,17.15,18.59,22.01,4.86,26.15,0,0
19,speed_avg,4-Phase DRL,19.25,12.54,3.83,16.35,18.16,21.85,5.5,23.34,1,0
20,speed_avg,Proposed DRL,21.44,12.59,4.31,18.58,20.22,24.02,5.44,37.35,83,0
21,reward,SCOOT,,,,,,,,,0,0
22,reward,Macro-State DRL,181.49,106.9,29.35,162.79,179.29,202.29,39.5,,0,0
23,reward,4-Phase DRL,177.83,112.39,30.09,156.15,180.26,201.52,45.36,,0,0
24,reward,Proposed DRL,199.31,113.49,33.26,177.89,202.77,225.5,47.61,,84,0
25,spillback_events,SCOOT,37.55,115.0,36.6,0.33,33.33,66.78,66.44,,0,0
26,spillback_events,Macro-State DRL,18.04,133.22,27.84,0.0,2.33,26.11,26.11,-51.96,22,5
27,spillback_events,4-Phase DRL,27.55,102.22,30.63,0.0,18.83,47.25,47.25,-26.62,33,0
28,spillback_events,Proposed DRL,15.03,103.67,24.1,0.0,3.5,20.67,20.67,-59.96,29,7
