id,method,layout,inflow,intersection,value
1,SCOOT,7-4-1-sb,balanced_800,1,107.19
2,Proposed DRL,7-4-1,balanced_800,5,44.59
3,Proposed DRL,7-4-1-sb,balanced_800,1,72.86
4,Proposed DRL,7-4-1-sb,balanced_800,2,53.8
5,Proposed DRL,7-4-1-sb,balanced_800,5,83.63
6,Proposed DRL,7-4-1-sb,unbalanced,5,51.46
7,Macro-State DRL,7-4-1-sb,balanced_800,1,85.37
8,Macro-State DRL,7-4-1-sb,balanced_800,2,78.69
9,Macro-State DRL,7-4-1-sb,balanced_800,5,96.66
10,4-Phase DRL,7-4-1-sb,balanced_800,1,77.22
11,4-Phase DRL,7-4-1-sb,balanced_800,5,66.87
