id,performance_metric,method,mean,worst,std,q1,q2,q3,iqr,improve_rate,num_best,num_outliers
1,queue_avg,SCOOT,38.71,107.19,22.2,18.48,35.71,51.46,32.98,,0,1
2,queue_avg,Macro-State DRL,23.46,96.66,19.26,9.83,15.42,31.62,21.79,-39.4,12,3
3,queue_avg,4-Phase DRL,24.19,77.22,16.42,11.94,18.7,33.75,21.81,-37.51,7,2
4,queue_avg,Proposed DRL,18.66,83.63,14.64,9.16,14.37,22.79,13.63,-51.81,65,5
5,queue_max,SCOOT,77.5,161.91,39.64,39.87,73.56,109.68,69.81,,0,0
6,queue_max,Macro-State DRL,43.95,145.72,31.43,20.44,32.05,61.28,40.84,-43.29,22,2
7,queue_max,4-Phase DRL,54.34,133.81,36.46,25.53,39.78,79.48,53.95,-29.88,7,0
8,queue_max,Proposed DRL,37.99,135.64,26.06,19.77,30.28,48.03,28.26,-50.99,55,5
9,delay_avg,SCOOT,20.2,53.78,9.92,11.8,19.27,26.2,14.4,,,2
10,delay_avg,Macro-State DRL,14.72,49.34,9.3,7.76,12.26,18.65,10.89,-27.11,9,3
11,delay_avg,4-Phase DRL,14.3,35.62,7.47,8.37,12.13,19.18,10.81,-29.18,16,1
12,delay_avg,Proposed DRL,11.81,39.18,7.18,6.57,9.93,14.78,8.21,-41.53,58,3
13,delay_max,SCOOT,52.56,98.21,15.85,38.23,52.28,63.68,25.46,,11,0
14,delay_max,Macro-State DRL,48.31,108.12,19.33,34.03,47.9,59.11,25.08,-8.08,12,2
15,delay_max,4-Phase DRL,49.69,94.65,18.5,33.84,46.02,59.76,25.92,-5.46,11,0
16,delay_max,Proposed DRL,41.76,79.02,14.87,29.16,38.15,51.54,22.39,-20.55,50,0
17,speed_avg,SCOOT,18.7,10.61,4.08,15.76,17.78,22.19,6.43,,0,0
18,speed_avg,Macro-State DRL,24.01,12.38,5.45,19.94,24.65,28.12,8.18,28.4,4,0
19,speed_avg,4-Phase DRL,23.52,13.35,5.15,19.07,23.63,27.48,8.41,25.79,7,0
20,speed_avg,Proposed DRL,26.0,13.61,5.32,22.38,25.89,30.09,7.7,39.01,73,0
21,reward,SCOOT,,,,,,,,,0,0
22,reward,Macro-State DRL,96.35,47.72,18.21,85.17,99.28,109.09,23.92,,6,1
23,reward,4-Phase DRL,93.86,51.74,18.32,80.26,95.92,105.83,25.58,,5,0
24,reward,Proposed DRL,104.79,53.98,18.04,94.33,107.66,117.21,22.88,,73,2
