id,performance_metric,method,mean,worst,std,improve_rate,num_best
1,queue_avg,SCOOT,40.32,101.4,22.76,0.0,0
2,queue_max,SCOOT,82.66,157.19,42.94,0.0,1
3,delay_avg,SCOOT,20.49,43.1,10.02,0.0,2
4,delay_max,SCOOT,55.3,95.93,18.07,0.0,5
5,speed_avg,SCOOT,18.81,11.9,4.34,0.0,0
6,queue_avg,Micro DRL,21.64,83.63,18.2,-46.33,39
7,queue_max,Micro DRL,43.79,135.64,31.96,-47.03,34
8,delay_avg,Micro DRL,12.84,39.18,8.32,-37.33,35
9,delay_max,Micro DRL,42.37,79.02,14.84,-23.37,27
10,speed_avg,Micro DRL,25.33,13.61,5.67,34.67,40
11,queue_avg,Macro DRL,27.66,96.66,22.61,-31.39,3
12,queue_max,Macro DRL,51.99,145.72,35.26,-37.11,7
13,delay_avg,Macro DRL,16.04,49.34,10.67,-21.73,5
14,delay_max,Macro DRL,48.11,108.12,19.33,-12.99,10
15,speed_avg,Macro DRL,23.17,12.38,5.85,23.15,2
