id,performance_metric,method,mean,worst,std,improve_rate,num_best
1,queue_avg,SCOOT,35.03,69.64,18.67,0.0,0
2,queue_max,SCOOT,73.73,140.95,40.41,0.0,0
3,delay_avg,SCOOT,16.91,35.66,7.0,0.0,2
4,delay_max,SCOOT,47.3,76.82,13.62,0.0,7
5,speed_avg,SCOOT,19.29,13.46,3.71,0.0,0
6,queue_avg,Micro DRL,15.67,44.59,9.17,-55.27,33
7,queue_max,Micro DRL,32.18,75.97,16.86,-56.35,25
8,delay_avg,Micro DRL,10.78,27.88,5.74,-36.23,33
9,delay_max,Micro DRL,41.14,72.67,15.04,-13.03,30
10,speed_avg,Micro DRL,26.66,16.06,4.93,38.23,40
11,queue_avg,Macro DRL,19.26,60.93,14.27,-45.04,9
12,queue_max,Macro DRL,35.91,121.94,25.0,-51.3,17
13,delay_avg,Macro DRL,13.41,38.69,7.58,-20.7,7
14,delay_max,Macro DRL,48.51,103.32,19.56,2.56,5
15,speed_avg,Macro DRL,24.85,13.77,4.95,28.87,2
