id,method,layout,inflow,intersection,outflow_type_1,outflow_type_2,outflow_type_3,outflow_others,outflow_all,phase_type_1,phase_type_2,phase_type_3,phase_others,phase_all,outflow_rate_type_1,outflow_rate_type_2,outflow_rate_type_3,outflow_rate_others,outflow_rate_all
1,4-Phase DRL,7-4-1,balanced_500,1,143.0,126.0,,,269.0,0.07277777777777777,0.06666666666666667,0.0,0.0,0.13944444444444445,0.5458015267175572,0.525,,,0.5358565737051793
2,4-Phase DRL,7-4-1,balanced_500,2,144.0,122.0,,,266.0,0.07777777777777778,0.06166666666666667,0.0,0.0,0.13944444444444445,0.5142857142857142,0.5495495495495496,,,0.5298804780876494
3,4-Phase DRL,7-4-1,balanced_500,3,174.0,66.0,,,240.0,0.09722222222222222,0.042222222222222223,0.0,0.0,0.13944444444444445,0.49714285714285716,0.4342105263157895,,,0.47808764940239046
4,4-Phase DRL,7-4-1,balanced_500,4,97.0,157.0,,,254.0,0.05555555555555555,0.08388888888888889,0.0,0.0,0.13944444444444445,0.485,0.5198675496688742,,,0.5059760956175299
5,4-Phase DRL,7-4-1,balanced_500,5,144.0,135.0,,,279.0,0.07,0.06944444444444445,0.0,0.0,0.13944444444444445,0.5714285714285714,0.54,,,0.5557768924302788
6,4-Phase DRL,7-4-1,balanced_500,6,75.0,185.0,,,260.0,0.045,0.09444444444444444,0.0,0.0,0.13944444444444445,0.46296296296296297,0.5441176470588235,,,0.5179282868525896
7,4-Phase DRL,7-4-1,balanced_500,7,168.0,60.0,,,228.0,0.09777777777777778,0.041666666666666664,0.0,0.0,0.13944444444444445,0.4772727272727273,0.4,,,0.4541832669322709
8,4-Phase DRL,7-4-1,balanced_600,1,174.0,144.0,,,318.0,0.07833333333333334,0.06111111111111111,0.0,0.0,0.13944444444444445,0.6170212765957447,0.6545454545454545,,,0.6334661354581673
9,4-Phase DRL,7-4-1,balanced_600,2,178.0,143.0,,,321.0,0.08055555555555556,0.058888888888888886,0.0,0.0,0.13944444444444445,0.6137931034482759,0.6745283018867925,,,0.6394422310756972
10,4-Phase DRL,7-4-1,balanced_600,3,216.0,75.0,,,291.0,0.10333333333333333,0.03611111111111111,0.0,0.0,0.13944444444444445,0.5806451612903226,0.5769230769230769,,,0.5796812749003984
11,4-Phase DRL,7-4-1,balanced_600,4,111.0,201.0,,,312.0,0.05277777777777778,0.08666666666666667,0.0,0.0,0.13944444444444445,0.5842105263157895,0.6442307692307693,,,0.6215139442231076
12,4-Phase DRL,7-4-1,balanced_600,5,165.0,168.0,,,333.0,0.06944444444444445,0.07,0.0,0.0,0.13944444444444445,0.66,0.6666666666666666,,,0.6633466135458167
13,4-Phase DRL,7-4-1,balanced_600,6,92.0,220.0,,,312.0,0.04722222222222222,0.09222222222222222,0.0,0.0,0.13944444444444445,0.5411764705882353,0.6626506024096386,,,0.6215139442231076
14,4-Phase DRL,7-4-1,balanced_600,7,224.0,56.0,,,280.0,0.10833333333333334,0.03111111111111111,0.0,0.0,0.13944444444444445,0.5743589743589743,0.5,,,0.5577689243027888
15,4-Phase DRL,7-4-1,balanced_700,1,200.0,153.0,,,353.0,0.08388888888888889,0.05555555555555555,0.0,0.0,0.13944444444444445,0.6622516556291391,0.765,,,0.703187250996016
16,4-Phase DRL,7-4-1,balanced_700,2,214.0,165.0,,,379.0,0.08388888888888889,0.05555555555555555,0.0,0.0,0.13944444444444445,0.7086092715231788,0.825,,,0.7549800796812749
17,4-Phase DRL,7-4-1,balanced_700,3,253.0,82.0,,,335.0,0.10611111111111111,0.03333333333333333,0.0,0.0,0.13944444444444445,0.662303664921466,0.6833333333333333,,,0.6673306772908366
18,4-Phase DRL,7-4-1,balanced_700,4,134.0,219.0,,,353.0,0.058333333333333334,0.0811111111111111,0.0,0.0,0.13944444444444445,0.638095238095238,0.75,,,0.703187250996016
19,4-Phase DRL,7-4-1,balanced_700,5,186.0,184.0,,,370.0,0.07,0.06944444444444445,0.0,0.0,0.13944444444444445,0.7380952380952381,0.736,,,0.7370517928286853
