time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,0
3,0.00,0.00,0.00,0.00,60.00,3
5,0.00,0.00,0.00,0.00,54.34,3
7,0.00,0.00,0.00,0.00,56.19,3
9,0.00,0.00,0.00,0.00,59.04,3
11,0.00,0.00,0.00,0.00,60.68,3
13,0.00,0.00,0.00,0.00,56.98,1
15,0.00,0.00,0.00,0.00,56.95,1
17,0.00,0.00,0.00,0.00,56.65,1
19,0.00,0.00,0.00,0.03,56.16,1
21,0.00,0.00,0.03,0.36,58.18,1
23,0.00,0.00,0.08,0.90,57.33,1
25,0.00,0.00,0.00,0.00,55.60,1
27,0.00,0.00,0.10,1.16,49.65,1
29,0.91,3.64,0.28,3.16,44.07,1
31,1.22,4.86,0.54,5.16,36.48,1
33,1.26,5.04,0.86,7.16,29.43,5
35,2.56,7.16,1.33,9.16,29.59,5
37,4.04,10.94,1.98,11.16,29.54,5
39,4.03,10.88,2.71,13.16,31.25,5
41,4.03,10.88,3.28,15.16,30.71,5
43,4.45,10.88,4.02,17.16,25.94,2
45,5.56,11.34,4.79,19.16,30.81,2
47,4.77,11.24,5.62,21.16,31.23,2
49,4.00,11.24,4.53,18.83,32.61,2
51,4.19,11.24,4.28,20.83,33.48,2
53,5.70,16.59,4.61,22.83,29.67,1
55,5.70,18.05,5.39,24.83,32.90,1
57,5.70,18.02,5.69,26.83,36.40,1
59,3.98,6.87,4.71,28.83,38.03,1
61,2.54,5.39,4.04,30.83,36.31,1
63,2.54,5.39,3.76,32.83,35.32,2
65,4.72,10.10,4.00,34.83,36.58,2
67,4.39,9.86,4.55,36.83,38.88,2
69,1.19,4.77,4.76,38.83,39.33,2
71,2.40,4.84,4.67,40.83,36.81,2
73,3.26,4.77,5.25,42.83,34.23,5
75,6.76,11.33,6.07,44.83,35.45,5
77,5.91,10.87,7.23,46.83,34.19,5
79,4.57,10.87,7.04,48.83,30.81,5
81,5.28,10.87,7.30,50.83,25.93,5
83,5.27,10.87,8.09,52.83,26.01,1
85,8.13,15.60,9.09,54.83,25.39,1
87,8.39,16.82,8.96,56.83,26.97,1
89,5.62,11.30,10.03,58.83,25.52,1
91,7.85,15.72,9.37,60.83,19.42,1
93,9.20,17.75,9.49,62.83,19.76,2
95,9.96,17.74,10.23,64.83,23.81,2
97,9.13,17.71,11.06,66.83,23.88,2
99,6.02,11.07,10.56,68.83,23.63,2
101,6.98,11.14,10.01,70.83,24.72,2
103,8.30,12.19,9.65,72.83,21.97,3
105,8.27,12.08,10.32,74.83,21.58,3
107,6.80,8.77,11.23,76.83,18.63,3
109,2.47,5.09,9.65,78.83,17.61,3
111,3.33,5.09,8.63,80.83,21.74,3
113,3.80,5.34,9.46,82.83,20.17,6
115,3.71,5.28,9.73,84.83,31.06,6
117,2.51,5.28,10.40,86.83,40.46,6
119,2.51,5.28,8.58,88.83,46.10,6
121,2.51,5.28,8.52,90.83,47.04,6
123,2.51,5.28,8.92,92.83,44.07,1
125,2.43,4.95,9.44,94.83,41.23,1
127,1.83,4.77,10.11,96.83,43.83,1
129,3.71,10.09,9.35,98.83,40.75,1
131,3.66,9.88,9.84,100.83,34.93,1
133,3.66,9.88,10.29,102.83,27.67,2
135,5.21,10.95,10.99,104.83,22.13,2
137,6.25,11.77,10.58,106.83,24.54,2
139,4.26,11.77,11.33,108.83,30.39,2
141,4.26,11.77,10.84,110.83,33.56,2
143,4.26,11.77,11.48,112.83,34.16,1
145,4.18,11.77,12.22,114.83,36.80,1
147,4.06,11.77,11.75,116.83,36.96,1
149,4.06,11.77,11.22,118.83,33.99,1
151,4.06,11.77,11.38,120.83,33.38,1
153,5.45,11.77,11.83,122.83,30.94,10
155,7.85,15.15,12.47,124.83,31.49,10
157,8.70,18.53,13.36,126.83,31.64,10
159,6.50,11.77,13.91,128.83,30.34,10
161,4.88,11.77,14.08,130.83,27.70,10
163,5.14,11.77,14.21,132.83,24.14,4
165,5.10,11.77,14.63,134.83,27.99,4
167,4.80,9.13,14.51,136.83,33.12,4
169,3.35,5.82,6.88,36.86,33.03,4
171,6.22,14.05,4.22,32.98,31.22,4
173,8.77,18.89,4.89,34.98,28.47,1
175,8.71,18.82,5.56,36.98,23.31,1
177,8.18,18.82,6.22,38.98,18.80,1
179,5.83,18.82,5.95,40.98,20.86,1
181,8.83,23.93,5.59,42.98,24.13,1
183,10.45,24.86,6.38,44.98,23.99,2
185,11.59,24.86,6.81,46.98,30.74,2
187,10.46,24.86,7.48,48.98,34.39,2
189,10.38,24.54,6.86,50.98,33.68,2
191,4.54,11.62,7.17,52.98,30.06,2
193,4.84,11.62,6.93,54.98,27.07,5
195,7.38,15.38,6.33,56.98,29.67,5
197,8.92,18.21,7.00,58.98,28.48,5
199,6.38,18.16,3.51,18.96,26.99,5
201,4.77,18.16,2.92,19.55,27.12,5
203,6.53,22.39,3.30,21.55,29.39,1
205,7.28,24.80,3.44,23.55,32.18,1
207,7.28,24.79,4.18,25.55,36.40,1
209,7.20,24.49,4.05,18.70,39.50,1
211,2.47,5.55,4.81,18.30,39.20,1
213,3.51,5.55,4.77,19.62,36.60,7
215,3.84,5.59,4.52,21.62,34.70,7
217,3.31,5.58,3.35,16.85,29.49,7
219,3.67,5.58,2.94,18.85,29.77,7
221,3.67,5.58,3.52,20.85,33.30,7
223,3.77,5.58,4.27,22.85,32.70,5
225,5.41,11.34,4.86,24.85,35.03,5
227,4.82,11.14,5.68,26.85,31.99,5
229,5.29,11.14,4.12,28.85,33.11,5
231,5.29,11.14,4.78,30.85,27.00,5
233,5.29,11.14,5.62,32.85,21.21,1
235,5.27,11.14,6.52,34.85,19.09,1
237,6.73,11.14,7.19,36.85,23.92,1
239,8.64,17.72,7.34,38.85,24.82,1
241,8.61,17.58,7.57,40.85,18.64,1
243,8.61,17.58,8.35,42.85,17.90,2
245,8.61,17.58,8.90,44.85,27.73,2
247,8.60,17.55,9.56,46.85,32.09,2
249,5.47,11.14,6.72,48.85,33.76,2
251,4.21,11.14,7.16,50.85,31.15,2
253,4.43,11.14,6.47,52.85,28.87,5
255,5.45,11.14,6.75,54.85,35.71,5
257,4.21,11.14,7.25,56.85,34.16,5
259,4.21,11.14,7.50,58.85,31.26,5
261,4.21,11.14,7.84,60.85,31.80,5
263,4.51,11.14,8.35,62.85,35.94,6
265,5.55,11.14,9.01,64.85,34.70,6
267,5.01,9.07,9.68,66.85,35.98,6
269,2.74,5.71,8.60,47.37,34.91,6
271,4.80,10.50,5.60,38.84,32.58,6
273,5.54,11.56,6.25,40.84,27.84,1
275,5.68,11.55,7.08,42.84,27.65,1
277,6.15,16.21,8.11,44.84,27.36,1
279,6.97,17.69,6.90,46.84,27.06,1
281,7.23,17.68,7.62,48.84,25.81,1
283,8.76,17.68,7.80,50.84,23.20,2
285,8.71,17.68,8.12,52.84,23.41,2
287,9.57,17.66,8.79,54.84,24.46,2
289,5.82,11.51,8.24,56.84,25.55,2
291,4.13,11.51,8.25,58.84,25.50,2
293,5.20,11.51,7.45,60.84,27.32,7
295,6.40,11.51,7.87,62.84,36.22,7
297,6.40,11.71,8.54,64.84,38.54,7
299,4.18,11.70,3.93,23.69,34.72,7
301,4.18,11.70,3.04,25.69,31.60,7
303,5.40,16.58,3.49,27.69,28.22,6
305,5.69,17.87,4.16,29.69,30.90,6
307,4.47,17.87,4.82,31.69,27.87,6
309,7.57,17.87,2.33,18.83,22.13,6
311,8.94,17.87,2.87,20.83,20.32,6
313,9.79,17.87,3.37,22.83,20.49,1
315,10.45,17.87,3.67,24.83,24.04,1
317,10.74,17.84,4.30,26.83,29.48,1
319,9.46,21.15,4.57,26.46,32.81,1
321,5.66,16.07,4.02,20.38,37.97,1
323,5.35,16.07,3.45,20.82,40.05,2
325,5.35,16.07,3.46,22.82,36.66,2
327,5.52,14.78,2.06,11.61,31.59,2
329,2.65,5.33,2.69,13.61,31.14,2
331,3.63,9.29,3.57,15.61,28.94,2
333,4.22,11.65,3.22,15.39,22.79,1
335,4.89,11.63,3.55,17.39,21.93,1
337,4.84,10.06,4.26,19.39,23.38,1
339,2.75,5.69,3.75,21.39,21.89,1
341,2.71,5.50,2.84,23.39,15.98,1
343,2.71,5.50,2.66,25.39,17.39,6
345,3.72,9.55,3.06,27.39,18.46,6
347,3.72,9.56,3.56,29.39,21.60,6
349,1.33,5.33,3.60,31.39,20.83,6
351,1.33,5.33,3.35,33.39,25.14,6
