time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase
1,0.00,0.00,0.00,0.00,43.13,0.00,1
3,0.00,0.00,0.00,0.00,49.73,0.00,1
5,0.00,0.00,0.00,0.00,59.16,0.00,1
7,0.00,0.00,0.00,0.00,59.69,0.00,1
9,0.00,0.00,0.00,0.00,62.76,0.00,1
11,0.00,0.00,0.00,0.00,57.55,0.00,1
13,0.00,0.00,0.00,0.00,54.55,0.00,1
15,0.00,0.00,0.00,0.00,49.39,0.00,1
17,0.07,0.28,0.13,1.59,46.54,0.00,1
19,1.23,4.91,0.35,3.59,41.32,1.00,1
21,1.88,4.67,0.65,5.59,39.16,0.00,3
23,3.25,4.67,1.15,7.59,35.80,1.00,3
25,3.63,5.32,1.82,9.59,39.63,0.00,3
27,2.62,5.31,2.58,11.59,38.40,2.00,3
29,2.58,5.31,1.56,8.79,33.86,0.00,3
31,4.65,12.01,2.26,10.79,30.92,0.00,3
33,4.28,12.10,3.09,12.79,27.19,1.00,3
35,5.75,17.99,3.45,14.79,28.60,0.00,3
37,8.35,17.92,4.37,16.79,26.39,0.00,3
39,9.95,18.57,5.53,18.79,24.73,0.00,3
41,12.37,21.53,6.70,20.79,27.48,0.00,3
43,13.95,24.80,7.87,22.79,26.57,0.00,2
45,14.79,24.76,9.03,24.79,21.92,0.00,2
47,15.89,24.76,10.20,26.79,23.14,0.00,2
49,18.75,24.76,11.37,28.79,22.61,2.00,2
51,20.42,24.76,10.19,25.15,22.60,2.00,2
53,15.63,24.76,8.70,27.15,21.75,2.00,2
55,17.14,24.76,9.48,29.15,20.30,2.00,4
57,17.83,24.76,9.92,31.15,20.62,2.00,4
59,19.13,24.76,10.47,33.15,20.70,0.00,4
61,20.09,24.76,11.97,35.15,22.22,3.00,4
63,20.30,32.17,12.43,35.13,26.06,3.00,1
65,17.50,24.52,11.86,31.17,25.47,3.00,1
67,11.66,24.52,11.24,33.17,24.69,0.00,1
69,11.96,24.52,12.58,35.17,22.82,2.00,1
71,14.11,28.84,12.45,30.67,24.98,3.00,1
