time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,48.81,1
5,0.00,0.00,0.00,0.00,50.82,1
7,0.00,0.00,0.00,0.00,59.56,1
9,0.00,0.00,0.00,0.00,59.12,1
11,0.00,0.00,0.00,0.00,62.03,3
13,0.00,0.00,0.00,0.00,57.42,3
15,0.00,0.00,0.00,0.00,52.14,3
17,0.00,0.00,0.09,1.12,50.47,3
19,0.00,0.00,0.00,0.00,47.53,3
21,0.14,0.57,0.19,1.92,43.19,2
23,1.27,5.06,0.59,3.92,46.57,2
25,1.77,4.87,0.86,5.92,51.28,2
27,1.22,4.87,1.23,7.92,51.17,2
29,1.22,4.87,1.52,9.92,46.22,2
31,1.22,4.87,1.98,11.92,42.62,4
33,3.17,5.47,2.68,13.92,36.17,4
35,4.46,5.42,3.51,15.92,33.93,4
37,2.14,6.92,2.15,7.35,29.74,4
39,2.51,5.10,2.14,7.09,20.42,4
41,3.75,9.11,1.86,8.41,24.12,1
43,4.73,11.35,1.86,10.41,27.07,1
45,5.08,11.33,2.42,12.41,29.52,1
47,8.24,16.78,2.86,14.41,29.65,1
49,8.61,18.25,3.36,16.41,32.53,1
51,8.61,18.25,3.86,18.41,33.94,1
53,8.61,18.25,4.36,20.41,30.33,3
55,9.27,18.25,4.96,22.41,24.30,3
57,11.08,18.25,5.66,24.41,28.60,3
59,9.19,18.23,6.23,26.41,31.80,3
61,3.52,6.99,4.73,21.63,33.32,3
63,2.72,5.66,3.35,17.33,29.94,2
65,3.60,8.73,2.20,8.61,26.29,2
67,5.72,16.33,2.80,10.61,32.21,2
69,7.05,17.27,3.39,12.61,30.20,2
71,7.02,17.27,4.22,14.61,28.24,2
73,7.02,17.27,4.94,16.61,25.21,2
75,8.53,17.27,5.53,18.61,21.00,4
77,9.66,17.27,6.48,20.61,15.45,4
79,9.64,17.27,7.48,22.61,12.67,4
81,7.88,17.23,7.00,24.61,17.56,4
83,6.76,10.58,6.19,26.61,28.40,4
85,5.53,11.68,6.00,28.61,32.33,1
87,5.53,11.67,4.95,30.61,35.12,1
89,5.53,11.67,5.14,32.61,39.04,1
91,5.53,11.67,5.64,34.61,34.48,1
93,5.53,11.67,3.09,19.66,32.55,1
95,5.61,11.67,3.43,21.66,30.28,1
97,7.66,16.45,4.03,23.66,28.87,1
99,9.37,18.96,4.87,25.66,32.42,3
101,11.37,21.85,5.65,27.66,30.95,3
103,12.48,21.82,5.94,29.66,33.43,3
105,11.66,21.82,6.55,31.66,34.01,3
107,9.02,18.16,6.25,26.80,33.92,3
109,5.86,16.93,3.64,14.68,34.75,3
111,6.54,16.84,4.19,16.14,33.17,2
113,6.52,16.84,4.43,18.14,30.69,2
115,7.97,19.11,5.00,20.14,27.93,2
117,9.39,22.80,5.93,22.14,25.92,2
119,10.00,22.74,5.26,21.42,24.75,2
121,12.84,23.37,6.32,23.42,22.27,2
123,14.32,29.22,6.62,25.42,19.31,2
125,17.62,34.18,7.79,27.42,17.83,4
127,20.26,42.81,8.95,29.42,13.31,4
129,21.09,46.26,9.93,31.42,10.43,4
131,23.06,61.77,9.94,33.42,11.35,4
133,23.38,66.40,9.29,33.64,16.26,4
135,23.49,67.75,9.11,28.20,19.95,4
137,24.21,67.66,9.63,26.07,26.32,1
139,24.52,67.57,10.03,28.07,28.24,1
141,19.35,41.76,11.10,30.07,29.31,1
143,10.25,19.56,12.27,32.07,29.49,1
145,10.25,19.56,10.59,28.33,28.07,1
147,14.05,19.98,11.47,30.33,23.44,1
149,19.15,29.20,10.31,32.33,21.82,1
151,24.15,46.87,10.91,34.33,21.45,1
153,27.08,53.63,12.01,36.33,18.88,3
155,27.18,54.14,12.51,38.33,15.74,3
157,30.39,57.57,13.34,40.33,14.87,3
159,35.35,65.01,12.04,42.33,15.56,3
161,38.90,71.09,11.55,39.41,18.08,3
163,37.92,80.61,11.75,41.19,19.14,3
165,40.66,85.52,10.78,43.19,20.46,2
167,41.82,90.40,10.53,45.19,19.21,2
169,29.21,96.11,11.38,47.19,17.06,2
171,31.29,98.32,12.71,49.19,16.27,2
173,29.17,98.31,13.59,51.19,13.02,2
175,32.97,103.73,13.40,53.19,10.72,2
177,36.40,105.21,13.42,55.19,10.16,2
179,40.49,111.53,14.68,57.19,10.80,2
181,43.02,115.64,16.18,59.19,10.11,4
183,43.54,117.89,17.68,61.19,9.51,4
185,43.53,117.87,19.21,63.19,11.05,4
187,43.43,120.55,20.68,65.19,11.40,4
189,41.66,123.40,21.61,61.61,11.76,4
191,39.76,126.49,21.42,61.32,11.41,4
193,41.33,129.85,22.28,60.94,13.33,4
195,43.13,129.82,21.21,47.20,14.38,1
197,44.62,129.82,22.14,49.01,13.07,1
199,45.87,129.82,23.47,51.01,11.56,1
201,47.11,129.82,24.20,48.35,12.12,1
203,47.08,129.82,25.61,50.35,11.64,1
205,46.64,129.82,23.54,52.35,11.23,1
207,48.22,129.82,24.80,54.35,12.47,1
209,49.25,129.66,24.38,56.35,13.17,1
211,49.56,126.76,24.58,58.35,13.64,1
213,38.48,82.46,25.75,60.35,15.29,3
215,35.16,69.18,26.92,62.35,13.56,3
217,36.72,75.42,28.25,64.35,13.26,3
219,39.80,83.73,29.00,66.35,15.31,3
221,38.66,89.71,28.37,68.35,16.91,3
223,31.40,95.36,26.48,70.35,18.17,3
225,33.39,103.21,25.02,72.35,17.70,3
227,34.63,107.45,24.23,74.35,17.18,2
229,34.14,107.38,23.14,76.35,18.28,2
