time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed,outflow
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.21,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.78,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.20,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.93,0.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.12,0.00
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.40,0.00
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00
23,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.26,0.47,0.79,35.00,1.00
25,0.98,0.00,0.49,0.98,3.02,0.00,0.00,1.01,1.81,3.02,34.03,0.00
27,0.00,0.00,0.00,0.00,5.02,0.00,0.00,1.67,3.01,5.02,21.49,1.00
29,6.23,0.00,3.12,6.23,0.61,0.00,0.70,0.43,0.50,0.70,0.00,1.00
31,9.96,0.00,4.98,9.96,2.61,0.00,0.00,0.87,1.56,2.61,27.36,0.00
33,9.94,0.00,4.97,9.94,4.61,0.00,0.00,1.54,2.76,4.61,30.68,0.00
35,9.94,0.00,4.97,9.94,6.61,0.00,0.00,2.20,3.96,6.61,38.21,0.00
37,9.94,0.00,4.97,9.94,8.61,0.00,0.00,2.87,5.16,8.61,44.87,0.00
39,9.94,0.00,4.97,9.94,10.61,0.00,0.00,3.54,6.36,10.61,43.12,0.00
41,9.94,0.00,4.97,9.94,12.61,0.00,0.00,4.20,7.56,12.61,38.34,0.00
43,9.94,0.00,4.97,9.94,14.61,0.00,0.00,4.87,8.76,14.61,32.70,0.00
45,9.94,0.00,4.97,9.94,16.61,0.00,0.00,5.54,9.96,16.61,20.79,0.00
47,16.32,0.00,8.16,16.32,18.61,0.00,0.00,6.20,11.16,18.61,16.58,0.00
49,16.05,0.00,8.03,16.05,20.61,0.00,0.00,6.87,12.36,20.61,12.34,0.00
