time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase,reward
1,0.00,0.00,0.00,0.00,44.86,0.00,0,
3,0.00,0.00,0.00,0.00,52.90,0.00,3,
5,0.00,0.00,0.00,0.00,54.89,0.00,3,
7,0.00,0.00,0.00,0.00,57.49,0.00,3,
9,0.00,0.00,0.00,0.00,58.79,0.00,3,4.00
11,0.00,0.00,0.00,0.00,57.11,0.00,3,
13,0.00,0.00,0.00,0.00,53.23,0.00,2,
15,0.00,0.00,0.00,0.04,45.70,0.00,2,
17,0.69,2.03,0.33,2.04,41.30,0.00,2,
19,3.52,9.48,0.97,4.04,35.37,2.00,2,0.72
21,6.60,16.80,1.68,6.04,27.72,0.00,2,
23,7.59,20.75,2.51,8.04,24.60,1.00,1,
25,8.43,24.11,3.46,10.04,26.72,1.00,1,
27,10.52,29.68,3.95,12.04,27.73,1.00,1,
29,11.41,29.56,4.60,14.04,31.41,2.00,1,2.37
31,7.26,13.03,5.38,16.04,31.67,2.00,1,
33,5.29,11.48,5.94,18.04,32.77,2.00,3,
35,7.86,11.48,5.92,20.04,37.11,1.00,3,
37,6.98,11.48,6.68,22.04,36.52,2.00,3,
39,6.93,11.48,4.28,21.30,35.37,1.00,3,2.40
41,6.93,11.48,5.04,23.30,35.75,1.00,3,
43,7.49,12.99,5.89,25.30,36.09,1.00,4,
45,8.40,16.63,6.58,27.30,34.99,0.00,4,
47,8.07,14.56,7.42,29.30,31.98,2.00,4,
49,5.07,11.13,6.32,24.36,30.83,1.00,4,1.60
51,6.46,11.12,5.87,26.36,30.75,3.00,4,
53,8.92,15.44,6.13,28.36,29.43,0.00,3,
55,11.11,19.07,7.17,30.36,31.29,0.00,3,
57,11.45,19.03,8.50,32.36,29.63,2.00,3,
59,9.07,13.53,9.29,34.36,27.26,2.00,3,1.47
61,10.94,16.68,10.46,36.36,24.94,2.00,3,
63,11.02,16.64,10.11,38.36,25.45,0.00,2,
65,14.18,21.87,11.26,40.36,22.94,0.00,2,
67,17.25,22.75,12.76,42.36,22.08,2.00,2,
69,18.38,22.75,10.34,44.36,21.57,2.00,2,0.85
71,18.90,23.12,9.89,46.36,17.27,1.00,2,
73,20.62,29.55,10.92,48.36,16.79,1.00,1,
75,20.89,29.35,11.86,50.36,15.20,0.00,1,
77,24.89,35.36,13.16,52.36,15.17,2.00,1,
79,23.82,36.13,10.33,35.40,17.49,2.00,1,0.82
81,24.94,40.60,10.37,26.51,14.33,2.00,1,
