time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed,outflow
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.04,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.73,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.94,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.73,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.73,0.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.28,0.00
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.98,0.00
21,0.00,0.00,0.00,0.00,0.00,0.00,1.77,0.59,0.76,1.77,36.05,0.00
23,0.00,9.21,4.60,9.21,0.00,0.00,3.77,1.26,1.62,3.77,26.92,0.00
25,0.00,11.40,5.70,11.40,0.00,0.00,5.77,1.92,2.47,5.77,29.96,0.00
27,0.00,8.78,4.39,8.78,0.00,0.00,7.77,2.59,3.33,7.77,25.32,1.00
29,0.00,0.00,0.00,0.00,0.00,1.31,7.98,3.10,3.98,7.98,25.78,1.00
31,4.01,0.00,2.00,4.01,0.00,3.31,5.95,3.09,3.97,5.95,35.66,1.00
33,5.41,0.00,2.71,5.41,0.00,5.31,3.71,3.01,3.87,5.31,45.05,1.00
35,5.31,0.00,2.66,5.31,0.00,7.31,0.00,2.44,3.13,7.31,57.23,0.00
37,0.00,0.00,0.00,0.00,0.00,9.31,0.00,3.10,3.99,9.31,51.15,1.00
39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.56,0.00
41,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.56,0.72,1.67,44.58,0.00
43,0.00,5.18,2.59,5.18,0.00,0.00,3.67,1.22,1.57,3.67,31.33,0.00
45,0.00,5.50,2.75,5.50,0.00,0.53,5.67,2.07,2.66,5.67,20.11,1.00
47,0.00,6.46,3.23,6.46,0.00,0.00,7.67,2.56,3.29,7.67,9.97,0.00
49,0.00,11.29,5.65,11.29,0.00,0.00,9.67,3.22,4.15,9.67,3.57,0.00
