time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.37
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.86
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.13
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.63
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.31
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.74
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.38
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.75
17,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.39,0.70,1.16,35.22
19,1.47,0.00,0.73,1.47,3.16,0.00,0.00,1.05,1.90,3.16,56.46
21,0.00,0.00,0.00,0.00,5.16,0.00,0.00,1.72,3.10,5.16,54.01
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.22
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.93
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.29
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.70
31,0.00,0.00,0.00,0.00,1.43,0.00,1.52,0.98,1.16,1.52,42.00
33,0.00,1.85,0.92,1.85,0.00,0.00,3.52,1.17,0.70,3.52,42.56
35,0.00,5.64,2.82,5.64,0.00,0.00,5.52,1.84,1.10,5.52,46.13
37,0.00,5.57,2.78,5.57,0.00,0.00,7.52,2.51,1.50,7.52,47.61
39,0.00,5.57,2.78,5.57,0.00,0.00,9.52,3.17,1.90,9.52,39.01
41,0.00,5.57,2.78,5.57,0.00,0.36,11.52,3.96,2.38,11.52,34.18
43,0.00,5.57,2.78,5.57,0.00,0.00,13.52,4.51,2.70,13.52,26.31
45,0.00,5.57,2.78,5.57,0.29,0.00,15.52,5.27,3.28,15.52,31.11
47,0.00,5.57,2.78,5.57,0.00,0.00,17.52,5.84,3.50,17.52,30.30
49,0.00,5.57,2.78,5.57,0.43,0.00,19.52,6.65,4.16,19.52,31.12
51,0.00,5.57,2.78,5.57,0.00,0.00,21.52,7.17,4.30,21.52,31.12
53,0.00,5.57,2.78,5.57,0.00,0.00,23.52,7.84,4.70,23.52,37.83
55,0.00,5.57,2.78,5.57,0.00,0.00,25.52,8.51,5.10,25.52,32.67
57,0.00,5.57,2.78,5.57,0.00,0.00,27.52,9.17,5.50,27.52,25.70
59,0.00,5.57,2.78,5.57,0.00,0.00,29.52,9.84,5.90,29.52,35.56
61,0.00,10.64,5.32,10.64,0.00,0.00,31.52,10.51,6.30,31.52,37.83
63,0.00,11.22,5.61,11.22,0.00,0.00,33.52,11.17,6.70,33.52,36.18
65,0.00,11.22,5.61,11.22,0.00,0.00,35.52,11.84,7.10,35.52,38.07
67,0.00,7.58,3.79,7.58,0.00,0.00,37.52,12.51,7.50,37.52,43.25
69,0.00,0.00,0.00,0.00,0.00,0.00,9.90,3.30,1.98,9.90,46.52
71,0.00,0.00,0.00,0.00,0.00,0.00,5.26,1.75,1.05,5.26,44.99
73,0.00,0.00,0.00,0.00,0.69,0.00,0.00,0.23,0.41,0.69,45.97
75,1.00,0.00,0.50,1.00,2.69,0.00,1.57,1.42,1.93,2.69,62.03
77,0.00,0.00,0.00,0.00,0.00,0.00,1.57,0.52,0.31,1.57,57.52
79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.60
81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.04
83,6.95,0.00,3.47,6.95,1.45,0.00,0.00,0.48,0.87,1.45,28.02
85,14.25,0.00,7.12,14.25,3.45,1.50,0.00,1.65,2.37,3.45,21.36
87,23.80,0.00,11.90,23.80,5.45,3.50,0.00,2.99,3.97,5.45,17.30
89,30.70,0.00,15.35,30.70,7.45,5.50,0.00,4.32,5.57,7.45,17.44
91,30.62,0.00,15.31,30.62,9.45,7.50,0.00,5.65,7.17,9.45,12.69
93,30.62,0.00,15.31,30.62,11.45,9.50,0.00,6.99,8.77,11.45,15.28
95,37.55,0.00,18.78,37.55,13.45,11.50,1.63,8.86,10.70,13.45,15.06
97,44.05,0.00,22.03,44.05,15.45,13.50,3.63,10.86,12.70,15.45,12.47
99,44.03,0.00,22.01,44.03,17.45,15.50,5.63,12.86,14.70,17.45,8.34
101,44.40,0.00,22.20,44.40,19.45,17.50,7.63,14.86,16.70,19.45,4.26
103,50.77,0.00,25.38,50.77,21.45,19.50,9.63,16.86,18.70,21.45,1.70
105,50.55,0.00,25.27,50.55,23.45,21.50,11.63,18.86,20.70,23.45,0.71
107,56.97,0.00,28.49,56.97,25.45,23.50,13.63,20.86,22.70,25.45,2.05
109,57.01,0.00,28.51,57.01,27.45,25.50,15.63,22.86,24.70,27.45,4.81
111,57.01,0.00,28.51,57.01,0.00,27.50,17.63,15.04,9.03,27.50,7.76
113,56.89,0.00,28.44,56.89,0.00,29.50,19.63,16.38,9.83,29.50,11.29
115,40.68,0.00,20.34,40.68,0.00,31.50,21.63,17.71,10.63,31.50,16.59
117,23.37,2.41,12.89,23.37,0.00,33.50,23.63,19.04,11.43,33.50,19.58
119,24.71,5.55,15.13,24.71,0.00,35.50,25.63,20.38,12.23,35.50,22.83
121,21.99,10.29,16.14,21.99,0.00,36.24,27.63,21.29,12.77,36.24,25.82
123,0.00,17.45,8.73,17.45,0.00,37.06,29.63,22.23,13.34,37.06,20.97
125,0.00,18.50,9.25,18.50,0.00,30.44,31.63,20.69,12.41,31.63,18.22
127,0.00,18.50,9.25,18.50,0.00,0.00,33.63,11.21,6.73,33.63,19.41
129,0.00,20.26,10.13,20.26,0.00,0.00,35.63,11.88,7.13,35.63,17.49
131,0.00,29.87,14.93,29.87,0.00,0.00,37.63,12.54,7.53,37.63,26.57
133,0.00,30.74,15.37,30.74,0.00,0.00,39.63,13.21,7.93,39.63,30.48
135,0.00,30.74,15.37,30.74,0.00,0.00,41.63,13.88,8.33,41.63,30.32
137,0.00,30.74,15.37,30.74,0.00,0.00,43.63,14.54,8.73,43.63,27.78
139,0.00,30.74,15.37,30.74,0.00,0.32,45.63,15.32,9.19,45.63,25.25
141,0.00,30.74,15.37,30.74,0.00,0.00,47.63,15.88,9.53,47.63,21.92
143,0.00,30.74,15.37,30.74,0.67,0.00,49.63,16.77,10.33,49.63,15.38
145,0.65,30.74,15.70,30.74,0.28,0.00,51.63,17.30,10.49,51.63,11.66
147,3.86,30.74,17.30,30.74,2.28,1.22,53.63,19.04,12.34,53.63,13.99
149,14.46,30.73,22.60,30.73,0.91,3.22,45.77,16.63,10.34,45.77,20.50
151,16.99,13.53,15.26,16.99,2.91,5.22,43.98,17.37,11.59,43.98,20.52
153,22.69,0.00,11.35,22.69,4.91,7.22,25.21,12.44,9.43,25.21,24.65
155,22.48,0.00,11.24,22.48,6.91,9.22,25.81,13.98,11.15,25.81,28.73
157,22.48,0.00,11.24,22.48,8.91,11.22,0.00,6.71,7.59,11.22,32.72
159,22.48,0.00,11.24,22.48,10.91,13.22,0.00,8.04,9.19,13.22,27.64
161,22.48,0.00,11.24,22.48,12.91,15.22,0.22,9.45,10.83,15.22,21.32
163,22.48,0.00,11.24,22.48,14.91,17.22,2.22,11.45,12.83,17.22,13.96
165,27.67,4.36,16.02,27.67,16.91,19.22,4.22,13.45,14.83,19.22,13.70
167,29.07,5.13,17.10,29.07,18.91,21.22,6.22,15.45,16.83,21.22,10.03
169,34.76,5.13,19.94,34.76,20.91,23.22,8.22,17.45,18.83,23.22,12.75
171,40.01,5.13,22.57,40.01,22.91,25.22,10.22,19.45,20.83,25.22,11.61
173,40.86,5.13,22.99,40.86,24.91,27.22,12.22,21.45,22.83,27.22,13.99
175,40.86,5.13,22.99,40.86,26.91,29.22,14.22,23.45,24.83,29.22,12.85
177,43.49,5.13,24.31,43.49,28.91,31.22,16.22,25.45,26.83,31.22,10.11
179,46.95,5.13,26.04,46.95,30.91,33.22,18.22,27.45,28.83,33.22,11.28
181,46.90,5.13,26.02,46.90,32.91,35.22,20.22,29.45,30.83,35.22,12.73
183,51.95,5.13,28.54,51.95,34.91,37.22,22.22,31.45,32.83,37.22,11.00
185,56.04,5.13,30.58,56.04,36.91,39.22,24.22,33.45,34.83,39.22,11.68
