time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase,reward
1,0.00,0.00,0.00,0.00,44.34,0,
3,0.00,0.00,0.00,0.00,55.22,7,
5,0.00,0.00,0.00,0.00,62.97,7,
7,0.00,0.00,0.00,0.00,60.43,7,
9,0.00,0.00,0.00,0.00,60.24,7,4.00
11,0.00,0.00,0.00,0.00,57.23,7,
13,0.00,0.00,0.00,0.00,54.61,7,
15,0.00,0.00,0.05,0.62,52.88,7,
17,0.00,0.00,0.14,1.65,48.85,7,
19,0.92,3.66,0.36,3.65,43.72,7,1.82
21,1.11,4.43,0.76,5.65,40.09,7,
23,2.08,4.31,1.28,7.65,38.10,8,
25,2.53,5.24,1.99,9.65,37.11,8,
27,3.43,8.56,3.13,11.65,41.01,8,
29,4.05,11.17,2.99,13.65,39.69,8,2.30
31,4.84,14.37,3.60,15.65,35.87,8,
33,5.54,17.14,4.66,17.65,33.04,1,
35,6.20,17.11,5.39,19.65,35.46,1,
37,7.55,20.66,4.63,18.64,33.51,1,
39,8.19,23.21,5.47,20.64,32.85,1,2.04
41,6.90,11.78,6.30,22.64,34.88,1,
43,8.63,12.22,6.67,24.64,33.30,2,
45,9.07,12.55,7.01,26.64,30.38,2,
47,9.40,16.64,8.07,28.64,26.95,2,
49,8.13,16.57,6.58,30.64,25.83,2,1.85
51,10.72,22.23,6.08,32.64,23.02,2,
53,15.05,27.35,7.45,34.64,19.43,5,
55,16.00,29.63,7.93,36.64,19.71,5,
57,16.08,29.62,9.43,38.64,19.03,5,
59,18.87,29.61,9.03,24.43,21.20,5,1.77
61,16.45,28.49,8.80,23.58,20.52,5,
63,14.55,34.64,9.29,25.58,21.25,7,
65,16.96,37.00,10.31,27.58,24.44,7,
67,20.17,39.94,11.64,29.58,26.10,7,
69,21.15,43.86,11.38,31.58,25.38,7,1.69
71,21.55,45.44,12.02,33.58,25.18,7,
73,23.03,49.62,12.45,35.58,23.84,1,
75,18.14,24.33,13.89,37.58,24.54,1,
77,13.27,24.24,15.10,39.58,26.62,1,
79,13.27,24.24,14.94,41.58,25.99,1,1.67
81,13.40,24.24,15.48,43.58,25.27,1,
83,14.49,24.24,16.98,45.58,24.77,4,
85,15.87,29.62,17.48,47.58,22.48,4,
87,19.12,30.27,18.81,49.58,18.87,4,
89,22.54,30.33,19.48,48.25,20.09,4,1.23
91,17.76,31.20,18.57,37.98,20.65,4,
93,22.53,44.85,18.60,39.98,18.28,1,
95,22.44,44.62,18.49,41.98,16.06,1,
97,25.26,45.78,20.39,43.98,15.61,1,
99,29.03,51.70,22.32,45.98,15.33,1,1.39
101,26.41,51.56,22.91,47.98,14.76,1,
103,27.85,51.56,24.57,49.98,13.52,2,
105,29.32,51.56,25.53,51.98,10.90,2,
107,30.78,51.56,27.36,53.98,9.99,2,
109,34.14,54.91,23.97,55.98,9.05,2,0.66
111,35.08,62.42,22.32,57.98,8.18,2,
113,36.02,64.09,19.42,59.98,6.80,3,
115,37.11,64.08,19.38,61.98,8.47,3,
117,38.09,64.08,20.88,63.98,10.35,3,
119,41.21,64.08,18.35,36.66,14.14,3,1.92
121,41.86,64.08,19.47,37.52,17.83,3,
123,41.85,64.08,20.37,39.52,20.57,4,
125,43.42,70.34,21.02,41.52,19.53,4,
127,46.02,76.34,22.01,43.52,21.15,4,
129,42.61,76.40,21.57,38.94,24.95,4,1.74
131,22.52,57.45,22.46,40.94,25.13,4,
133,12.00,20.20,18.83,42.94,22.51,7,
135,15.05,25.65,18.96,44.94,18.73,7,
137,18.11,28.77,20.48,46.94,16.50,7,
139,23.52,34.92,19.71,45.43,14.00,7,1.72
141,29.74,42.01,17.66,43.84,13.89,7,
143,32.08,49.98,16.63,37.95,16.21,8,
145,23.73,37.36,16.88,39.95,16.53,8,
147,22.68,41.07,17.18,41.95,16.12,8,
149,23.50,41.00,15.74,43.95,15.92,8,1.41
151,28.67,45.13,16.80,45.95,15.23,8,
153,30.73,47.15,17.89,47.95,13.73,5,
155,25.47,49.49,19.00,49.95,12.30,5,
157,28.59,56.63,19.05,51.95,12.10,5,
159,33.54,56.42,16.45,52.17,11.65,5,1.63
161,38.70,56.93,17.08,54.21,11.85,5,
163,41.85,67.02,16.33,44.74,11.79,2,
165,45.00,75.55,16.43,37.92,13.20,2,
