time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase,reward
1,0.00,0.00,0.00,0.00,44.34,0.00,0,
3,0.00,0.00,0.00,0.00,55.22,0.00,7,
5,0.00,0.00,0.00,0.00,62.97,0.00,7,
7,0.00,0.00,0.00,0.00,60.43,0.00,7,
9,0.00,0.00,0.00,0.00,60.24,0.00,7,4.00
11,0.00,0.00,0.00,0.00,57.23,0.00,7,
13,0.00,0.00,0.00,0.00,53.34,0.00,8,
15,0.00,0.00,0.01,0.08,48.75,0.00,8,
17,0.57,2.29,0.31,2.08,46.30,0.00,8,
19,2.09,4.70,0.74,4.08,41.64,1.00,8,0.42
21,2.28,4.67,1.28,6.08,38.16,0.00,8,
23,2.36,5.12,1.95,8.08,34.58,0.00,3,
25,3.62,9.85,2.92,10.08,32.37,0.00,3,
27,6.76,13.29,4.17,12.08,32.93,2.00,3,
29,10.00,17.91,3.45,13.65,30.89,0.00,3,0.55
31,12.36,17.82,4.51,15.65,28.09,1.00,3,
33,14.28,22.89,5.62,17.65,25.42,0.00,1,
35,15.81,29.01,6.88,19.65,27.72,1.00,1,
37,17.52,30.89,6.45,16.98,26.86,1.00,1,
39,19.41,30.88,6.81,16.00,28.04,2.00,1,2.01
41,13.01,21.54,7.63,18.00,30.99,2.00,1,
43,10.53,24.80,7.83,20.00,29.26,2.00,8,
45,11.24,24.76,7.93,22.00,25.76,0.00,8,
47,13.96,24.76,9.26,24.00,23.53,2.00,8,
49,17.56,24.51,9.67,26.00,22.37,2.00,8,1.52
51,17.70,29.84,9.66,28.00,18.17,1.00,8,
53,20.84,38.40,10.93,30.00,13.03,2.00,5,
55,24.14,43.23,10.94,32.00,13.84,1.00,5,
57,27.18,44.25,12.29,34.00,14.62,3.00,5,
59,29.52,52.16,12.47,36.00,16.65,2.00,5,1.64
61,25.22,57.60,11.98,38.00,16.08,2.00,5,
63,26.32,61.99,12.77,40.00,16.20,1.00,6,
65,28.92,62.67,13.04,42.00,19.38,0.00,6,
67,30.99,68.90,14.20,44.00,21.50,2.00,6,
69,31.78,68.74,12.94,35.30,21.21,1.00,6,2.02
71,33.96,74.52,12.74,37.30,21.23,1.00,6,
73,35.34,74.55,14.08,39.30,20.02,1.00,1,
75,37.58,78.33,14.86,41.30,19.04,1.00,1,
77,27.84,83.88,16.32,43.30,20.27,2.00,1,
79,29.00,93.98,16.87,37.98,19.02,2.00,1,1.97
