time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,44.75,0
3,0.00,0.00,0.00,0.00,53.03,5
5,0.00,0.00,0.00,0.00,56.42,5
7,0.00,0.00,0.00,0.00,58.21,5
9,0.00,0.00,0.00,0.00,59.02,5
11,0.00,0.00,0.00,0.00,60.72,5
13,0.00,0.00,0.00,0.00,55.59,6
15,0.00,0.00,0.04,0.51,46.59,6
17,0.14,0.54,0.07,0.88,40.31,6
19,1.21,4.82,0.28,2.88,34.90,6
21,4.08,13.22,0.69,4.88,32.11,6
23,5.64,17.81,1.38,6.88,32.27,1
25,5.62,17.73,1.84,8.88,32.76,1
27,6.47,17.70,2.53,10.88,29.46,1
29,4.34,6.71,3.42,11.37,28.17,1
31,3.57,9.52,3.87,12.50,27.21,1
33,5.16,15.89,3.45,14.50,27.02,2
35,5.18,15.93,3.34,16.50,35.24,2
37,6.17,15.90,3.49,18.50,36.17,2
39,5.45,11.07,2.90,12.36,34.94,2
41,3.94,11.03,2.52,9.13,31.84,2
43,5.79,11.03,2.54,10.59,35.11,8
45,6.76,11.36,3.10,12.59,37.85,8
47,5.63,11.30,3.87,14.59,37.40,8
49,5.58,11.30,3.05,14.27,36.14,8
51,7.36,18.13,3.55,16.27,34.26,8
53,7.38,18.22,4.05,18.27,31.12,1
55,7.38,18.22,4.55,20.27,31.90,1
57,7.25,20.82,5.06,22.27,32.84,1
59,3.82,13.60,2.81,19.29,35.08,1
61,1.27,5.06,2.11,12.32,33.82,1
63,1.32,5.27,1.44,6.11,35.64,6
65,1.81,5.17,1.38,8.11,46.33,6
67,0.11,0.22,1.91,10.11,46.59,6
69,0.00,0.00,0.77,5.94,46.22,6
71,0.08,0.32,1.01,7.94,44.06,6
73,2.30,5.70,1.51,9.94,38.95,1
75,2.95,6.32,2.01,11.94,36.39,1
77,3.91,10.19,2.56,13.94,30.29,1
79,2.00,6.68,3.13,15.94,30.03,1
81,4.77,12.90,3.22,17.94,29.97,1
83,7.00,12.76,3.76,19.94,34.38,8
85,7.24,12.76,4.23,21.94,38.81,8
87,6.53,11.53,3.07,17.26,39.25,8
89,4.05,11.53,3.05,12.60,37.17,8
91,4.05,11.53,2.81,14.60,33.31,8
93,4.05,11.53,3.64,16.60,29.55,5
95,5.15,11.53,4.48,18.60,31.03,5
97,5.84,10.96,5.21,20.60,29.84,5
99,6.85,17.31,5.66,22.60,25.04,5
101,7.48,19.13,4.67,24.60,17.26,5
103,9.99,24.57,5.14,26.60,13.49,6
105,11.87,25.09,5.98,28.60,12.91,6
107,14.07,32.92,6.81,30.60,13.31,6
109,19.32,40.36,4.22,16.71,18.11,6
111,21.44,48.97,3.93,18.71,17.99,6
113,15.35,48.84,4.23,20.71,20.78,7
115,12.36,49.44,3.76,22.71,19.18,7
117,15.88,58.64,4.26,24.71,16.88,7
119,18.24,61.84,4.49,22.84,16.32,7
121,19.58,67.40,4.80,20.57,22.74,7
123,21.11,73.53,5.19,20.76,27.14,1
125,22.48,78.99,5.68,21.28,30.34,1
127,22.56,79.32,4.63,23.28,33.81,1
129,16.45,54.90,4.89,23.62,33.44,1
131,3.30,10.92,4.84,25.62,31.74,1
133,2.73,10.92,4.93,27.62,30.03,7
135,3.98,10.92,5.70,29.62,26.69,7
137,5.65,10.92,6.44,31.62,30.04,7
139,8.82,19.64,5.31,33.62,30.00,7
141,10.16,24.99,6.48,35.62,31.68,7
143,11.57,24.86,6.80,37.62,31.96,1
145,11.85,24.86,7.34,39.62,31.81,1
147,11.32,24.86,7.77,41.62,31.40,1
149,8.93,24.86,8.94,43.62,29.81,1
151,10.69,28.34,9.46,45.62,30.63,1
153,12.08,30.76,9.87,47.62,29.99,1
155,12.34,31.83,10.33,49.62,28.89,1
157,13.74,37.43,10.88,51.62,26.37,1
159,13.71,37.30,11.67,53.62,24.88,1
161,15.23,43.36,12.02,55.62,24.49,1
163,16.44,43.76,13.22,57.62,24.11,2
165,16.49,43.76,14.31,59.62,24.80,2
167,20.63,43.76,13.21,61.62,26.89,2
169,23.25,43.76,14.65,62.91,29.47,2
171,22.29,43.76,10.63,35.43,28.98,2
173,21.26,36.69,9.13,36.22,26.78,1
175,14.92,35.06,8.32,24.54,26.48,1
177,18.42,37.29,9.73,26.54,21.68,1
179,23.14,40.86,10.36,28.54,18.32,1
181,27.85,46.71,11.12,30.54,17.90,1
183,20.89,41.68,12.50,32.54,17.77,1
185,14.22,43.53,11.27,34.54,19.45,1
187,14.77,43.44,11.94,36.54,19.85,1
189,14.77,43.44,12.64,38.54,21.79,1
191,14.77,43.44,13.67,40.54,25.40,1
193,14.77,43.44,14.16,42.54,26.85,2
195,15.68,43.44,15.54,44.54,27.23,2
197,16.62,43.44,16.45,46.54,26.03,2
199,14.59,43.44,16.85,42.50,24.19,2
201,17.37,43.44,15.20,43.47,19.85,2
203,18.75,34.31,14.90,45.47,15.14,1
205,14.64,28.40,15.72,47.47,14.67,1
207,19.66,39.39,16.74,49.47,15.02,1
209,22.02,42.35,18.47,51.47,16.19,1
211,21.97,43.38,19.32,53.47,20.42,1
213,21.53,48.50,20.24,55.47,24.90,8
215,22.40,45.94,20.84,57.47,24.71,8
217,16.09,22.23,21.09,59.47,25.95,8
219,13.39,18.64,18.99,61.47,23.55,8
221,10.20,19.46,20.01,63.47,19.12,8
223,12.83,23.35,21.19,65.47,15.04,1
225,13.45,25.72,21.71,67.47,15.24,1
227,14.74,29.77,23.15,69.47,14.82,1
229,17.45,30.14,24.67,71.47,18.27,1
231,14.01,30.01,24.77,73.47,21.90,1
233,11.23,30.01,23.66,75.47,25.13,2
235,11.21,30.01,23.79,77.47,28.50,2
237,9.90,30.01,24.39,79.47,29.99,2
239,9.90,30.01,24.54,81.47,31.68,2
241,7.90,19.12,20.62,83.47,29.77,2
243,6.61,10.97,18.44,85.47,27.45,6
245,6.58,10.94,18.93,87.47,27.42,6
247,3.90,10.94,16.57,89.47,20.21,6
249,4.25,10.94,13.90,91.47,17.00,6
251,5.92,11.28,14.70,93.47,16.69,6
253,5.50,11.08,15.48,95.47,17.17,3
255,5.50,11.08,16.07,97.47,27.15,3
257,4.56,10.31,15.71,99.47,35.83,3
259,3.87,10.31,4.66,19.57,35.96,3
261,5.62,12.18,2.35,17.22,38.32,3
263,5.56,11.94,2.68,19.22,40.73,1
265,5.56,11.94,3.02,21.22,41.35,1
267,6.33,17.40,2.79,16.96,46.57,1
269,2.84,9.13,2.65,16.49,50.00,1
271,0.00,0.00,1.09,7.02,49.02,1
273,0.34,1.36,1.22,8.08,41.99,5
275,1.20,4.82,1.40,10.08,41.04,5
277,0.98,3.93,2.25,12.08,34.67,5
279,4.07,10.73,2.50,14.08,29.34,5
281,5.49,10.68,3.18,16.08,27.39,5
283,8.62,12.59,4.22,18.08,27.86,7
285,10.28,18.02,5.46,20.08,29.25,7
287,10.73,17.93,4.71,12.13,29.75,7
289,8.15,19.11,5.39,14.13,34.59,7
291,6.02,19.06,5.94,16.13,35.84,7
