time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.04
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.49
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.75
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.59
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.51
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.21
19,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.20,0.36,0.60,38.17
21,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.87,1.56,2.60,22.47
23,3.06,0.00,1.53,3.06,4.60,0.00,0.00,1.53,2.76,4.60,17.92
25,10.81,0.00,5.41,10.81,6.60,0.00,0.00,2.20,3.96,6.60,20.74
27,16.48,0.00,8.24,16.48,6.56,0.00,1.70,2.75,4.28,6.56,29.75
29,6.94,3.64,5.29,6.94,8.56,0.00,3.70,4.09,5.88,8.56,40.43
31,0.00,5.69,2.85,5.69,5.59,0.00,5.70,3.76,4.49,5.70,40.17
33,0.00,5.68,2.84,5.68,0.00,0.00,7.70,2.57,1.54,7.70,38.90
35,0.00,5.68,2.84,5.68,0.00,0.00,9.70,3.23,1.94,9.70,38.24
37,0.00,5.68,2.84,5.68,0.17,0.00,11.70,3.95,2.44,11.70,37.88
39,0.00,5.68,2.84,5.68,2.17,0.00,13.70,5.29,4.04,13.70,34.65
41,0.00,5.68,2.84,5.68,4.17,0.00,15.70,6.62,5.64,15.70,25.70
43,0.00,5.68,2.84,5.68,0.00,1.24,17.70,6.31,3.79,17.70,31.33
45,4.40,5.68,5.04,5.68,1.17,3.24,19.70,8.04,5.29,19.70,33.48
47,0.00,5.68,2.84,5.68,3.17,5.24,21.70,10.04,7.29,21.70,40.26
49,0.00,5.68,2.84,5.68,5.17,0.00,23.70,9.62,7.84,23.70,39.91
51,0.00,5.68,2.84,5.68,0.00,0.00,25.70,8.57,5.14,25.70,37.66
53,0.00,5.68,2.84,5.68,0.00,1.37,27.70,9.69,5.81,27.70,36.12
55,0.00,5.59,2.79,5.59,0.72,0.00,29.70,10.14,6.37,29.70,39.78
57,0.00,0.48,0.24,0.48,2.72,0.00,31.70,11.47,7.97,31.70,30.08
59,1.56,0.00,0.78,1.56,4.72,0.00,0.00,1.57,2.83,4.72,19.68
61,8.38,0.00,4.19,8.38,6.72,0.00,0.00,2.24,4.03,6.72,22.56
63,16.89,0.00,8.44,16.89,8.72,0.00,0.00,2.91,5.23,8.72,28.53
65,17.24,0.00,8.62,17.24,10.72,0.00,0.00,3.57,6.43,10.72,35.27
67,17.20,0.00,8.60,17.20,9.13,0.00,0.00,3.04,5.48,9.13,39.32
69,4.94,0.00,2.47,4.94,11.13,0.00,0.00,3.71,6.68,11.13,45.16
71,0.00,0.00,0.00,0.00,10.31,0.00,0.00,3.44,6.18,10.31,41.10
