time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,44.34,1
3,0.00,0.00,0.00,0.00,54.49,1
5,0.00,0.00,0.00,0.00,62.83,1
7,0.00,0.00,0.00,0.00,60.21,1
9,0.00,0.00,0.00,0.00,59.97,1
11,0.00,0.00,0.00,0.00,56.66,3
13,0.00,0.00,0.00,0.00,53.30,3
15,0.00,0.00,0.00,0.00,52.84,3
17,0.00,0.00,0.26,1.69,49.73,3
19,0.97,3.87,0.35,3.69,44.41,3
21,1.00,4.01,0.62,5.69,39.34,2
23,3.28,5.11,1.12,7.69,36.08,2
25,4.55,8.94,1.88,9.69,34.57,2
27,5.37,13.30,2.98,11.69,35.96,2
29,8.53,17.90,2.91,13.69,33.05,2
31,11.05,17.82,3.76,15.69,29.36,4
33,13.03,22.89,4.93,17.69,26.40,4
35,14.65,29.37,5.85,19.69,29.15,4
37,15.78,30.89,5.31,16.99,27.55,4
39,14.45,30.89,6.47,18.99,27.16,4
41,17.68,36.05,7.11,20.99,27.38,4
43,20.05,43.15,8.08,22.99,24.19,1
45,21.53,45.29,9.04,24.99,19.76,1
47,24.07,49.99,10.21,26.99,17.94,1
49,28.23,60.07,11.54,28.99,17.55,1
51,31.72,64.55,11.54,26.93,15.75,1
53,36.74,68.39,12.01,25.82,14.11,1
55,36.57,69.83,11.89,24.16,13.54,3
57,36.54,75.52,12.55,26.16,12.26,3
59,40.60,81.17,12.29,28.16,14.22,3
61,47.69,87.32,12.20,30.16,16.16,3
63,48.17,86.96,12.48,32.16,17.20,3
65,42.29,86.76,13.49,34.16,17.65,3
67,43.06,89.93,14.88,36.16,19.70,2
69,30.43,59.07,15.15,38.16,17.93,2
71,30.87,62.71,16.65,40.16,19.05,2
73,34.27,65.35,18.15,42.16,18.12,2
75,36.35,66.41,19.02,34.87,16.85,2
77,40.21,71.86,19.51,34.47,17.45,2
79,46.08,71.72,17.54,36.47,16.47,4
81,52.18,84.18,17.64,38.47,15.76,4
83,43.62,96.45,18.30,40.47,15.93,4
85,43.39,102.46,19.26,42.47,14.09,4
87,49.50,114.89,19.28,44.47,12.06,4
89,50.74,120.35,20.02,46.47,12.71,4
91,51.92,120.26,19.92,48.47,13.81,1
93,53.92,120.26,20.49,50.47,12.67,1
95,56.64,126.39,21.38,52.47,10.45,1
97,59.44,127.20,22.88,54.47,9.79,1
99,62.24,127.20,23.99,53.61,9.34,1
101,66.14,127.20,24.23,52.93,10.04,1
103,70.04,127.20,24.78,53.94,9.94,1
105,72.81,128.72,24.67,52.40,11.22,3
107,77.15,138.12,25.95,54.40,12.49,3
109,77.42,139.73,26.29,56.40,11.38,3
111,78.59,139.70,28.12,58.40,9.81,3
113,79.76,139.22,27.88,54.35,10.08,3
115,82.50,138.67,25.20,52.94,12.00,3
117,83.77,138.08,26.87,54.94,12.60,2
119,80.78,136.72,28.54,56.94,13.70,2
121,43.52,89.50,29.44,58.94,14.86,2
123,27.01,47.02,31.11,60.94,16.74,2
125,32.15,59.37,32.11,62.94,16.02,2
127,36.49,67.42,31.83,64.94,15.63,2
129,35.89,80.91,30.68,66.94,13.80,2
131,41.25,90.95,31.13,68.94,12.67,4
133,48.07,97.45,31.02,70.94,10.36,4
135,54.14,113.23,32.48,72.94,7.74,4
137,58.96,123.45,34.01,74.94,6.16,4
139,63.80,136.69,35.05,76.94,4.98,4
141,70.12,150.44,33.27,78.94,6.68,4
143,73.68,155.15,33.47,80.94,8.97,1
145,76.72,159.72,33.84,82.94,8.28,1
147,76.97,161.38,34.18,84.94,8.08,1
149,68.91,161.38,35.68,86.94,7.81,1
151,67.36,169.65,35.49,82.63,7.99,1
153,72.23,174.42,34.64,77.22,8.06,1
155,75.13,174.32,34.27,75.92,7.81,1
157,79.83,179.93,35.78,76.93,7.33,1
159,83.85,180.29,35.22,75.96,7.69,3
161,85.79,180.29,32.91,77.96,8.66,3
163,86.12,180.29,34.41,79.96,8.64,3
165,90.25,190.46,36.06,81.96,10.59,3
167,72.26,180.29,37.61,82.34,9.71,3
169,71.94,182.29,39.29,82.38,8.54,3
171,75.22,187.22,39.99,82.18,7.61,2
173,78.60,201.05,38.71,82.86,10.54,2
175,79.70,200.28,39.50,84.86,11.53,2
177,81.59,199.69,41.34,86.86,11.61,2
179,81.55,199.69,41.46,88.86,12.88,2
181,78.72,199.69,42.76,90.86,12.75,2
183,78.17,199.69,42.82,92.86,12.76,2
185,79.38,199.69,40.37,94.86,10.93,2
187,83.03,199.69,40.22,96.86,10.11,4
189,87.15,199.69,40.33,98.86,9.07,4
191,89.74,199.69,42.00,100.86,8.85,4
193,90.56,199.69,42.92,102.86,8.44,4
195,91.74,198.87,42.63,104.86,10.23,4
197,76.25,156.27,39.25,106.86,10.54,4
199,47.68,102.87,40.15,108.86,12.05,1
201,52.11,112.27,39.50,110.86,13.16,1
203,54.72,117.85,41.07,112.86,13.84,1
205,56.17,123.88,41.67,114.86,14.49,1
207,57.55,129.85,42.75,113.44,12.56,1
209,61.99,144.62,43.14,111.81,9.50,1
211,69.34,158.17,42.58,101.48,8.26,1
213,76.58,170.65,43.16,100.39,7.48,1
215,83.36,181.58,43.92,102.39,6.45,1
217,88.30,189.67,45.25,104.39,4.59,3
219,92.90,194.15,46.79,106.39,5.49,3
221,96.03,198.78,47.94,108.39,5.25,3
223,99.75,198.72,46.94,110.39,5.33,3
225,100.72,198.72,43.72,87.57,4.60,3
227,100.71,198.72,45.28,89.57,3.93,3
229,103.28,198.72,45.54,91.57,3.58,2
231,105.63,198.72,46.35,93.57,4.49,2
233,107.13,198.72,47.78,95.57,5.28,2
235,107.09,198.72,49.44,97.57,7.65,2
237,107.09,198.72,47.74,99.57,9.69,2
239,107.09,198.72,49.25,101.57,9.92,2
241,107.55,198.72,49.67,103.57,9.98,2
243,110.10,198.72,50.45,105.57,10.55,2
245,111.07,198.71,50.42,107.57,10.38,4
247,112.66,198.32,52.08,109.57,9.03,4
249,98.22,134.57,52.33,111.57,8.81,4
251,95.65,121.40,53.15,108.01,9.20,4
253,86.68,128.11,54.66,110.01,9.74,4
255,82.88,134.30,55.01,111.30,11.15,4
257,59.57,142.91,53.47,113.30,12.10,1
259,63.13,156.80,52.65,115.30,10.25,1
261,70.27,170.01,50.52,117.30,8.99,1
263,81.31,179.74,52.02,119.30,9.13,1
265,88.44,187.16,52.25,119.13,9.71,1
267,93.94,193.47,52.31,120.53,11.14,1
