time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase
1,0.00,0.00,0.00,0.00,43.65,0.00,1
3,0.00,0.00,0.00,0.00,51.41,0.00,1
5,0.00,0.00,0.00,0.00,56.67,0.00,1
7,0.00,0.00,0.00,0.00,59.06,0.00,1
9,0.00,0.00,0.00,0.00,61.13,0.00,1
11,0.00,0.00,0.00,0.00,60.13,0.00,1
13,0.00,0.00,0.00,0.00,55.33,0.00,1
15,0.00,0.00,0.00,0.00,49.00,0.00,1
17,0.31,1.22,0.33,1.82,42.93,0.00,1
19,2.09,5.48,0.86,3.82,37.58,0.00,1
21,3.05,5.44,1.53,5.82,31.83,0.00,3
23,8.40,11.34,2.38,7.82,30.36,1.00,3
25,8.61,12.06,3.24,9.82,26.59,1.00,3
27,10.08,17.28,4.15,11.82,24.44,2.00,3
29,8.09,12.06,4.97,13.82,27.52,2.00,3
31,7.57,13.86,5.58,15.82,30.52,2.00,3
33,8.78,18.75,6.25,17.82,33.84,1.00,3
35,8.76,18.67,6.70,19.82,32.22,0.00,3
37,8.76,18.67,7.58,21.82,30.93,0.00,3
39,9.77,18.67,8.74,23.82,27.83,1.00,2
41,11.33,18.67,9.68,25.82,24.50,1.00,2
43,12.23,18.67,10.63,27.82,20.98,0.00,2
45,14.66,18.66,11.79,29.82,19.14,2.00,2
47,12.92,16.56,11.75,31.82,20.10,2.00,2
49,11.32,16.61,9.14,33.82,20.25,2.00,2
51,11.32,16.61,8.32,35.82,17.95,1.00,4
53,11.62,16.61,9.46,37.82,17.20,1.00,4
55,13.88,21.78,10.08,39.82,23.37,0.00,4
57,14.84,23.71,11.24,41.82,24.52,2.00,4
59,14.20,23.71,10.66,32.67,24.77,1.00,1
61,8.95,23.71,10.46,34.67,24.42,1.00,1
63,11.09,25.18,10.50,36.67,25.15,0.00,1
65,14.60,34.00,11.50,38.67,24.22,2.00,1
67,15.84,39.52,11.32,30.16,24.87,2.00,1
69,19.18,52.86,8.82,26.60,23.27,2.00,1
71,21.32,61.45,7.16,28.60,21.37,2.00,1
73,22.33,65.48,7.23,30.60,18.85,2.00,1
75,24.46,67.92,7.82,32.60,16.80,0.00,3
77,28.15,71.32,8.88,34.60,15.65,1.00,3
79,33.18,83.90,9.60,36.60,15.51,1.00,3
81,33.52,85.45,10.22,38.60,17.12,2.00,3
83,33.52,85.45,10.22,36.20,19.36,2.00,3
85,31.09,85.45,9.67,33.61,22.40,2.00,3
87,27.21,85.45,9.73,33.55,24.77,2.00,3
89,28.69,85.45,9.68,34.13,26.77,2.00,3
91,28.64,85.45,10.07,36.13,28.28,2.00,3
93,29.19,85.40,10.83,38.13,27.16,1.00,3
95,29.60,83.49,11.85,40.13,22.64,2.00,2
97,25.43,62.02,10.37,42.13,20.38,0.00,2
99,17.19,20.77,11.68,44.13,21.36,0.00,2
101,20.19,22.80,13.12,46.13,20.75,2.00,2
103,22.41,24.80,13.75,48.13,18.27,2.00,2
105,25.58,34.73,13.73,50.13,17.08,1.00,4
107,29.74,39.24,14.41,52.13,15.20,1.00,4
109,32.96,45.54,15.05,54.13,14.02,0.00,4
111,37.54,53.13,16.05,56.13,11.67,2.00,4
113,43.45,77.56,14.39,46.61,10.89,2.00,4
115,48.25,90.48,13.99,48.61,10.35,2.00,1
117,52.07,93.66,12.36,50.61,12.48,1.00,1
119,48.49,92.94,13.49,52.61,13.18,0.00,1
