time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.15
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.84
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.45
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.45
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.27
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.40
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.71
19,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.27,0.16,0.80,32.00
21,5.16,0.00,2.58,5.16,0.00,2.80,0.00,0.93,0.56,2.80,28.42
23,11.04,0.00,5.52,11.04,0.00,4.80,0.00,1.60,0.96,4.80,26.22
25,10.88,0.00,5.44,10.88,0.00,6.80,0.00,2.27,1.36,6.80,30.14
27,10.88,0.00,5.44,10.88,0.00,8.80,0.00,2.93,1.76,8.80,28.33
29,10.88,0.00,5.44,10.88,0.00,10.80,0.43,3.74,2.42,10.80,22.22
31,10.88,0.00,5.44,10.88,0.00,12.80,2.43,5.08,4.02,12.80,22.82
33,10.88,8.51,9.69,10.88,0.00,14.80,4.43,6.41,5.62,14.80,19.78
35,16.00,10.70,13.35,16.00,0.00,16.80,6.43,7.74,7.22,16.80,24.71
37,16.63,0.00,8.31,16.63,0.00,18.80,8.43,9.08,8.82,18.80,28.64
39,16.63,0.00,8.31,16.63,0.00,20.80,0.00,6.93,4.16,20.80,28.29
41,16.63,0.00,8.31,16.63,0.00,22.80,1.12,7.97,5.23,22.80,27.79
43,16.63,0.00,8.31,16.63,0.00,24.80,0.00,8.27,4.96,24.80,32.70
45,16.63,0.00,8.31,16.63,0.00,26.80,0.00,8.93,5.36,26.80,30.03
47,16.63,0.84,8.73,16.63,0.00,28.80,0.97,9.92,6.34,28.80,25.69
49,17.71,4.93,11.32,17.71,0.00,30.80,2.97,11.26,7.94,30.80,29.30
51,23.26,4.79,14.02,23.26,0.00,32.80,4.97,12.59,9.54,32.80,28.51
53,23.14,6.94,15.04,23.14,0.00,34.80,6.97,13.92,11.14,34.80,23.61
55,23.14,10.46,16.80,23.14,0.00,36.80,8.97,15.26,12.74,36.80,21.16
57,23.14,13.67,18.40,23.14,0.00,38.80,10.97,16.59,14.34,38.80,16.07
59,23.14,23.74,23.44,23.74,0.00,40.80,12.97,17.92,15.94,40.80,15.08
61,23.14,28.88,26.01,28.88,0.00,42.80,14.97,19.26,17.54,42.80,11.39
63,29.00,28.82,28.91,29.00,0.00,44.80,16.97,20.59,19.14,44.80,7.98
65,39.95,37.31,38.63,39.95,1.25,46.80,18.97,22.34,20.99,46.80,10.53
67,42.54,43.86,43.20,43.86,3.25,48.80,20.97,24.34,22.99,48.80,11.94
69,47.88,49.21,48.54,49.21,5.25,49.08,19.10,24.48,22.33,49.08,16.00
71,49.63,50.95,50.29,50.95,7.25,38.84,14.93,20.34,18.18,38.84,22.55
