time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,0
3,0.00,0.00,0.00,0.00,44.38,4
5,0.00,0.00,0.00,0.00,53.24,4
7,0.00,0.00,0.00,0.00,61.15,4
9,0.00,0.00,0.00,0.00,64.22,4
11,0.00,0.00,0.00,0.00,61.12,4
13,0.00,0.00,0.00,0.00,57.22,3
15,0.00,0.00,0.00,0.00,53.62,3
17,0.00,0.00,0.08,0.95,53.49,3
19,0.00,0.00,0.11,1.32,51.86,3
21,1.04,4.17,0.28,3.32,49.77,3
23,1.22,4.87,0.44,5.32,45.33,1
25,1.21,4.12,0.65,7.32,49.23,1
27,1.02,4.10,0.50,2.27,43.61,1
29,1.38,5.52,0.36,4.27,39.49,1
31,4.01,7.38,0.93,6.27,36.38,1
33,6.50,10.96,1.66,8.27,30.79,6
35,6.66,11.64,2.36,10.27,31.32,6
37,6.00,10.16,3.12,12.27,28.64,6
39,4.70,10.16,3.85,10.07,27.80,6
41,5.03,10.16,3.99,12.07,27.44,6
43,5.43,11.79,3.59,14.07,21.85,3
45,6.45,16.04,4.54,16.07,23.89,3
47,5.39,15.74,5.54,18.07,25.70,3
49,4.45,11.60,4.19,19.06,28.09,3
51,6.70,15.21,3.38,16.80,30.67,3
53,7.22,17.28,3.28,18.80,29.02,4
55,7.63,17.27,3.70,20.80,35.96,4
57,8.83,17.23,3.28,22.80,43.50,4
59,2.99,7.31,3.08,18.42,42.69,4
61,2.54,10.16,1.53,12.78,43.01,4
63,2.61,10.44,1.13,6.87,43.73,3
65,3.01,10.44,1.10,8.87,47.32,3
67,3.01,7.51,1.21,10.87,47.94,3
69,1.42,5.66,1.28,10.57,46.68,3
71,1.41,5.66,0.93,6.82,42.52,3
73,3.06,5.66,1.37,8.82,39.20,6
75,6.44,11.21,1.97,10.82,39.29,6
77,6.52,10.55,2.39,12.82,36.50,6
79,4.59,7.47,3.64,14.82,32.40,6
81,5.68,11.94,4.41,16.82,30.25,6
83,7.24,16.93,5.35,18.82,24.83,5
85,9.90,23.73,6.77,20.82,22.99,5
87,13.67,30.19,7.10,22.82,21.33,5
89,14.69,30.06,8.18,24.82,23.12,5
91,12.24,23.41,8.99,26.82,21.32,5
93,9.88,28.74,9.13,28.82,17.89,4
95,10.77,29.83,10.04,30.82,19.41,4
97,14.35,29.83,10.55,32.82,24.63,4
99,12.97,29.83,10.10,34.82,27.77,4
101,12.97,29.83,10.69,36.82,29.87,4
103,12.97,29.83,11.64,38.82,27.83,3
105,12.95,29.83,12.92,40.82,27.83,3
107,11.89,29.83,14.08,42.82,25.29,3
109,13.64,39.67,13.82,44.82,23.27,3
111,16.54,51.28,12.72,46.82,17.92,3
113,20.71,64.78,13.65,48.82,15.15,6
115,25.50,77.59,14.72,50.82,17.66,6
117,28.75,87.63,14.81,52.82,17.55,6
119,29.12,91.90,12.88,54.82,19.06,6
121,32.11,99.00,13.68,56.82,17.60,6
123,34.07,103.45,12.52,58.82,19.50,6
125,37.82,110.11,13.41,60.82,18.56,6
127,37.97,110.91,14.15,62.82,17.11,6
129,10.24,23.81,15.19,64.82,16.62,6
131,10.24,23.81,15.00,66.82,16.77,6
133,10.24,23.81,16.22,68.82,18.03,3
135,10.24,23.81,17.30,70.82,20.64,3
137,11.27,27.92,18.50,72.82,24.51,3
139,11.62,29.33,18.35,74.82,26.20,3
141,12.18,29.33,19.13,76.82,25.25,3
143,12.92,29.33,19.26,78.82,25.27,4
145,14.63,29.33,20.52,80.82,24.82,4
147,17.70,31.67,20.60,82.82,20.41,4
149,17.33,39.74,19.76,84.82,19.62,4
151,20.47,47.42,19.81,86.82,17.70,4
153,25.13,55.04,20.98,88.82,17.72,1
155,27.05,59.03,22.30,90.82,20.17,1
157,29.36,61.45,23.45,92.82,21.43,1
159,29.85,61.43,16.85,77.91,20.93,1
161,26.37,67.63,15.08,79.91,21.83,1
163,27.31,68.41,15.52,81.91,20.23,3
165,30.48,70.60,15.75,83.91,19.33,3
167,32.02,76.75,17.26,85.91,20.10,3
169,34.65,85.06,17.95,87.91,20.27,3
171,32.15,86.00,18.42,89.91,21.62,3
173,21.54,57.40,18.86,91.91,18.30,6
175,15.05,23.41,19.35,93.91,16.20,6
177,19.86,23.41,19.97,95.91,14.31,6
179,19.63,28.08,20.44,97.91,17.39,6
181,19.95,34.42,21.11,99.91,15.78,6
183,14.38,23.41,19.91,101.91,15.09,3
185,14.98,25.79,20.88,103.91,15.79,3
187,16.70,30.84,22.05,105.91,16.88,3
189,17.38,30.77,22.11,107.91,18.12,3
191,18.96,30.77,22.29,109.91,18.27,3
193,18.98,30.77,22.45,111.91,22.31,5
195,19.36,30.77,22.22,113.91,25.17,5
197,21.92,30.77,23.50,115.91,25.36,5
199,21.83,30.77,20.46,117.91,24.72,5
201,17.54,30.77,21.52,119.91,20.88,5
203,15.86,30.77,21.84,121.91,19.72,7
205,19.03,35.48,21.39,123.91,18.78,7
207,23.72,45.74,20.84,125.91,17.58,7
209,24.71,49.75,20.89,127.91,17.81,7
211,26.68,49.69,21.66,129.91,19.05,7
213,29.79,49.69,21.99,131.91,19.07,4
215,23.00,49.69,20.92,133.91,21.78,4
217,22.34,49.69,20.34,135.91,20.54,4
219,19.65,49.69,16.06,137.91,18.64,4
221,14.02,53.03,16.18,139.91,18.78,4
223,18.72,68.11,14.64,141.91,16.52,2
225,20.35,68.79,15.66,143.91,15.16,2
227,23.14,74.85,16.93,145.91,19.84,2
229,25.66,75.25,15.84,118.81,21.63,2
231,27.39,75.25,13.63,78.34,24.89,2
233,29.00,81.97,14.16,70.64,26.38,3
235,29.55,84.26,13.71,51.20,24.61,3
237,29.44,88.95,15.11,53.20,21.12,3
239,29.76,88.88,15.15,55.20,18.25,3
241,30.62,92.53,15.34,57.20,16.36,3
243,38.38,106.25,15.60,59.20,18.18,4
245,39.05,107.21,16.77,61.20,16.54,4
247,33.30,84.21,17.93,63.20,18.99,4
249,23.21,44.22,18.72,65.20,18.07,4
251,22.90,50.33,16.90,67.20,17.75,4
253,27.05,61.09,17.03,69.20,17.12,2
255,33.40,67.70,17.27,71.20,18.50,2
257,39.05,70.07,18.24,73.20,20.31,2
