time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0,
3,0.00,0.00,0.00,0.00,60.00,1,
5,0.00,0.00,0.00,0.00,47.49,1,
7,0.00,0.00,0.00,0.00,57.55,1,
9,0.00,0.00,0.00,0.00,57.89,1,4.00
11,0.00,0.00,0.00,0.00,60.32,1,
13,0.00,0.00,0.00,0.00,57.59,1,
15,0.00,0.00,0.00,0.00,58.48,1,
17,0.00,0.00,0.04,0.50,57.73,1,
19,0.00,0.00,0.03,0.41,57.68,1,4.00
21,0.00,0.00,0.20,2.41,58.13,1,
23,0.00,0.00,0.08,0.95,53.84,1,
25,0.00,0.00,0.00,0.00,49.99,1,
27,0.00,0.00,0.12,1.16,42.98,1,
29,1.22,3.64,0.32,3.16,39.19,1,2.99
31,2.61,5.58,0.87,5.16,35.71,1,
33,2.63,5.47,1.47,7.16,34.97,8,
35,3.92,7.14,1.86,9.16,38.66,8,
37,4.92,8.96,2.86,11.16,38.63,8,
39,2.67,5.47,2.14,10.42,35.71,8,2.18
41,3.95,5.47,2.44,12.42,33.82,8,
43,6.18,10.68,3.12,14.42,31.79,5,
45,8.43,11.75,3.95,16.42,31.81,5,
47,7.53,11.70,4.43,18.42,30.78,5,
49,6.29,13.93,4.40,15.24,32.76,5,2.52
51,7.46,18.60,4.13,17.24,33.54,5,
53,8.78,18.52,4.40,19.24,32.59,10,
55,10.11,18.52,4.74,21.24,30.06,10,
57,12.04,18.50,5.64,23.24,28.22,10,
59,9.64,18.05,6.38,25.24,26.05,10,1.85
61,11.99,24.82,6.86,27.24,24.36,10,
63,13.00,24.89,7.30,29.24,20.22,1,
65,14.79,24.89,8.09,31.24,20.71,1,
67,15.42,25.05,9.59,33.24,21.08,1,
69,19.73,30.97,9.23,26.14,27.47,1,2.64
71,19.26,37.89,7.47,20.84,26.28,1,
73,13.06,14.53,7.07,17.64,25.34,2,
75,11.64,17.67,6.62,19.64,25.74,2,
77,14.42,25.36,7.86,21.64,28.75,2,
79,14.46,28.83,8.89,23.64,27.58,2,2.03
81,8.90,12.69,9.40,25.64,25.06,2,
83,8.23,16.97,9.89,27.64,23.92,1,
85,10.59,23.49,10.36,29.64,26.12,1,
87,11.32,23.36,10.40,31.64,27.60,1,
89,6.93,17.84,10.79,33.64,26.78,1,2.49
91,6.92,17.84,9.33,35.64,23.78,1,
93,8.68,17.84,9.59,37.64,22.15,6,
95,11.42,17.87,10.17,39.64,20.44,6,
97,13.69,26.95,10.91,41.64,17.46,6,
99,17.71,36.37,7.71,43.64,18.57,6,3.00
101,18.17,38.46,8.13,45.64,22.18,6,
103,11.37,17.84,8.17,47.64,24.61,2,
105,8.53,17.84,8.75,49.64,24.66,2,
107,7.24,17.84,9.62,51.64,24.72,2,
109,8.82,24.16,8.82,53.64,25.22,2,1.81
111,9.32,24.97,9.82,55.64,24.92,2,
113,11.79,24.97,10.86,57.64,23.24,5,
115,12.81,29.35,11.05,59.64,22.38,5,
117,14.21,34.98,11.16,61.64,23.44,5,
119,15.72,41.01,11.56,56.53,27.12,5,2.76
121,17.28,47.26,10.25,39.83,27.07,5,
123,20.86,57.69,9.28,41.83,27.63,7,
125,23.48,66.48,9.65,43.83,26.18,7,
127,24.59,73.51,10.65,45.83,27.68,7,
129,20.03,63.84,10.53,33.09,24.54,7,1.22
131,8.11,21.31,8.59,31.19,21.02,7,
133,9.51,23.12,9.48,33.19,18.12,5,
135,11.40,23.11,10.64,35.19,16.11,5,
137,13.67,23.11,11.81,37.19,18.46,5,
139,18.08,43.70,12.63,39.19,18.08,5,2.24
141,19.39,48.90,13.11,41.19,17.30,5,
143,20.39,52.90,12.43,43.19,18.24,1,
145,19.34,48.74,13.31,45.19,19.78,1,
147,7.16,23.11,12.47,47.19,23.44,1,
149,7.16,23.11,13.34,49.19,27.87,1,2.89
151,7.16,23.11,13.42,51.19,29.01,1,
153,7.16,23.11,14.12,53.19,28.65,6,
155,7.16,23.11,14.81,55.19,31.76,6,
157,9.11,26.32,15.98,57.19,31.10,6,
159,10.02,29.39,13.75,44.97,27.51,6,2.38
161,7.33,15.08,9.74,30.59,26.39,6,
163,7.15,18.75,8.42,32.59,24.82,5,
165,8.35,23.58,7.42,32.18,26.19,5,
167,10.37,25.28,8.24,34.18,23.26,5,
169,13.69,33.06,7.94,36.18,25.24,5,2.30
171,19.60,38.16,8.76,38.18,24.50,5,
173,15.04,24.28,9.44,40.18,22.05,6,
175,12.12,25.55,10.04,42.18,18.96,6,
177,14.82,31.27,11.21,44.18,14.55,6,
179,20.37,44.20,10.76,46.18,16.58,6,1.81
181,22.91,50.43,10.98,48.18,18.38,6,
183,25.54,50.25,12.19,50.18,19.56,2,
185,17.31,30.39,12.02,52.18,20.54,2,
187,15.89,30.38,12.89,54.18,17.40,2,
189,16.47,30.38,12.12,56.18,17.51,2,1.47
191,17.35,31.38,13.04,58.18,16.06,2,
193,21.10,36.87,14.04,60.18,12.07,1,
195,22.70,43.44,14.83,62.18,10.48,1,
197,22.63,43.16,14.32,64.18,9.96,1,
199,22.63,43.16,15.20,66.18,17.36,1,3.26
201,23.03,44.96,14.51,68.18,22.90,1,
203,17.21,54.25,13.92,70.18,29.19,1,
205,16.88,56.42,12.52,72.18,37.51,1,
207,4.85,8.29,12.22,74.18,43.30,1,
209,2.77,5.57,11.56,76.18,44.42,1,2.85
211,2.77,5.57,11.86,78.18,40.74,1,
