time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0.00,0,
3,0.00,0.00,0.00,0.00,60.00,0.00,4,
5,0.00,0.00,0.00,0.00,47.49,0.00,4,
7,0.00,0.00,0.00,0.00,57.55,0.00,4,
9,0.00,0.00,0.00,0.00,58.66,0.00,4,4.00
11,0.00,0.00,0.00,0.00,60.40,0.00,4,
13,0.00,0.00,0.00,0.00,57.35,0.00,1,
15,0.00,0.00,0.00,0.00,57.95,0.00,1,
17,0.00,0.00,0.05,0.63,57.55,1.00,1,
19,0.00,0.00,0.03,0.41,57.40,0.00,1,4.00
21,0.00,0.00,0.20,2.41,57.85,1.00,1,
23,0.00,0.00,0.08,0.95,53.89,2.00,1,
25,0.00,0.00,0.00,0.00,50.06,0.00,1,
27,0.00,0.00,0.13,1.16,43.03,1.00,1,
29,1.22,3.64,0.32,3.16,39.11,1.00,1,2.84
31,2.61,5.60,0.87,5.16,35.70,1.00,1,
33,2.63,5.47,1.47,7.16,35.02,2.00,2,
35,3.92,7.14,1.86,9.16,37.67,0.00,2,
37,4.92,8.96,2.93,11.16,38.36,2.00,2,
39,3.87,5.47,2.77,10.43,37.53,1.00,2,2.29
41,3.87,5.47,3.07,12.43,35.39,1.00,2,
43,5.59,10.69,3.74,14.43,33.83,0.00,1,
45,6.67,11.34,4.58,16.43,33.57,1.00,1,
47,6.21,11.92,5.08,18.43,33.87,1.00,1,
49,4.12,11.71,5.07,20.43,32.94,2.00,1,2.24
51,6.16,14.71,4.97,22.43,32.84,1.00,1,
53,7.04,17.92,5.75,24.43,31.11,2.00,3,
55,7.03,17.90,6.05,26.43,30.70,1.00,3,
57,8.86,21.59,6.37,28.43,29.97,1.00,3,
59,9.59,24.34,6.28,28.83,28.70,2.00,3,1.92
61,9.67,21.37,6.37,30.83,26.55,1.00,3,
63,10.89,24.38,7.10,32.83,22.08,1.00,2,
65,10.26,24.32,7.95,34.83,20.95,0.00,2,
67,12.02,24.69,9.45,36.83,21.60,2.00,2,
69,14.69,31.02,9.90,38.83,26.99,2.00,2,1.77
71,13.69,30.80,10.49,40.83,27.75,1.00,2,
73,14.60,30.80,11.37,42.83,24.88,2.00,1,
75,14.59,30.80,12.11,44.83,23.41,1.00,1,
77,14.84,31.51,12.65,46.83,23.47,1.00,1,
79,16.19,39.55,13.65,48.83,24.64,2.00,1,2.22
81,16.83,45.21,12.24,50.83,24.66,2.00,1,
83,19.73,53.79,12.69,52.83,25.37,1.00,2,
85,21.87,53.95,13.45,54.83,24.94,0.00,2,
87,20.71,52.11,15.11,56.83,24.57,3.00,2,
89,7.54,15.56,15.74,58.83,23.88,2.00,2,2.12
91,8.40,19.00,15.23,60.83,22.45,2.00,2,
93,9.51,23.43,15.20,62.83,20.44,1.00,3,
95,11.42,31.19,16.32,64.83,19.96,1.00,3,
97,13.27,43.22,17.10,66.83,18.28,2.00,3,
99,15.43,42.89,15.27,68.83,15.98,2.00,3,1.57
101,16.61,42.78,14.56,70.83,16.67,0.00,3,
103,17.02,42.78,15.39,72.83,16.52,0.00,1,
105,20.56,45.39,16.23,74.83,16.33,0.00,1,
107,23.38,52.08,17.09,76.83,16.70,1.00,1,
109,24.98,56.91,17.26,78.83,15.93,2.00,1,1.42
111,25.44,58.78,16.92,80.83,14.42,1.00,1,
113,28.07,69.29,17.76,82.83,14.60,1.00,1,
115,30.86,74.66,18.15,84.83,13.83,1.00,1,
117,33.92,81.74,17.43,86.83,15.80,1.00,1,
119,35.42,86.60,18.42,88.83,20.39,1.00,1,1.53
121,36.59,91.29,18.65,90.83,21.65,1.00,1,
123,39.46,102.76,18.36,92.83,22.12,0.00,1,
125,41.41,110.56,19.36,94.83,21.50,1.00,1,
127,41.30,110.11,19.84,96.83,21.19,0.00,1,
129,24.75,50.70,20.87,98.83,18.34,3.00,1,1.21
131,20.33,58.68,21.72,100.83,14.51,2.00,1,
133,21.45,63.20,22.52,102.83,14.05,0.00,2,
135,25.30,63.08,23.69,104.83,14.38,0.00,2,
137,25.03,63.08,24.85,106.83,15.67,1.00,2,
139,24.98,63.08,25.79,108.83,16.29,1.00,2,1.08
141,24.98,63.08,26.89,110.83,15.78,2.00,2,
143,24.98,63.08,27.73,112.83,13.92,1.00,4,
145,25.99,63.08,28.84,114.83,12.39,1.00,4,
147,31.29,64.15,28.88,116.83,12.03,2.00,4,
149,27.62,60.80,18.40,49.16,14.85,2.00,4,1.43
151,22.73,68.99,16.63,50.23,16.56,0.00,4,
153,23.30,69.84,17.63,52.23,16.03,1.00,1,
155,24.87,75.90,17.55,54.23,19.31,0.00,1,
157,25.12,75.78,18.56,56.23,19.76,2.00,1,
159,25.29,76.86,18.43,58.23,16.79,2.00,1,1.37
161,26.69,82.45,18.90,60.23,15.55,1.00,1,
163,27.17,82.32,19.05,62.23,14.31,1.00,1,
165,30.63,85.25,19.96,64.23,14.47,2.00,1,
167,34.23,94.77,20.54,66.23,16.59,3.00,1,
169,36.37,95.45,20.67,68.23,17.00,0.00,1,1.81
171,37.78,101.25,21.67,70.23,14.34,3.00,1,
173,38.17,101.54,21.87,72.23,15.70,0.00,2,
175,28.60,58.65,22.70,74.23,15.20,0.00,2,
