time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.34
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.10
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.66
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.16
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.16
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.99
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.97
15,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.04,0.07,26.79
17,0.00,1.54,0.77,1.54,0.00,0.00,2.07,0.69,1.24,2.07,27.98
19,0.00,4.62,2.31,4.62,0.00,0.00,4.07,1.36,2.44,4.07,30.69
21,0.00,4.55,2.27,4.55,0.00,0.00,6.07,2.02,3.64,6.07,31.27
23,0.00,4.55,2.27,4.55,0.00,0.00,8.07,2.69,4.84,8.07,37.76
25,0.00,4.55,2.27,4.55,0.00,0.00,10.07,3.36,6.04,10.07,40.19
27,0.00,4.55,2.27,4.55,0.00,0.00,12.07,4.02,7.24,12.07,40.25
29,0.00,4.46,2.23,4.46,1.29,0.00,14.07,5.12,8.70,14.07,47.75
31,0.25,0.19,0.22,0.25,3.29,0.00,16.07,6.45,10.30,16.07,44.47
33,1.79,0.00,0.89,1.79,5.29,0.00,0.00,1.76,1.06,5.29,50.44
35,0.00,0.00,0.00,0.00,7.29,0.00,0.00,2.43,1.46,7.29,36.92
37,0.00,0.00,0.00,0.00,9.29,0.56,0.00,3.28,1.97,9.29,19.38
39,8.82,0.00,4.41,8.82,11.29,2.56,0.00,4.62,2.77,11.29,26.27
41,16.11,0.00,8.05,16.11,13.29,4.56,0.00,5.95,3.57,13.29,25.72
43,21.71,0.00,10.85,21.71,15.29,6.56,0.00,7.28,4.37,15.29,24.81
45,23.54,0.00,11.77,23.54,17.29,8.56,0.00,8.62,5.17,17.29,29.93
47,23.53,0.00,11.77,23.53,19.29,10.56,0.00,9.95,5.97,19.29,29.47
49,23.53,0.00,11.77,23.53,21.29,12.56,0.00,11.28,6.77,21.29,22.49
51,23.53,0.00,11.77,23.53,23.29,14.56,0.00,12.62,7.57,23.29,15.75
53,23.53,0.29,11.91,23.53,25.29,16.56,1.27,14.37,9.13,25.29,15.79
55,23.53,7.98,15.76,23.53,27.29,18.56,3.27,16.37,11.13,27.29,22.31
57,23.53,10.16,16.84,23.53,29.29,20.56,5.27,18.37,13.13,29.29,20.18
59,23.53,10.81,17.17,23.53,31.29,22.56,7.27,20.37,15.13,31.29,22.98
61,23.53,16.31,19.92,23.53,33.29,24.56,9.27,22.37,17.13,33.29,22.87
63,23.53,16.15,19.84,23.53,22.94,26.56,11.27,20.26,16.66,26.56,20.03
65,23.35,16.15,19.75,23.35,24.94,28.56,13.27,22.26,18.66,28.56,14.16
67,22.21,16.15,19.18,22.21,26.94,30.56,15.27,24.26,20.66,30.56,7.20
69,20.49,22.81,21.65,22.81,28.94,32.56,17.27,26.26,22.66,32.56,2.62
71,24.45,25.25,24.85,25.25,30.94,34.56,19.27,28.26,24.66,34.56,0.44
73,24.20,34.30,29.25,34.30,32.94,36.56,21.27,30.26,26.66,36.56,0.00
75,24.20,36.30,30.25,36.30,34.94,38.56,23.27,32.26,28.66,38.56,0.00
77,24.20,36.29,30.25,36.29,36.94,40.56,25.27,34.26,30.66,40.56,0.00
79,24.20,36.29,30.25,36.29,38.94,42.56,27.27,36.26,32.66,42.56,3.57
81,24.20,36.29,30.25,36.29,40.94,44.56,29.27,38.26,34.66,44.56,5.00
83,24.20,36.29,30.25,36.29,42.94,46.56,31.27,40.26,36.66,46.56,7.57
85,22.75,36.29,29.52,36.29,44.94,18.19,33.27,32.14,32.59,44.94,12.93
87,0.00,36.29,18.15,36.29,44.43,20.19,35.27,33.30,34.09,44.43,10.51
89,0.00,36.29,18.15,36.29,0.00,22.19,37.27,19.82,26.80,37.27,10.35
91,0.00,36.29,18.15,36.29,0.00,0.00,39.27,13.09,23.56,39.27,11.58
93,0.00,36.29,18.15,36.29,1.98,0.00,41.27,14.42,25.16,41.27,13.84
95,0.00,36.29,18.15,36.29,3.98,0.00,43.27,15.75,26.76,43.27,10.49
97,0.00,41.03,20.52,41.03,5.98,0.00,45.27,17.08,28.36,45.27,12.92
99,0.00,45.18,22.59,45.18,7.98,0.00,47.27,18.42,29.96,47.27,10.65
101,0.00,48.94,24.47,48.94,9.98,0.00,49.27,19.75,31.56,49.27,8.26
103,0.00,48.90,24.45,48.90,11.98,0.00,51.27,21.08,33.16,51.27,5.69
105,0.00,52.29,26.15,52.29,13.98,0.00,53.27,22.42,34.76,53.27,8.75
107,0.00,55.22,27.61,55.22,15.98,0.00,53.58,23.19,35.34,53.58,11.32
109,0.00,58.87,29.44,58.87,17.98,0.00,50.23,22.74,33.73,50.23,16.04
111,0.00,60.96,30.48,60.96,19.98,0.00,43.30,21.09,29.97,43.30,26.37
113,0.00,60.88,30.44,60.88,21.98,0.00,43.19,21.72,30.31,43.19,31.87
115,0.00,17.97,8.98,17.97,23.98,0.00,41.88,21.95,29.92,41.88,28.34
117,0.91,0.00,0.45,0.91,25.98,0.00,12.10,12.69,12.45,25.98,26.42
119,8.01,0.00,4.00,8.01,27.98,0.13,14.10,14.07,14.08,27.98,20.14
121,10.40,0.00,5.20,10.40,29.98,2.13,11.16,14.42,13.12,29.98,10.59
123,13.77,2.94,8.36,13.77,31.98,4.13,13.16,16.42,15.12,31.98,4.34
125,16.14,4.57,10.36,16.14,33.98,6.13,15.16,18.42,17.12,33.98,0.96
127,16.13,8.33,12.23,16.13,35.98,8.13,17.16,20.42,19.12,35.98,0.00
129,16.13,10.99,13.56,16.13,37.98,10.13,19.16,22.42,21.12,37.98,0.00
131,16.13,10.98,13.55,16.13,39.98,12.13,21.16,24.42,23.12,39.98,0.00
133,16.13,10.98,13.55,16.13,41.98,14.13,23.16,26.42,25.12,41.98,0.00
135,16.13,10.98,13.55,16.13,43.98,16.13,25.16,28.42,27.12,43.98,0.00
137,16.13,10.98,13.55,16.13,45.98,18.13,27.16,30.42,29.12,45.98,0.00
139,16.13,10.98,13.55,16.13,47.98,20.13,29.16,32.42,31.12,47.98,1.21
141,16.09,10.98,13.54,16.09,42.98,22.13,31.16,32.09,31.72,42.98,4.13
143,5.33,10.98,8.16,10.98,44.98,24.13,33.16,34.09,33.72,44.98,2.80
145,1.53,10.98,6.26,10.98,0.00,26.13,35.16,20.43,26.32,35.16,0.16
147,4.56,10.98,7.77,10.98,0.00,28.13,37.16,21.77,27.92,37.16,0.00
149,4.39,10.98,7.68,10.98,0.00,30.13,39.16,23.10,29.52,39.16,0.00
151,0.00,10.98,5.49,10.98,0.00,32.13,41.16,24.43,31.12,41.16,16.82
153,0.00,10.98,5.49,10.98,0.00,0.00,43.16,14.39,25.90,43.16,19.69
155,0.00,10.98,5.49,10.98,0.00,0.00,45.16,15.05,27.10,45.16,22.27
157,0.00,10.98,5.49,10.98,0.00,0.00,47.16,15.72,28.30,47.16,32.27
159,0.00,10.98,5.49,10.98,0.00,0.00,49.16,16.39,29.50,49.16,34.91
161,0.00,10.98,5.49,10.98,0.00,0.00,51.16,17.05,30.70,51.16,32.01
