time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase
1,0.00,0.00,0.00,0.00,60.00,0.00,1
3,0.00,0.00,0.00,0.00,44.38,0.00,1
5,0.00,0.00,0.00,0.00,53.24,0.00,1
7,0.00,0.00,0.00,0.00,61.15,0.00,1
9,0.00,0.00,0.00,0.00,64.22,0.00,1
11,0.00,0.00,0.00,0.00,57.23,0.00,1
13,0.00,0.00,0.00,0.00,55.04,0.00,1
15,0.00,0.00,0.00,0.00,51.76,0.00,1
17,0.00,0.00,0.04,0.50,50.74,0.00,1
19,0.51,2.04,0.27,2.50,51.65,1.00,1
21,1.33,5.33,0.37,4.50,49.67,0.00,3
23,1.32,5.28,0.60,6.50,45.10,0.00,3
25,1.30,5.18,0.96,8.50,46.61,0.00,3
27,0.78,2.40,1.60,10.50,44.63,2.00,3
29,1.39,5.55,1.02,6.74,42.33,1.00,3
31,1.38,5.51,1.63,8.74,37.28,1.00,3
33,4.06,10.96,2.26,10.74,33.65,1.00,3
35,6.45,14.16,2.87,12.74,31.66,1.00,3
37,8.32,17.64,3.51,14.74,27.12,2.00,3
39,8.49,17.61,3.92,16.74,24.66,0.00,3
41,10.83,17.61,4.59,18.74,22.55,0.00,2
43,13.18,19.48,5.35,20.74,17.06,1.00,2
45,15.04,23.33,6.00,22.74,15.68,0.00,2
47,15.69,23.26,6.84,24.74,15.13,0.00,2
49,17.66,25.98,7.67,26.74,17.13,0.00,2
51,18.72,30.24,8.50,28.74,18.93,0.00,4
53,18.70,30.15,9.46,30.74,16.17,0.00,4
55,20.24,30.15,10.46,32.74,23.62,2.00,4
57,18.85,30.15,10.10,32.24,31.56,3.00,4
59,16.23,30.15,9.67,29.02,33.89,4.00,4
61,10.00,19.04,5.51,27.26,35.36,2.00,4
63,3.94,10.83,5.30,19.81,36.74,3.00,4
65,4.25,10.45,5.13,20.98,37.88,2.00,1
67,3.85,10.44,4.06,22.98,38.61,1.00,1
69,5.61,11.33,4.19,24.98,38.89,0.00,1
71,6.99,16.38,5.11,26.98,35.54,1.00,1
73,10.07,18.66,5.70,28.98,33.01,1.00,1
75,12.52,21.86,6.58,30.98,28.14,1.00,1
77,15.61,21.82,7.25,32.98,24.10,0.00,1
79,17.46,24.40,8.42,34.98,19.69,1.00,1
81,22.34,38.07,9.43,36.98,17.18,0.00,1
83,28.21,50.06,10.76,38.98,13.88,0.00,1
