time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,44.27,0
3,0.00,0.00,0.00,0.00,0.00,52.31,4
5,0.00,0.00,0.00,0.00,0.00,56.52,4
7,0.00,0.00,0.00,0.00,0.00,58.84,4
9,0.00,0.00,0.00,0.00,0.00,59.51,4
11,0.00,0.00,0.00,0.00,0.00,57.43,4
13,0.00,0.00,0.00,0.00,0.00,52.87,1
15,0.00,0.00,0.01,0.01,0.09,46.53,1
17,0.38,1.54,0.23,0.35,2.09,43.07,1
19,1.15,4.61,0.47,0.69,4.09,39.75,1
21,1.63,4.55,0.75,1.22,6.09,32.56,1
23,2.85,5.10,1.16,1.87,8.09,28.23,3
25,5.69,8.25,1.99,2.97,10.09,33.35,3
27,5.09,10.90,2.83,4.07,12.09,32.02,3
29,5.02,10.88,2.17,2.27,9.63,28.10,3
31,5.08,10.88,3.03,2.98,11.63,24.18,3
33,6.58,10.88,4.03,3.78,13.63,21.91,1
35,8.42,11.57,5.03,4.58,15.63,21.88,1
37,7.74,11.48,4.11,4.23,17.63,20.09,1
39,5.59,11.48,4.95,4.95,19.63,21.26,1
41,5.59,11.48,4.74,5.22,21.63,21.86,1
43,5.59,11.48,5.68,6.18,23.63,20.65,4
45,5.59,11.48,6.30,6.96,25.63,29.22,4
47,5.44,10.88,7.14,7.86,27.63,31.55,4
49,5.76,12.17,6.06,5.31,27.58,28.35,4
51,6.90,16.75,5.16,3.09,29.58,23.43,4
53,6.87,16.63,5.76,3.59,31.58,23.84,2
55,8.68,16.63,6.43,4.19,33.58,33.06,2
57,8.64,16.57,7.10,4.79,35.58,36.61,2
59,3.96,11.15,5.49,4.07,35.87,38.69,2
61,4.57,16.30,2.72,2.80,13.79,37.20,2
63,5.16,16.15,1.35,2.38,11.29,32.80,7
65,5.59,16.15,1.85,3.08,13.29,33.47,7
67,6.27,16.09,2.43,3.83,15.29,30.44,7
69,4.54,5.28,2.85,4.49,15.60,32.32,7
71,4.77,8.92,3.24,4.99,12.45,33.96,7
73,5.18,10.49,3.35,4.99,14.45,29.58,4
75,5.53,10.49,4.06,6.07,16.45,27.20,4
77,5.16,8.32,5.01,7.44,18.45,25.39,4
79,6.17,12.45,4.28,5.72,16.41,28.78,4
81,8.55,16.54,4.18,5.15,18.41,28.15,4
83,8.82,17.60,4.73,5.73,20.41,28.38,3
85,8.82,17.60,5.33,6.42,22.41,35.59,3
87,7.97,17.58,6.00,7.22,24.41,37.83,3
89,3.82,10.01,5.62,6.13,26.41,34.71,3
91,3.82,10.01,4.80,4.22,28.41,29.96,3
93,5.90,13.59,4.46,3.00,30.41,30.11,4
95,6.80,17.18,5.14,3.65,32.41,31.13,4
97,6.78,17.10,5.61,4.51,34.41,28.35,4
99,3.82,10.01,6.16,4.91,36.41,29.99,4
101,4.48,10.01,6.63,5.55,38.41,27.53,4
103,8.32,17.05,6.42,4.63,40.41,24.74,2
105,8.78,18.07,7.19,5.42,42.41,26.64,2
107,9.00,18.04,7.89,6.07,44.41,26.61,2
109,6.91,17.04,6.77,5.80,46.41,24.00,2
111,5.90,17.04,6.65,6.17,48.41,21.70,2
113,8.52,19.64,6.54,6.73,50.41,21.42,3
115,10.59,23.94,7.37,8.03,52.41,23.80,3
117,10.63,23.88,8.21,9.33,54.41,26.04,3
119,8.12,22.36,8.38,9.42,56.41,24.01,3
121,5.83,10.01,8.46,8.98,58.41,19.96,3
123,6.15,10.01,8.51,8.43,60.41,18.60,1
125,6.49,11.45,8.71,7.96,62.41,23.95,1
127,7.24,16.40,10.04,9.36,64.41,24.74,1
129,5.45,6.18,8.90,9.27,46.95,23.57,1
131,4.65,7.92,5.98,8.12,20.47,23.13,1
133,6.63,11.29,6.29,8.91,22.47,21.28,4
135,7.15,11.99,7.12,10.01,24.47,23.41,4
137,5.41,8.15,7.96,11.11,26.47,26.71,4
139,3.69,5.34,5.67,6.58,19.83,26.24,4
141,3.69,5.34,5.35,5.41,21.83,30.79,4
143,3.69,5.34,5.74,5.91,23.83,32.93,2
145,3.65,5.34,5.73,5.50,25.83,39.68,2
147,1.34,5.34,6.30,6.12,27.83,38.92,2
149,2.21,5.34,2.40,4.18,24.62,38.49,2
151,2.59,5.34,2.82,4.83,26.62,41.22,2
153,2.59,5.34,2.95,5.31,28.62,37.38,8
155,2.56,5.34,3.37,5.96,30.62,40.96,8
157,1.34,5.34,3.73,6.71,32.62,42.38,8
159,2.37,5.34,3.21,5.78,34.62,44.95,8
161,2.55,5.34,3.54,6.37,36.62,45.08,8
163,2.55,5.34,3.83,6.89,38.62,43.39,3
165,2.51,5.25,4.16,7.49,40.62,48.95,3
167,0.00,0.00,4.66,8.19,42.62,49.82,3
169,0.00,0.00,0.48,0.87,5.37,46.86,3
171,0.79,3.16,0.33,0.57,2.43,39.23,3
173,1.33,5.34,0.64,0.93,4.43,35.71,6
175,2.98,10.39,1.03,1.29,6.43,40.14,6
177,4.61,7.35,1.80,2.15,8.43,42.59,6
179,2.69,5.47,1.68,1.44,6.90,41.85,6
181,3.42,5.47,1.83,1.73,7.47,40.33,6
183,4.88,8.84,1.92,1.98,9.47,35.45,2
185,5.46,11.19,2.90,2.95,11.47,30.93,2
187,5.45,11.17,3.61,3.81,13.47,29.61,2
189,6.77,15.01,4.82,5.18,15.47,31.08,2
191,10.04,17.12,5.80,6.57,17.47,26.43,2
193,9.95,17.11,7.20,8.21,19.47,24.40,4
195,10.54,17.11,8.13,9.57,21.47,22.56,4
197,11.48,21.86,9.30,11.07,23.47,19.02,4
199,9.65,26.81,8.48,8.99,25.47,19.37,4
201,8.92,30.08,9.07,9.45,27.47,19.77,4
203,8.91,30.05,9.77,9.85,29.47,21.64,5
205,10.31,30.05,11.02,11.08,31.47,23.20,5
207,11.32,30.05,11.97,12.25,33.47,24.05,5
209,13.30,30.05,10.77,11.64,30.30,26.36,5
211,10.61,14.76,11.22,11.90,32.30,25.29,5
213,7.88,15.25,10.57,11.96,34.30,18.28,7
215,10.89,18.62,10.53,12.28,36.30,17.22,7
217,11.54,18.58,11.86,13.68,38.30,15.29,7
219,8.90,11.76,8.14,9.22,20.71,20.39,7
221,7.50,11.76,8.31,9.88,22.71,19.02,7
223,8.52,11.92,7.95,9.50,24.71,19.45,8
225,8.51,11.87,8.95,10.50,26.71,25.22,8
227,8.02,11.87,9.68,11.34,28.71,28.62,8
229,5.57,11.87,9.36,10.41,30.71,26.95,8
231,5.57,11.87,7.33,7.67,32.71,24.95,8
233,6.50,11.87,8.11,8.47,34.71,20.79,3
235,7.28,11.87,8.94,9.37,36.71,27.75,3
237,7.12,10.41,9.80,10.28,38.71,30.19,3
239,3.86,10.41,9.06,8.15,37.86,29.75,3
241,5.40,11.18,7.10,4.26,39.86,32.65,3
243,5.50,11.57,7.60,4.56,41.86,35.57,1
245,6.98,17.50,8.11,4.87,43.86,34.87,1
247,7.14,17.88,8.77,5.47,45.86,32.89,1
249,5.28,10.41,8.93,5.91,47.86,30.90,1
251,4.49,10.41,9.37,6.57,49.86,23.63,1
253,5.58,10.41,9.31,6.94,51.86,23.69,2
255,6.77,12.58,10.13,7.83,53.86,26.78,2
257,8.56,19.76,10.97,8.73,55.86,33.07,2
259,9.48,23.46,6.80,6.63,52.31,33.94,2
261,4.17,10.14,3.12,4.83,16.04,31.80,2
263,4.01,10.14,3.34,5.41,18.04,26.93,3
265,5.99,10.14,3.34,6.02,20.04,26.39,3
267,5.40,9.21,3.92,6.97,22.04,36.37,3
269,2.81,5.69,2.92,4.79,16.98,37.47,3
271,3.85,5.54,1.78,2.33,8.59,33.57,3
273,4.42,6.60,2.09,2.31,10.59,32.18,4
