time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,43.06,0
3,0.00,0.00,0.00,0.00,55.09,5
5,0.00,0.00,0.00,0.00,61.54,5
7,0.00,0.00,0.00,0.00,60.16,5
9,0.00,0.00,0.00,0.00,62.44,5
11,0.00,0.00,0.00,0.00,56.98,5
13,0.00,0.00,0.00,0.00,53.75,4
15,0.00,0.00,0.00,0.00,48.63,4
17,0.07,0.28,0.16,1.62,47.69,4
19,1.22,4.89,0.30,3.62,42.95,4
21,2.10,4.67,0.67,5.62,38.73,4
23,3.17,4.67,1.17,7.62,35.21,7
25,3.70,5.32,1.90,9.62,35.22,7
27,3.70,5.31,2.82,11.62,34.10,7
29,3.80,5.90,2.30,9.68,31.62,7
31,5.39,12.22,3.16,11.68,28.77,7
33,6.67,17.36,3.82,13.68,26.29,8
35,6.81,17.92,4.75,15.68,31.98,8
37,6.80,17.90,5.83,17.68,32.72,8
39,4.36,6.86,5.93,19.68,35.00,8
41,4.33,11.78,5.56,21.68,40.04,8
43,5.09,12.22,5.39,23.68,38.93,2
45,5.94,12.22,5.71,25.68,36.73,2
47,5.41,11.50,6.54,27.68,35.99,2
49,3.19,11.50,5.49,29.68,35.02,2
51,3.59,11.50,5.38,31.68,33.78,2
53,6.83,11.50,6.39,33.68,30.12,5
55,7.74,15.43,6.87,35.68,30.14,5
57,8.71,18.18,8.13,37.68,31.65,5
59,6.89,11.48,6.30,17.80,31.90,5
61,5.56,11.35,5.18,17.45,29.54,5
63,6.64,13.70,5.85,19.45,30.54,6
65,9.98,23.15,6.37,21.45,32.90,6
67,11.42,22.88,7.37,23.45,33.24,6
69,8.91,22.88,6.60,25.45,28.82,6
71,7.39,24.27,5.66,27.45,28.58,6
73,9.13,29.28,5.89,29.45,22.34,1
75,11.41,29.17,6.88,31.45,18.95,1
77,13.89,38.88,6.36,27.86,19.56,1
79,16.00,42.19,6.80,29.86,19.85,1
81,15.93,42.15,6.65,19.02,19.17,1
83,12.41,25.02,6.56,20.72,20.37,7
85,7.79,14.91,7.03,22.72,18.86,7
87,9.36,17.71,7.75,24.72,18.66,7
89,10.13,17.68,7.29,26.72,21.49,7
91,10.85,20.58,6.90,28.72,22.77,7
93,11.82,24.47,7.73,30.72,20.53,4
95,11.81,24.43,8.56,32.72,19.54,4
97,11.13,24.81,9.47,34.72,23.14,4
99,10.76,31.45,8.08,29.97,23.53,4
101,7.33,17.74,6.96,31.97,23.11,4
103,8.08,20.72,6.82,33.97,21.33,8
105,9.86,24.72,7.25,35.97,23.47,8
107,10.74,24.68,7.38,37.97,22.22,8
