time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase,reward
1,0.00,0.00,0.00,0.00,44.27,0,
3,0.00,0.00,0.00,0.00,51.84,7,
5,0.00,0.00,0.00,0.00,53.91,7,
7,0.00,0.00,0.00,0.00,57.58,7,
9,0.00,0.00,0.00,0.00,57.18,7,4.00
11,0.00,0.00,0.00,0.00,57.75,7,
13,0.00,0.00,0.00,0.00,53.50,5,
15,0.00,0.00,0.07,0.78,46.97,5,
17,0.38,1.53,0.40,2.78,42.53,5,
19,1.15,4.61,0.49,3.98,41.24,5,1.86
21,1.35,4.55,0.77,5.98,35.22,5,
23,2.43,5.18,1.18,7.98,31.04,8,
25,4.84,8.67,1.81,9.98,34.92,8,
27,4.92,10.90,2.51,11.98,33.90,8,
29,4.90,10.88,2.38,13.98,32.71,8,2.13
31,4.90,10.88,3.05,15.98,29.70,8,
33,5.56,10.88,3.54,17.98,26.16,7,
35,6.64,11.23,4.15,19.98,28.76,7,
37,5.56,11.17,4.93,21.98,23.54,7,
39,5.51,11.17,3.56,17.56,25.78,7,1.80
41,5.51,11.17,4.39,19.56,25.05,7,
43,5.76,11.17,5.12,21.56,23.09,6,
45,6.01,11.17,6.12,23.56,36.76,6,
47,4.33,10.50,4.67,25.56,41.40,6,
49,1.74,6.96,4.37,26.11,37.94,6,2.74
51,1.38,5.53,2.81,19.74,31.57,6,
53,1.66,5.49,2.97,21.74,30.94,7,
55,3.47,8.39,3.54,23.74,40.03,7,
57,4.29,7.07,2.82,25.74,40.79,7,
59,3.82,9.78,3.30,27.74,39.96,7,2.41
61,4.31,9.76,3.41,29.74,38.18,7,
63,4.93,9.76,3.75,31.74,37.22,8,
65,5.76,9.76,4.25,33.74,36.12,8,
67,5.64,11.14,4.82,35.74,33.45,8,
69,3.89,11.13,5.47,37.74,30.53,8,0.90
71,6.20,11.13,5.07,39.74,28.01,8,
73,8.85,13.77,5.90,41.74,24.44,5,
75,10.20,19.18,6.73,43.74,23.47,5,
77,9.39,19.05,7.68,45.74,22.61,5,
79,7.39,19.05,5.50,20.45,25.60,5,1.07
81,8.36,19.05,4.86,22.45,26.20,5,
83,10.13,19.05,5.68,24.45,24.19,6,
85,11.20,19.05,6.37,26.45,29.83,6,
87,11.70,19.05,7.21,28.45,32.48,6,
89,8.82,19.05,6.10,21.48,31.84,6,1.90
91,7.67,19.05,5.77,23.48,29.10,6,
93,7.67,19.05,5.79,25.48,25.98,7,
95,8.75,19.05,6.43,27.48,24.74,7,
97,10.92,19.03,7.58,29.48,24.35,7,
99,8.66,18.40,6.02,29.78,25.38,7,1.98
101,8.03,18.40,6.38,28.65,24.07,7,
103,11.20,18.40,4.82,24.14,23.44,4,
105,11.81,18.40,5.82,26.14,25.44,4,
107,11.80,18.38,6.95,28.14,25.50,4,
109,9.25,17.04,6.87,25.66,23.85,4,1.86
111,8.54,17.04,6.58,18.75,25.01,4,
113,10.67,19.64,6.15,20.75,22.34,3,
115,13.46,23.94,7.06,22.75,24.44,3,
117,13.26,23.88,5.89,21.77,27.28,3,
119,9.98,22.36,6.07,19.38,25.71,3,2.51
121,5.73,15.09,5.97,21.23,22.40,3,
123,6.63,17.42,5.85,23.23,20.68,2,
125,7.83,17.41,5.69,25.23,27.40,2,
127,8.50,17.38,6.65,27.23,31.98,2,
129,4.09,6.60,5.30,27.55,30.38,2,2.52
131,2.73,5.34,3.13,12.71,29.36,2,
133,4.44,5.40,2.88,14.25,25.54,4,
135,4.88,5.34,3.71,16.25,32.28,4,
137,1.34,5.34,4.54,18.25,33.43,4,
139,1.34,5.34,3.10,20.25,34.07,4,3.16
141,1.34,5.34,3.57,22.25,38.63,4,
143,1.34,5.34,3.57,24.25,37.91,8,
145,1.34,5.34,3.91,26.25,38.59,8,
147,1.34,5.34,4.41,28.25,37.82,8,
149,1.34,5.34,4.60,30.25,38.66,8,3.23
151,1.34,5.34,5.05,32.25,40.87,8,
153,1.34,5.34,5.24,34.25,36.00,7,
155,1.62,5.25,5.69,36.25,39.01,7,
157,0.23,0.93,6.30,38.25,37.68,7,
159,1.03,4.13,0.78,5.43,38.48,7,2.12
161,2.74,6.07,1.28,7.43,40.06,7,
163,3.99,11.09,1.90,9.43,38.65,8,
165,4.20,10.99,2.71,11.43,39.82,8,
167,5.22,7.95,2.42,11.32,37.05,8,
169,3.47,4.94,2.99,13.32,32.08,8,1.03
171,4.15,7.66,2.92,15.32,28.70,8,
173,6.74,12.37,3.75,17.32,26.82,7,
175,9.82,18.05,4.73,19.32,31.13,7,
177,12.27,21.66,4.74,21.32,31.06,7,
179,9.36,21.58,5.36,23.32,32.61,7,1.38
181,7.65,19.84,5.81,25.32,30.75,7,
183,7.97,17.74,6.04,27.32,27.42,2,
185,8.98,19.44,7.04,29.32,25.57,2,
187,10.17,24.22,8.09,31.32,25.95,2,
189,10.13,19.06,9.32,33.32,28.71,2,1.10
191,11.36,17.17,10.11,35.32,24.83,2,
193,11.59,17.11,10.81,37.32,22.54,5,
195,13.05,20.26,11.13,39.32,20.08,5,
197,16.14,29.13,12.29,41.32,17.61,5,
199,17.43,34.33,9.08,30.43,19.23,5,2.00
201,21.32,35.95,9.17,32.43,22.19,5,
203,14.07,31.66,8.85,34.43,23.53,4,
205,14.14,31.63,9.37,36.43,23.72,4,
207,15.91,31.63,10.42,38.43,24.29,4,
209,15.86,31.63,8.87,22.26,27.46,4,2.73
211,13.08,18.66,8.20,24.26,26.73,4,
213,8.41,16.35,7.71,26.26,20.80,8,
215,8.41,16.35,8.67,28.26,16.69,8,
217,9.34,16.35,8.90,30.26,13.54,8,
219,13.38,18.71,9.32,32.26,16.69,8,1.56
221,13.26,18.49,9.89,34.26,14.77,8,
223,13.26,18.49,10.83,36.26,15.20,7,
