time,value
5,0.03
9,0.03
13,0.05
17,0.02
21,0.04
25,0.02
29,0.03
33,0.04
37,0.04
41,0.17
45,0.04
49,0.05
53,0.02
57,0.04
61,0.02
65,0.03
69,0.02
73,0.02
77,0.03
81,0.06
85,0.04
89,0.05
93,0.02
97,0.04
101,0.03
105,0.02
109,0.05
113,0.04
117,0.06
121,0.05
125,0.03
129,0.03
133,0.03
137,0.07
141,0.03
145,0.04
149,0.05
153,0.04
157,0.05
161,0.06
165,0.08
169,0.07
173,0.09
177,0.08
181,0.08
185,0.07
189,0.22
193,0.16
197,0.08
201,0.11
205,0.15
209,0.06
213,0.10
217,0.05
221,0.06
225,0.06
229,0.07
233,0.04
237,0.07
241,0.14
245,0.11
249,0.05
253,0.08
257,0.08
261,0.05
265,0.13
269,0.03
273,0.07
277,0.07
281,0.06
285,0.09
289,0.06
293,0.09
297,0.19
301,0.09
305,0.14
309,0.09
313,0.17
317,0.26
321,0.22
325,0.17
329,0.17
333,0.06
337,0.14
341,0.16
345,0.19
349,0.06
353,0.09
357,0.13
361,0.08
365,0.06
369,0.05
373,0.02
377,0.06
381,0.04
385,0.06
389,0.14
393,0.05
397,0.05
401,0.04
405,0.07
409,0.07
413,0.05
417,0.04
421,0.06
425,0.03
429,0.05
433,0.02
437,0.06
441,0.03
445,0.02
449,0.04
453,0.06
457,0.02
461,0.04
465,0.05
469,0.07
473,0.08
477,0.05
481,0.09
485,0.03
489,0.06
493,0.06
497,0.12
