time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.06
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.26
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.33
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.41
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.41
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.86
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.36
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.84
17,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.41,0.41,1.23,61.03
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.72
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.15
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.15
25,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.18,0.18,0.53,34.59
27,3.84,0.00,1.92,3.84,0.00,2.53,0.00,0.84,0.84,2.53,27.08
29,5.12,0.00,2.56,5.12,0.00,4.53,0.00,1.51,1.51,4.53,18.74
31,8.33,0.00,4.17,8.33,0.58,6.53,0.00,2.37,2.37,6.53,19.06
33,11.09,0.00,5.55,11.09,2.58,8.53,0.00,3.70,3.70,8.53,17.57
35,11.07,0.00,5.53,11.07,4.58,10.53,0.00,5.04,5.04,10.53,15.73
37,17.44,0.00,8.72,17.44,6.58,12.53,0.00,6.37,6.37,12.53,24.83
39,17.83,0.00,8.91,17.83,8.58,14.53,0.00,7.70,7.70,14.53,24.01
41,17.82,0.00,8.91,17.82,10.58,16.53,0.00,9.04,9.04,16.53,19.71
43,17.82,0.00,8.91,17.82,12.58,18.53,0.00,10.37,10.37,18.53,14.08
45,17.82,0.00,8.91,17.82,14.58,20.53,0.00,11.70,11.70,20.53,7.24
47,23.19,0.00,11.60,23.19,16.58,22.53,0.00,13.04,13.04,22.53,9.99
49,23.81,0.00,11.90,23.81,18.58,24.53,0.00,14.37,14.37,24.53,18.91
51,30.06,0.00,15.03,30.06,20.58,26.53,0.00,15.70,15.70,26.53,23.80
53,30.88,0.00,15.44,30.88,22.58,4.06,0.00,8.88,8.88,22.58,31.02
55,13.62,0.00,6.81,13.62,19.04,6.06,0.00,8.37,8.37,19.04,37.71
57,0.00,0.00,0.00,0.00,11.00,8.06,0.00,6.35,6.35,11.00,44.20
59,0.00,0.00,0.00,0.00,0.00,10.06,0.00,3.35,3.35,10.06,51.27
61,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.66,0.66,1.98,46.83
63,0.00,0.00,0.00,0.00,3.98,0.00,0.00,1.33,1.33,3.98,41.21
65,0.00,0.00,0.00,0.00,5.98,1.69,0.00,2.56,2.56,5.98,36.33
67,6.68,0.00,3.34,6.68,7.98,3.69,0.00,3.89,3.89,7.98,38.96
69,9.95,0.00,4.97,9.95,0.00,5.69,0.00,1.90,1.90,5.69,33.86
71,9.93,0.00,4.96,9.93,0.00,7.69,0.00,2.56,2.56,7.69,31.63
73,14.57,0.00,7.28,14.57,0.00,9.69,0.00,3.23,3.23,9.69,23.60
75,16.23,0.00,8.11,16.23,0.00,11.69,0.00,3.90,3.90,11.69,16.46
77,20.54,0.00,10.27,20.54,1.76,13.69,0.00,5.15,5.15,13.69,13.41
79,29.38,0.00,14.69,29.38,3.76,15.69,0.00,6.48,6.48,15.69,17.41
81,29.21,0.00,14.60,29.21,5.76,17.69,0.00,7.82,7.82,17.69,15.54
83,29.21,0.00,14.60,29.21,7.76,19.69,0.00,9.15,9.15,19.69,19.45
85,29.20,0.89,15.05,29.20,9.76,21.69,1.51,10.99,10.99,21.69,18.95
87,28.75,5.36,17.06,28.75,11.76,23.69,3.51,12.99,12.99,23.69,20.91
89,27.19,5.22,16.20,27.19,13.76,25.69,5.51,14.99,14.99,25.69,18.38
91,25.10,5.22,15.16,25.10,15.76,27.69,7.51,16.99,16.99,27.69,13.21
93,28.74,5.22,16.98,28.74,17.76,29.69,9.51,18.99,18.99,29.69,9.32
95,31.21,5.22,18.21,31.21,19.76,31.69,11.51,20.99,20.99,31.69,6.34
97,35.60,5.22,20.41,35.60,21.76,33.69,13.51,22.99,22.99,33.69,11.48
99,36.72,5.22,20.97,36.72,23.76,28.50,15.51,22.59,22.59,28.50,14.29
101,41.51,5.22,23.36,41.51,25.76,24.66,17.51,22.64,22.64,25.76,19.06
103,33.97,5.22,19.60,33.97,12.20,26.66,19.51,19.46,19.46,26.66,21.07
105,0.24,5.22,2.73,5.22,14.20,4.56,21.51,13.42,13.42,21.51,20.05
107,7.34,4.90,6.12,7.34,16.20,6.56,23.51,15.42,15.42,23.51,21.70
109,14.92,0.00,7.46,14.92,18.20,8.56,25.51,17.42,17.42,25.51,18.45
111,16.33,0.00,8.17,16.33,20.20,10.56,0.00,10.25,10.25,20.20,14.29
113,16.72,0.00,8.36,16.72,22.20,12.56,0.00,11.59,11.59,22.20,12.53
115,23.35,0.00,11.67,23.35,24.20,14.56,0.00,12.92,12.92,24.20,16.90
117,23.16,0.00,11.58,23.16,26.20,16.56,0.00,14.25,14.25,26.20,14.36
119,23.16,0.00,11.58,23.16,28.20,18.56,0.80,15.86,15.86,28.20,17.98
121,23.16,2.59,12.87,23.16,30.20,20.56,2.80,17.86,17.86,30.20,21.82
123,23.16,4.75,13.95,23.16,32.20,22.56,4.80,19.86,19.86,32.20,20.14
125,23.16,4.73,13.94,23.16,34.20,24.56,6.80,21.86,21.86,34.20,21.86
127,23.16,4.73,13.94,23.16,36.20,26.56,8.80,23.86,23.86,36.20,21.46
129,29.43,4.73,17.08,29.43,38.20,28.56,10.80,25.86,25.86,38.20,19.93
131,30.25,4.73,17.49,30.25,40.20,30.56,12.80,27.86,27.86,40.20,19.11
133,35.20,4.73,19.97,35.20,35.20,32.56,14.80,27.52,27.52,35.20,21.69
135,42.28,4.73,23.51,42.28,37.20,34.56,16.80,29.52,29.52,37.20,22.14
137,42.88,4.73,23.81,42.88,26.25,36.56,18.80,27.20,27.20,36.56,24.29
139,42.22,4.73,23.47,42.22,28.25,38.56,20.80,29.20,29.20,38.56,19.78
141,38.99,11.13,25.06,38.99,30.25,40.56,22.80,31.20,31.20,40.56,17.46
143,34.79,19.34,27.06,34.79,32.25,42.56,24.80,33.20,33.20,42.56,16.17
145,32.11,25.46,28.79,32.11,34.25,13.61,26.80,24.88,24.88,34.25,15.81
147,18.77,25.29,22.03,25.29,20.81,15.61,28.80,21.74,21.74,28.80,15.73
149,0.00,26.40,13.20,26.40,0.00,17.61,30.80,16.14,16.14,30.80,11.45
151,0.00,32.09,16.04,32.09,0.00,17.55,32.80,16.79,16.79,32.80,11.84
153,0.00,31.95,15.98,31.95,0.00,3.06,34.80,12.62,12.62,34.80,9.64
155,4.07,31.95,18.01,31.95,1.64,5.06,36.80,14.50,14.50,36.80,12.43
157,11.25,31.95,21.60,31.95,3.64,7.06,19.70,10.13,10.13,19.70,19.01
159,11.66,20.44,16.05,20.44,5.64,9.06,18.64,11.11,11.11,18.64,18.46
161,11.66,0.00,5.83,11.66,7.64,11.06,17.32,12.01,12.01,17.32,12.10
163,11.66,5.92,8.79,11.66,9.64,13.06,19.32,14.01,14.01,19.32,5.65
165,11.66,12.51,12.09,12.51,11.64,15.06,21.32,16.01,16.01,21.32,1.78
167,13.18,12.27,12.72,13.18,13.64,17.06,23.32,18.01,18.01,23.32,0.14
169,18.70,12.27,15.49,18.70,15.64,19.06,25.32,20.01,20.01,25.32,0.00
171,18.60,12.27,15.43,18.60,17.64,21.06,27.32,22.01,22.01,27.32,7.28
173,18.60,12.27,15.43,18.60,19.64,23.06,29.32,24.01,24.01,29.32,8.83
175,18.60,12.27,15.43,18.60,21.64,25.06,31.32,26.01,26.01,31.32,9.81
177,18.60,12.27,15.43,18.60,23.64,27.06,33.32,28.01,28.01,33.32,17.33
179,18.60,12.27,15.43,18.60,25.64,29.06,35.32,30.01,30.01,35.32,17.21
181,18.60,12.27,15.43,18.60,27.64,31.06,37.32,32.01,32.01,37.32,14.07
183,18.60,12.27,15.43,18.60,29.64,33.06,39.32,34.01,34.01,39.32,13.30
185,18.58,12.27,15.42,18.58,31.64,35.06,41.32,36.01,36.01,41.32,11.30
187,8.00,12.27,10.13,12.27,33.64,22.79,43.32,33.25,33.25,43.32,11.53
189,0.00,12.27,6.13,12.27,4.01,24.79,45.32,24.71,24.71,45.32,7.13
191,0.00,15.30,7.65,15.30,6.01,0.00,47.32,17.78,17.78,47.32,0.01
193,0.00,17.87,8.94,17.87,0.00,0.00,49.32,16.44,16.44,49.32,0.00
195,0.00,17.85,8.92,17.85,0.00,0.00,51.32,17.11,17.11,51.32,0.00
197,0.00,17.85,8.92,17.85,0.00,0.00,53.32,17.77,17.77,53.32,2.25
199,0.00,17.81,8.91,17.81,0.00,0.00,55.32,18.44,18.44,55.32,28.88
201,0.00,5.12,2.56,5.12,0.00,0.00,51.67,17.22,17.22,51.67,53.86
203,0.00,0.00,0.00,0.00,0.00,0.00,13.19,4.40,4.40,13.19,61.18
205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.37
207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.45
209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.31
211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.10
213,0.00,0.00,0.00,0.00,1.95,0.00,0.00,0.65,0.65,1.95,34.02
215,1.03,0.00,0.52,1.03,3.95,0.00,0.00,1.32,1.32,3.95,28.90
217,1.43,0.00,0.71,1.43,5.95,0.00,0.00,1.98,1.98,5.95,25.44
219,0.00,0.00,0.00,0.00,7.95,0.51,0.00,2.82,2.82,7.95,30.35
221,8.19,0.00,4.10,8.19,9.95,2.51,0.00,4.16,4.16,9.95,42.01
223,9.96,0.00,4.98,9.96,0.00,4.51,0.00,1.50,1.50,4.51,45.57
225,6.57,0.00,3.28,6.57,0.00,6.51,0.00,2.17,2.17,6.51,38.95
227,4.76,0.00,2.38,4.76,0.00,8.51,0.00,2.84,2.84,8.51,32.40
229,4.69,0.00,2.34,4.69,0.00,10.51,0.00,3.50,3.50,10.51,29.29
231,9.47,0.00,4.73,9.47,0.00,12.51,0.00,4.17,4.17,12.51,28.96
233,10.75,0.00,5.38,10.75,0.00,14.51,0.00,4.84,4.84,14.51,30.68
235,15.46,0.00,7.73,15.46,0.56,16.51,0.00,5.69,5.69,16.51,33.34
237,20.84,0.00,10.42,20.84,2.56,18.51,0.00,7.02,7.02,18.51,36.93
239,22.70,0.00,11.35,22.70,4.56,11.60,0.00,5.39,5.39,11.60,41.35
241,0.00,0.00,0.00,0.00,6.56,8.36,0.00,4.97,4.97,8.36,40.80
243,0.00,0.00,0.00,0.00,8.56,0.00,0.00,2.85,2.85,8.56,41.02
245,0.00,0.00,0.00,0.00,2.99,0.00,0.00,1.00,1.00,2.99,26.95
247,2.35,0.00,1.18,2.35,4.99,1.74,0.00,2.25,2.25,4.99,19.76
249,15.79,0.00,7.90,15.79,6.99,3.74,0.00,3.58,3.58,6.99,14.94
251,23.43,0.00,11.71,23.43,8.99,5.74,0.00,4.91,4.91,8.99,12.17
253,23.29,0.00,11.64,23.29,10.99,7.74,0.00,6.25,6.25,10.99,10.10
255,29.72,0.00,14.86,29.72,12.99,9.74,0.00,7.58,7.58,12.99,8.75
257,30.13,0.00,15.06,30.13,14.99,11.74,0.00,8.91,8.91,14.99,11.87
259,30.13,0.00,15.06,30.13,16.99,13.74,0.00,10.25,10.25,16.99,10.41
261,30.84,0.00,15.42,30.84,18.99,15.74,0.00,11.58,11.58,18.99,9.00
263,36.59,0.00,18.30,36.59,20.99,17.74,0.00,12.91,12.91,20.99,14.24
265,36.41,0.00,18.21,36.41,22.99,19.74,0.00,14.25,14.25,22.99,12.20
267,36.41,0.00,18.21,36.41,24.99,21.74,0.00,15.58,15.58,24.99,11.83
269,36.41,0.00,18.21,36.41,22.99,23.74,0.00,15.58,15.58,23.74,13.89
271,41.98,0.00,20.99,41.98,24.99,25.74,0.00,16.91,16.91,25.74,19.79
273,43.05,0.00,21.52,43.05,25.65,27.74,0.00,17.80,17.80,27.74,16.41
275,42.61,0.00,21.30,42.61,27.65,29.74,0.00,19.13,19.13,29.74,13.72
277,39.92,0.00,19.96,39.92,29.65,31.74,0.86,20.75,20.75,31.74,9.99
279,36.33,4.74,20.53,36.33,31.65,33.74,2.86,22.75,22.75,33.74,7.72
281,32.79,4.98,18.89,32.79,33.65,35.74,4.86,24.75,24.75,35.74,5.02
283,31.76,4.98,18.37,31.76,35.65,30.98,6.86,24.50,24.50,35.65,9.67
285,37.18,4.98,21.08,37.18,15.50,32.98,8.86,19.12,19.12,32.98,14.78
287,14.60,4.98,9.79,14.60,17.50,25.33,10.86,17.90,17.90,25.33,6.72
289,7.36,4.89,6.12,7.36,19.50,27.33,12.86,19.90,19.90,27.33,1.57
291,14.95,0.41,7.68,14.95,21.50,29.33,14.86,21.90,21.90,29.33,0.00
293,17.38,0.00,8.69,17.38,23.50,31.33,0.00,18.28,18.28,31.33,0.00
295,17.36,0.00,8.68,17.36,25.50,33.33,0.00,19.61,19.61,33.33,13.97
297,17.36,0.00,8.68,17.36,27.50,35.33,0.00,20.94,20.94,35.33,14.40
299,17.36,0.00,8.68,17.36,29.50,37.33,0.00,22.28,22.28,37.33,14.76
301,17.36,0.00,8.68,17.36,31.50,39.33,0.00,23.61,23.61,39.33,23.72
303,17.36,0.00,8.68,17.36,33.50,41.33,0.00,24.94,24.94,41.33,22.14
305,17.36,0.00,8.68,17.36,35.50,43.33,0.00,26.28,26.28,43.33,17.92
307,17.36,0.00,8.68,17.36,37.50,45.33,0.00,27.61,27.61,45.33,20.75
309,20.35,0.00,10.18,20.35,39.50,47.33,0.00,28.94,28.94,47.33,22.65
311,23.52,0.00,11.76,23.52,41.50,49.33,0.00,30.28,30.28,49.33,19.63
313,23.49,0.00,11.74,23.49,43.50,51.33,0.00,31.61,31.61,51.33,17.42
315,27.71,0.00,13.85,27.71,45.50,53.33,0.00,32.94,32.94,53.33,16.09
317,30.10,0.00,15.05,30.10,47.50,55.33,0.00,34.28,34.28,55.33,16.03
319,30.08,0.00,15.04,30.08,49.50,57.33,0.00,35.61,35.61,57.33,11.53
321,30.08,0.00,15.04,30.08,51.50,59.33,0.61,37.15,37.15,59.33,12.73
323,36.61,4.60,20.61,36.61,53.50,61.33,2.61,39.15,39.15,61.33,14.25
325,37.07,5.46,21.26,37.07,55.50,63.33,4.61,41.15,41.15,63.33,14.74
327,37.07,5.46,21.26,37.07,57.50,0.00,6.61,21.37,21.37,57.50,16.64
329,37.00,5.46,21.23,37.00,45.85,0.00,8.61,18.15,18.15,45.85,19.79
331,41.18,5.46,23.32,41.18,22.13,1.08,10.61,11.27,11.27,22.13,28.00
333,4.08,5.46,4.77,5.46,18.62,3.08,12.61,11.43,11.43,18.62,27.65
335,0.00,5.46,2.73,5.46,15.21,5.08,14.61,11.63,11.63,15.21,23.06
337,4.95,5.37,5.16,5.37,17.21,7.08,16.61,13.63,13.63,17.21,24.46
339,11.25,0.23,5.74,11.25,19.21,9.08,18.61,15.63,15.63,19.21,32.66
341,11.13,0.00,5.57,11.13,21.21,11.08,5.29,12.53,12.53,21.21,37.32
343,11.13,0.00,5.57,11.13,23.21,13.08,0.00,12.10,12.10,23.21,34.02
345,11.13,0.00,5.57,11.13,25.21,15.08,0.46,13.58,13.58,25.21,27.57
347,11.13,2.52,6.82,11.13,27.21,17.08,2.46,15.58,15.58,27.21,21.68
349,11.13,5.13,8.13,11.13,29.21,19.08,4.46,17.58,17.58,29.21,15.00
