time,queue_main,queue_right,delay_direction_1,delay_direction_2,delay_direction_3,speed
1,0.00,0.00,0.00,0.00,0.00,43.30
3,0.00,0.00,0.00,0.00,0.00,55.60
5,0.00,0.00,0.00,0.00,0.00,63.00
7,0.00,0.00,0.00,0.00,0.00,63.40
9,0.00,0.00,0.00,0.00,0.00,59.10
11,0.00,0.00,0.00,0.00,0.00,57.15
13,0.00,0.00,0.00,0.00,0.00,48.40
15,0.00,0.00,0.00,0.00,0.00,43.80
17,0.00,1.07,0.00,0.00,1.76,43.17
19,0.00,4.78,0.00,0.00,3.76,39.48
21,0.00,4.58,0.00,0.00,5.76,44.47
23,0.00,0.00,0.00,0.12,7.76,33.20
25,3.04,0.00,0.00,2.12,0.00,24.80
27,5.13,0.00,0.00,4.12,0.00,25.45
29,9.56,0.00,0.95,6.12,0.00,20.38
31,11.07,0.00,2.95,8.12,0.00,25.76
33,14.68,0.00,4.95,10.12,0.00,25.06
35,17.85,0.00,6.95,12.12,0.00,20.80
37,17.82,0.00,8.95,14.12,0.00,19.77
39,17.78,0.00,10.95,16.12,0.00,20.47
41,4.26,0.00,12.95,0.00,0.00,37.73
43,0.00,0.00,10.28,0.00,0.00,38.05
45,0.87,0.00,6.05,1.47,0.00,32.05
47,6.80,0.00,8.05,3.47,0.00,42.62
49,10.89,0.00,0.00,5.47,0.00,39.65
51,10.88,0.00,0.00,7.47,0.00,33.76
53,10.88,0.00,0.00,9.47,0.00,32.55
55,13.10,0.00,0.83,11.47,0.00,29.00
57,21.90,0.00,2.83,13.47,0.00,24.87
59,22.88,0.00,4.83,15.47,0.00,26.13
61,22.88,0.00,6.83,17.47,0.00,21.04
63,28.79,0.00,8.83,19.47,0.00,16.10
65,29.18,0.00,10.83,21.47,0.00,16.22
67,39.89,0.00,12.83,23.47,0.00,15.65
69,41.76,0.00,14.83,25.47,0.00,19.65
71,41.05,0.00,16.83,27.47,0.00,20.79
73,39.68,0.00,18.83,18.14,1.01,25.03
75,37.73,5.22,10.52,20.14,3.01,27.57
77,3.60,5.22,12.52,16.05,5.01,27.80
79,0.00,5.22,14.52,13.44,7.01,27.72
