time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase
1,0.00,0.00,0.00,0.00,44.79,0.00,1
3,0.00,0.00,0.00,0.00,52.61,0.00,1
5,0.00,0.00,0.00,0.00,56.16,0.00,1
7,0.00,0.00,0.00,0.00,57.80,0.00,1
9,0.00,0.00,0.00,0.00,59.77,0.00,1
11,0.00,0.00,0.00,0.00,57.50,0.00,1
13,0.00,0.00,0.00,0.00,53.61,0.00,1
15,0.00,0.00,0.01,0.16,48.02,0.00,1
17,0.45,1.80,0.24,2.16,44.07,1.00,1
19,1.15,4.61,0.50,4.16,37.34,2.00,1
21,1.89,4.55,0.80,6.16,33.17,0.00,3
23,4.35,5.07,1.58,8.16,33.76,1.00,3
25,6.34,11.01,2.13,10.16,35.00,0.00,3
27,4.03,10.88,3.04,12.16,29.22,2.00,3
29,4.38,10.88,2.23,10.42,27.33,0.00,3
31,5.89,10.88,3.07,12.42,23.97,0.00,3
33,6.97,11.48,3.92,14.42,20.91,0.00,3
35,8.76,11.48,5.00,16.42,18.74,0.00,3
37,11.17,16.81,6.17,18.42,18.54,0.00,3
39,12.69,22.90,7.47,20.42,20.14,0.00,3
41,12.88,23.53,8.81,22.42,20.44,0.00,3
43,13.01,23.53,10.14,24.42,19.97,0.00,2
45,14.33,23.53,11.47,26.42,21.58,0.00,2
47,14.28,23.53,12.83,28.42,24.87,1.00,2
49,14.27,23.53,14.35,30.42,26.68,2.00,2
51,12.81,23.53,13.92,32.42,26.37,2.00,2
53,13.90,23.53,12.46,34.42,25.04,2.00,4
55,14.27,23.53,12.05,36.42,23.43,0.00,4
57,15.53,23.53,13.05,38.42,22.75,1.00,4
59,14.39,23.53,13.16,40.42,23.92,2.00,4
61,9.63,27.41,11.53,32.65,22.79,1.00,1
63,10.03,29.00,10.40,34.65,20.80,3.00,1
65,10.29,30.02,10.15,36.65,25.55,0.00,1
67,10.13,30.44,11.10,38.65,25.76,2.00,1
69,11.15,30.44,8.00,33.10,24.88,2.00,1
71,13.38,30.44,7.71,32.96,26.41,1.00,1
73,14.50,30.44,6.11,26.58,27.08,2.00,1
75,16.30,30.44,5.54,28.58,25.34,0.00,1
77,16.24,30.44,6.37,30.58,22.58,0.00,1
79,18.10,30.44,7.21,32.58,18.75,0.00,1
81,20.47,30.44,8.24,34.58,17.38,0.00,3
83,22.93,30.44,9.41,36.58,17.55,1.00,3
85,24.09,30.44,10.30,38.58,16.01,1.00,3
87,26.42,34.08,10.85,40.58,16.55,2.00,3
89,26.94,35.78,10.99,38.28,18.44,2.00,3
91,24.61,35.53,11.39,32.23,19.60,2.00,3
93,12.79,29.35,11.35,32.18,21.48,2.00,3
95,11.94,29.35,12.01,32.88,19.09,2.00,3
97,14.54,33.64,10.83,31.43,17.18,2.00,3
99,15.10,36.14,11.11,33.43,15.40,2.00,2
101,15.10,36.13,11.41,35.43,12.76,0.00,2
103,16.16,36.13,12.54,37.43,17.10,0.00,2
105,17.64,36.13,13.71,39.43,17.65,2.00,2
107,17.63,36.13,12.65,39.04,16.06,2.00,4
