time,queue_main,queue_right,queue_avg,queue_max,delay_direction_1,delay_direction_2,delay_direction_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.70
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.10
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.70
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.30
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.47
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.96
21,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.41,0.53,1.24,50.83
23,0.00,0.00,0.00,0.00,0.00,0.00,3.24,1.08,1.39,3.24,56.97
25,0.00,0.00,0.00,0.00,0.00,0.00,2.25,0.75,0.97,2.25,49.97
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.05
29,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.19,0.24,0.56,39.43
31,0.32,0.00,0.16,0.32,0.00,1.42,0.00,0.47,0.61,1.42,33.57
33,5.64,0.00,2.82,5.64,0.00,3.42,0.78,1.40,1.80,3.42,29.50
35,5.41,0.00,2.70,5.41,0.00,5.42,2.78,2.73,3.51,5.42,37.63
37,5.41,0.00,2.70,5.41,0.00,7.42,0.00,2.47,3.18,7.42,43.30
39,5.41,0.00,2.70,5.41,0.00,9.42,0.00,3.14,4.04,9.42,41.75
41,5.41,0.00,2.70,5.41,0.00,11.42,0.00,3.81,4.90,11.42,35.27
43,5.41,0.00,2.70,5.41,0.00,13.42,0.14,4.52,5.81,13.42,35.90
45,5.41,4.89,5.15,5.41,0.00,15.42,2.14,5.85,7.53,15.42,30.32
47,5.41,5.50,5.46,5.50,0.00,17.42,4.14,7.19,9.24,17.42,21.88
49,5.41,5.50,5.46,5.50,0.00,19.42,6.14,8.52,10.96,19.42,15.02
51,12.04,5.83,8.93,12.04,0.00,21.42,8.14,9.85,12.67,21.42,8.30
53,12.09,11.36,11.73,12.09,0.00,23.42,10.14,11.19,14.38,23.42,4.02
55,12.09,11.15,11.62,12.09,0.00,25.42,12.14,12.52,16.10,25.42,0.92
57,12.09,15.18,13.64,15.18,0.00,27.42,14.14,13.85,17.81,27.42,0.00
59,12.09,18.07,15.08,18.07,0.00,29.42,16.14,15.19,19.53,29.42,0.00
61,12.09,18.06,15.08,18.06,0.00,31.42,18.14,16.52,21.24,31.42,7.48
63,12.09,18.06,15.08,18.06,0.00,33.42,20.14,17.85,22.96,33.42,15.29
65,12.09,18.06,15.08,18.06,0.00,35.42,22.14,19.19,24.67,35.42,17.44
67,12.09,18.06,15.08,18.06,0.00,37.42,24.14,20.52,26.38,37.42,17.40
69,12.09,18.06,15.08,18.06,0.00,39.42,26.14,21.85,28.10,39.42,21.17
71,12.09,18.06,15.08,18.06,0.00,41.42,28.14,23.19,29.81,41.42,22.08
