time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,4.2
21.0,5.3
23.0,5.3
25.0,5.3
27.0,7.4
29.0,10.2
31.0,7.4
33.0,5.5
35.0,10.2
37.0,11.6
39.0,11.7
41.0,17.2
43.0,17.6
45.0,17.6
47.0,17.6
49.0,17.6
51.0,20.1
53.0,23.3
55.0,23.3
57.0,23.3
59.0,28.3
61.0,30.2
63.0,30.2
65.0,30.2
67.0,30.2
69.0,30.1
71.0,19.0
73.0,23.4
75.0,24.8
77.0,24.8
79.0,24.8
81.0,24.8
83.0,24.8
85.0,24.8
87.0,24.8
89.0,24.8
91.0,24.8
93.0,24.8
95.0,24.8
97.0,30.1
99.0,34.6
101.0,37.0
103.0,41.0
105.0,43.1
107.0,48.6
109.0,50.3
111.0,56.0
113.0,55.5
115.0,35.9
117.0,35.9
119.0,36.6
121.0,51.1
123.0,57.1
125.0,61.0
127.0,60.9
129.0,69.1
131.0,78.1
133.0,84.4
135.0,90.0
137.0,96.8
139.0,106.6
141.0,115.3
143.0,120.5
145.0,127.8
147.0,128.8
149.0,130.6
151.0,135.7
153.0,141.3
155.0,147.0
157.0,148.3
159.0,148.3
161.0,153.8
163.0,156.6
165.0,160.3
167.0,160.2
169.0,157.9
171.0,50.5
173.0,57.3
175.0,64.0
177.0,71.3
179.0,76.8
181.0,84.4
183.0,85.8
185.0,91.2
187.0,98.1
189.0,103.8
191.0,103.9
193.0,80.1
195.0,66.1
197.0,74.0
199.0,81.2
201.0,42.3
203.0,24.3
205.0,24.3
207.0,24.8
209.0,30.1
211.0,34.4
213.0,39.3
215.0,43.1
217.0,43.1
219.0,43.1
221.0,47.1
223.0,50.0
225.0,50.0
227.0,50.0
229.0,56.4
231.0,58.2
233.0,67.8
235.0,69.3
237.0,74.9
239.0,74.8
241.0,74.8
243.0,74.8
245.0,74.5
247.0,73.2
249.0,68.6
251.0,44.8
253.0,24.1
255.0,24.1
257.0,24.1
259.0,24.1
261.0,24.1
263.0,24.1
265.0,24.1
267.0,24.1
269.0,24.1
271.0,24.1
273.0,24.1
275.0,24.1
277.0,24.1
279.0,21.4
281.0,21.0
283.0,25.2
285.0,30.2
287.0,35.0
289.0,36.3
291.0,36.3
293.0,35.5
295.0,33.9
297.0,31.7
299.0,30.6
301.0,18.0
303.0,17.4
305.0,17.4
307.0,20.1
309.0,23.8
311.0,23.7
313.0,23.7
315.0,23.7
317.0,23.4
319.0,19.1
321.0,23.9
323.0,28.6
325.0,30.0
327.0,33.8
329.0,33.7
331.0,33.7
333.0,39.7
335.0,40.5
337.0,40.5
339.0,44.9
341.0,43.9
343.0,47.8
345.0,45.6
347.0,36.0
349.0,37.5
351.0,11.5
353.0,11.5
355.0,11.5
357.0,17.8
359.0,17.6
361.0,24.0
363.0,29.8
365.0,30.8
367.0,30.8
369.0,30.8
371.0,31.9
373.0,35.2
375.0,35.2
377.0,35.2
379.0,38.7
381.0,40.3
383.0,46.6
385.0,47.0
387.0,27.8
389.0,24.3
391.0,24.3
393.0,24.3
395.0,24.3
397.0,24.3
399.0,24.3
401.0,28.2
403.0,29.9
405.0,34.7
407.0,34.6
409.0,35.3
411.0,42.8
413.0,47.5
415.0,51.4
417.0,53.7
419.0,53.7
421.0,53.7
423.0,52.4
425.0,32.8
427.0,30.2
429.0,27.0
431.0,29.2
433.0,28.9
435.0,28.9
437.0,28.9
439.0,28.9
441.0,28.9
443.0,28.9
445.0,28.9
447.0,35.2
449.0,41.3
451.0,44.0
453.0,32.7
455.0,19.3
457.0,11.9
459.0,18.0
461.0,18.6
463.0,18.5
465.0,21.7
467.0,25.2
469.0,25.2
471.0,25.2
473.0,26.8
475.0,31.3
477.0,31.2
479.0,36.8
481.0,37.6
483.0,41.8
485.0,44.3
487.0,44.6
489.0,51.4
491.0,54.9
493.0,57.5
495.0,57.4
497.0,56.3
499.0,38.0
501.0,24.8
