time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.74
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.21
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.67
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.06
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.02
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.25
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.59
15,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.11,0.14,0.34,57.88
17,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.02,0.02,0.05,48.13
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.44
21,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.11,0.14,0.33,52.01
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.33
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.76
27,0.00,0.00,0.00,0.00,0.00,1.52,0.00,0.51,0.65,1.52,27.54
29,11.14,0.00,5.57,11.14,0.00,3.52,0.00,1.17,1.51,3.52,41.01
31,10.92,0.00,5.46,10.92,0.00,5.52,0.00,1.84,2.37,5.52,42.70
33,10.92,0.00,5.46,10.92,0.00,7.52,0.00,2.51,3.22,7.52,41.55
35,10.92,0.00,5.46,10.92,0.00,9.52,0.00,3.17,4.08,9.52,33.97
37,10.92,0.00,5.46,10.92,0.00,11.52,0.00,3.84,4.94,11.52,20.40
39,10.92,0.00,5.46,10.92,0.00,13.52,0.00,4.51,5.80,13.52,8.42
41,14.60,0.00,7.30,14.60,0.00,15.52,0.00,5.17,6.65,15.52,1.56
43,21.32,0.00,10.66,21.32,0.00,17.52,0.00,5.84,7.51,17.52,0.00
45,23.71,0.00,11.85,23.71,1.31,19.52,0.00,6.94,8.93,19.52,1.30
47,23.68,0.00,11.84,23.68,3.31,21.52,0.00,8.28,10.64,21.52,14.87
49,10.38,0.00,5.19,10.38,5.31,9.97,0.00,5.09,6.55,9.97,36.65
51,0.00,0.00,0.00,0.00,7.31,11.97,0.00,6.43,8.26,11.97,55.82
53,0.00,0.00,0.00,0.00,9.31,0.00,0.00,3.10,3.99,9.31,58.14
55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.32
57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.85
59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.23
61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.83
63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.60
65,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.30,0.38,0.89,48.53
67,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.15,0.19,0.45,56.96
69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.49
71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.83
73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.01
75,0.00,0.00,0.00,0.00,1.00,0.14,0.00,0.38,0.49,1.00,48.83
77,0.00,0.00,0.00,0.00,0.00,2.14,0.00,0.71,0.92,2.14,45.49
79,5.22,0.00,2.61,5.22,0.00,4.14,0.00,1.38,1.77,4.14,39.89
81,5.34,0.00,2.67,5.34,0.00,6.14,0.00,2.05,2.63,6.14,34.93
83,11.40,0.00,5.70,11.40,0.00,8.14,0.00,2.71,3.49,8.14,28.23
85,11.20,0.00,5.60,11.20,0.00,10.14,0.00,3.38,4.35,10.14,28.41
87,16.88,0.00,8.44,16.88,1.84,12.14,0.32,4.77,6.04,12.14,25.29
89,9.07,0.00,4.53,9.07,3.84,10.15,0.48,4.82,6.06,10.15,29.80
91,0.00,0.00,0.00,0.00,5.84,2.26,0.00,2.70,3.47,5.84,48.08
93,0.00,0.00,0.00,0.00,0.00,4.26,0.00,1.42,1.83,4.26,56.37
95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.13
97,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.02,0.03,0.07,60.90
99,0.00,0.00,0.00,0.00,0.00,2.07,0.00,0.69,0.89,2.07,59.32
101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.73
103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.50
105,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.07,0.09,0.20,26.36
107,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.72
109,0.00,1.46,0.73,1.46,0.00,0.00,1.33,0.44,0.19,1.33,27.00
111,0.00,5.26,2.63,5.26,0.00,0.00,3.33,1.11,0.48,3.33,29.85
113,0.00,5.17,2.58,5.17,0.00,0.00,5.33,1.78,0.76,5.33,30.17
115,0.00,5.17,2.58,5.17,0.00,0.00,7.33,2.44,1.05,7.33,29.51
117,0.00,5.17,2.58,5.17,0.00,0.00,9.33,3.11,1.33,9.33,23.46
119,0.00,5.17,2.58,5.17,0.00,0.00,11.33,3.78,1.62,11.33,17.39
121,0.00,5.17,2.58,5.17,0.00,0.00,13.33,4.44,1.90,13.33,11.31
123,0.00,5.17,2.58,5.17,0.74,0.00,15.33,5.35,2.51,15.33,0.00
125,0.00,5.17,2.58,5.17,0.00,0.00,17.33,5.78,2.48,17.33,0.00
127,0.00,5.17,2.58,5.17,0.00,0.00,19.33,6.44,2.76,19.33,24.88
129,0.00,5.17,2.58,5.17,0.00,0.00,21.33,7.11,3.05,21.33,29.61
131,0.00,5.17,2.58,5.17,0.00,0.00,23.33,7.78,3.33,23.33,33.16
133,0.00,5.17,2.58,5.17,0.00,0.00,25.33,8.44,3.62,25.33,32.70
135,0.00,5.17,2.58,5.17,0.00,0.00,27.33,9.11,3.90,27.33,37.04
137,0.00,5.17,2.58,5.17,0.00,0.00,29.33,9.78,4.19,29.33,32.25
139,0.00,5.17,2.58,5.17,0.00,0.00,31.33,10.44,4.48,31.33,25.80
141,0.00,5.17,2.58,5.17,0.00,1.36,33.33,11.56,5.34,33.33,20.82
143,4.16,5.17,4.66,5.17,0.00,3.36,35.33,12.89,6.49,35.33,28.67
145,4.57,5.17,4.87,5.17,0.00,5.36,37.33,14.23,7.63,37.33,25.82
147,4.57,5.17,4.87,5.17,0.00,7.36,39.33,15.56,8.77,39.33,21.31
149,4.57,5.17,4.87,5.17,0.00,9.36,41.33,16.89,9.91,41.33,24.28
151,7.06,5.17,6.11,7.06,0.33,11.36,43.33,18.34,11.20,43.33,21.41
153,11.18,5.17,8.18,11.18,2.33,13.36,45.33,20.34,13.20,45.33,17.57
155,11.13,5.17,8.15,11.13,4.33,15.36,47.33,22.34,15.20,47.33,24.33
157,7.54,5.17,6.35,7.54,6.33,17.36,49.33,24.34,17.20,49.33,26.46
159,0.00,5.17,2.58,5.17,8.33,0.00,51.33,19.89,10.90,51.33,33.18
161,0.00,5.17,2.58,5.17,4.03,0.00,53.33,19.12,9.34,53.33,38.49
163,0.00,5.17,2.58,5.17,0.00,0.00,55.33,18.44,7.90,55.33,39.75
165,0.00,5.17,2.58,5.17,0.00,0.00,57.33,19.11,8.19,57.33,39.00
167,3.26,5.17,4.21,5.17,1.68,0.81,59.33,20.61,9.54,59.33,33.96
169,5.01,5.17,5.09,5.17,3.68,2.81,61.33,22.61,11.54,61.33,28.64
171,8.15,5.17,6.66,8.15,5.68,4.81,63.33,24.61,13.54,63.33,30.52
173,12.24,5.17,8.71,12.24,7.68,6.81,65.33,26.61,15.54,65.33,28.15
175,19.22,5.17,12.19,19.22,9.68,8.81,67.33,28.61,17.54,67.33,28.34
177,23.87,5.17,14.52,23.87,11.68,10.81,69.33,30.61,19.54,69.33,28.00
179,21.11,5.17,13.14,21.11,6.35,12.81,71.33,30.16,18.40,71.33,26.26
181,0.00,5.17,2.58,5.17,8.35,7.42,73.33,29.70,17.23,73.33,25.22
183,0.00,5.17,2.58,5.17,3.38,9.42,75.33,29.38,16.25,75.33,27.70
185,0.00,5.17,2.58,5.17,5.38,1.70,77.33,28.13,14.08,77.33,30.50
187,0.00,5.17,2.58,5.17,3.19,3.70,79.33,28.74,14.29,79.33,31.87
189,0.00,5.17,2.58,5.17,0.00,5.70,81.33,29.01,14.06,81.33,37.56
191,0.00,5.17,2.58,5.17,0.00,6.37,83.33,29.90,14.64,83.33,44.35
193,0.00,5.17,2.58,5.17,0.00,0.00,85.33,28.44,12.19,85.33,46.75
195,0.00,5.17,2.58,5.17,0.00,0.00,87.33,29.11,12.48,87.33,46.24
197,0.00,5.17,2.58,5.17,0.95,0.00,89.33,30.09,13.17,89.33,43.26
199,1.10,5.17,3.13,5.17,2.95,1.55,91.33,31.94,14.98,91.33,35.97
201,8.63,5.17,6.90,8.63,4.95,3.55,93.33,33.94,16.98,93.33,27.69
203,11.86,5.17,8.51,11.86,6.95,5.55,95.33,35.94,18.98,95.33,17.60
205,18.18,5.17,11.67,18.18,8.95,7.55,97.33,37.94,20.98,97.33,13.35
207,27.81,5.17,16.49,27.81,10.95,9.55,99.33,39.94,22.98,99.33,18.57
209,38.60,5.17,21.88,38.60,12.95,11.55,101.33,41.94,24.98,101.33,17.44
211,42.30,5.17,23.73,42.30,14.95,13.55,103.33,43.94,26.98,103.33,13.81
213,42.24,5.51,23.88,42.24,16.95,15.55,105.33,45.94,28.98,105.33,16.54
215,42.24,11.39,26.82,42.24,18.95,17.55,107.33,47.94,30.98,107.33,18.20
217,45.40,11.21,28.31,45.40,11.34,19.55,109.33,46.74,28.86,109.33,16.93
219,53.11,11.21,32.16,53.11,13.34,21.55,111.33,48.74,30.86,111.33,14.28
221,59.08,11.21,35.14,59.08,15.34,18.91,113.33,49.19,30.87,113.33,12.25
223,61.49,11.21,36.35,61.49,17.34,18.04,115.33,50.23,31.64,115.33,12.60
225,71.05,11.21,41.13,71.05,14.28,20.04,117.33,50.55,31.47,117.33,13.69
227,80.12,11.21,45.66,80.12,16.28,19.31,119.33,51.64,32.30,119.33,16.39
229,80.04,11.21,45.62,80.04,18.28,10.39,121.33,50.00,29.62,121.33,19.82
231,11.85,11.21,11.53,11.85,12.68,12.39,123.33,49.47,28.36,123.33,21.82
233,0.00,11.21,5.60,11.21,11.04,14.39,125.33,50.25,28.81,125.33,19.45
235,2.06,11.21,6.63,11.21,13.04,6.96,127.33,49.11,26.76,127.33,11.55
237,10.21,11.21,10.71,11.21,15.04,8.96,129.33,51.11,28.76,129.33,10.88
239,21.87,11.21,16.54,21.87,17.04,10.96,131.33,53.11,30.76,131.33,9.30
241,24.56,11.21,17.88,24.56,19.04,12.96,133.33,55.11,32.76,133.33,8.15
243,29.17,11.21,20.19,29.17,21.04,14.96,135.33,57.11,34.76,135.33,7.05
245,29.08,11.21,20.14,29.08,23.04,16.96,137.33,59.11,36.76,137.33,5.63
247,29.08,11.21,20.14,29.08,20.29,18.96,139.33,59.52,36.72,139.33,4.66
249,29.07,11.21,20.14,29.07,22.29,20.96,141.33,61.52,38.72,141.33,10.01
251,16.95,11.21,14.08,16.95,23.50,22.96,143.33,63.26,40.39,143.33,6.60
253,0.28,11.21,5.74,11.21,14.79,24.96,145.33,61.69,37.79,145.33,10.55
255,4.84,11.21,8.02,11.21,16.79,26.96,147.33,63.69,39.79,147.33,13.28
257,0.00,11.21,5.60,11.21,18.79,28.96,149.33,65.69,41.79,149.33,18.74
259,0.00,11.21,5.60,11.21,20.79,0.00,151.33,57.37,30.53,151.33,20.03
261,0.00,11.21,5.60,11.21,9.96,0.00,153.33,54.43,26.17,153.33,20.03
263,0.00,11.21,5.60,11.21,0.00,0.00,155.33,51.78,22.19,155.33,13.80
265,0.00,11.21,5.60,11.21,0.00,0.00,157.33,52.44,22.48,157.33,16.29
267,0.00,11.21,5.60,11.21,0.00,0.00,159.33,53.11,22.76,159.33,15.50
269,0.00,15.05,7.53,15.05,0.00,0.00,161.33,53.78,23.05,161.33,15.09
271,0.00,17.22,8.61,17.22,0.00,0.00,163.33,54.44,23.33,163.33,14.97
273,0.00,17.21,8.61,17.21,0.00,0.00,165.33,55.11,23.62,165.33,14.97
275,0.00,17.21,8.61,17.21,0.00,0.00,167.33,55.78,23.90,167.33,20.36
277,0.00,17.21,8.61,17.21,0.00,0.00,169.33,56.44,24.19,169.33,17.23
279,0.00,17.21,8.61,17.21,0.00,0.00,171.33,57.11,24.48,171.33,13.48
281,1.46,17.21,9.34,17.21,0.00,1.57,173.33,58.30,25.43,173.33,11.90
283,5.28,17.21,11.24,17.21,0.00,3.57,175.33,59.63,26.57,175.33,18.98
285,5.19,17.21,11.20,17.21,0.00,5.57,177.33,60.96,27.72,177.33,16.29
287,5.19,17.21,11.20,17.21,0.00,7.57,179.33,62.30,28.86,179.33,19.28
289,5.19,17.21,11.20,17.21,0.00,9.57,181.33,63.63,30.00,181.33,22.45
291,10.84,17.21,14.03,17.21,0.00,11.57,183.33,64.96,31.15,183.33,25.15
293,11.95,17.21,14.58,17.21,0.00,13.57,185.33,66.30,32.29,185.33,28.82
295,11.95,17.21,14.58,17.21,0.00,15.57,187.33,67.63,33.43,187.33,31.91
297,9.20,17.16,13.18,17.16,0.00,17.57,189.33,68.96,34.57,189.33,35.55
299,0.00,4.88,2.44,4.88,0.00,10.81,88.81,33.21,17.32,88.81,41.20
301,0.00,0.00,0.00,0.00,0.00,5.69,33.43,13.04,7.22,33.43,47.28
303,0.00,0.00,0.00,0.00,0.00,3.09,0.00,1.03,1.32,3.09,48.44
305,0.00,0.00,0.00,0.00,0.00,0.00,1.65,0.55,0.24,1.65,54.78
307,0.00,0.00,0.00,0.00,1.53,0.79,0.00,0.77,0.99,1.53,42.57
309,0.00,0.00,0.00,0.00,0.00,2.79,0.56,1.12,1.28,2.79,29.44
311,4.76,1.37,3.07,4.76,0.00,4.79,2.56,2.45,2.42,4.79,18.69
313,5.01,4.94,4.97,5.01,0.00,6.79,4.56,3.79,3.56,6.79,9.36
315,5.01,7.91,6.46,7.91,0.00,8.79,6.56,5.12,4.71,8.79,3.27
317,5.01,11.17,8.09,11.17,0.00,10.79,8.56,6.45,5.85,10.79,0.41
319,5.01,17.55,11.28,17.55,0.00,12.79,10.56,7.79,6.99,12.79,8.64
321,5.01,17.61,11.31,17.61,0.00,14.79,12.56,9.12,8.13,14.79,10.70
323,5.01,17.61,11.31,17.61,0.00,16.79,14.56,10.45,9.28,16.79,24.23
325,5.01,17.61,11.31,17.61,0.00,18.79,16.56,11.79,10.42,18.79,25.93
327,5.01,17.61,11.31,17.61,0.00,20.79,18.56,13.12,11.56,20.79,25.67
329,5.01,17.61,11.31,17.61,0.00,22.79,20.56,14.45,12.71,22.79,22.72
331,5.01,17.61,11.31,17.61,0.00,24.79,22.56,15.79,13.85,24.79,18.81
333,5.01,17.61,11.31,17.61,0.00,26.79,24.56,17.12,14.99,26.79,15.73
335,9.02,17.61,13.32,17.61,0.00,28.79,26.56,18.45,16.13,28.79,16.03
337,10.65,17.59,14.12,17.59,0.00,30.79,28.56,19.79,17.28,30.79,30.77
339,0.00,5.89,2.94,5.89,0.90,7.40,26.05,11.45,7.28,26.05,40.75
341,0.00,0.00,0.00,0.00,2.90,5.03,24.03,10.65,6.83,24.03,48.57
343,0.00,0.00,0.00,0.00,4.90,0.00,0.00,1.63,2.10,4.90,56.52
345,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.85
347,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.54
349,0.00,0.00,0.00,0.00,0.00,1.57,0.00,0.52,0.67,1.57,28.39
351,3.96,0.00,1.98,3.96,0.00,3.57,0.47,1.35,1.60,3.57,25.48
353,4.94,6.45,5.69,6.45,0.00,5.57,2.47,2.68,2.74,5.57,26.45
355,5.65,11.55,8.60,11.55,0.00,7.57,4.47,4.01,3.88,7.57,28.76
357,11.40,11.45,11.43,11.45,1.96,9.57,6.47,6.00,5.87,9.57,31.58
359,11.22,11.45,11.33,11.45,3.96,11.57,8.47,8.00,7.87,11.57,30.75
361,11.22,11.45,11.33,11.45,5.96,13.57,10.47,10.00,9.87,13.57,25.69
363,11.22,11.45,11.33,11.45,7.96,15.57,12.47,12.00,11.87,15.57,17.47
365,11.22,16.01,13.62,16.01,9.96,17.57,14.47,14.00,13.87,17.57,11.68
367,8.64,24.34,16.49,24.34,11.96,19.57,16.47,16.00,15.87,19.57,8.35
369,0.00,24.16,12.08,24.16,13.96,1.85,18.47,11.42,9.41,18.47,8.41
371,0.00,24.16,12.08,24.16,4.94,3.85,20.47,9.75,6.69,20.47,4.87
373,0.00,24.16,12.08,24.16,0.00,5.85,22.47,9.44,5.72,22.47,9.78
375,0.00,24.16,12.08,24.16,0.00,4.40,24.47,9.62,5.38,24.47,23.70
377,0.00,24.16,12.08,24.16,0.00,0.00,26.47,8.82,3.78,26.47,29.47
379,0.00,24.16,12.08,24.16,0.00,0.00,28.47,9.49,4.07,28.47,31.05
