time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase,reward
1,0.00,0.00,0.00,0.00,44.74,0.00,0,
3,0.00,0.00,0.00,0.00,53.50,0.00,4,
5,0.00,0.00,0.00,0.00,57.99,0.00,4,
7,0.00,0.00,0.00,0.00,58.64,0.00,4,
9,0.00,0.00,0.00,0.00,59.55,0.00,4,4.00
11,0.00,0.00,0.00,0.00,56.08,0.00,4,
13,0.00,0.00,0.00,0.00,51.00,0.00,2,
15,0.00,0.00,0.03,0.33,44.53,0.00,2,
17,0.45,1.79,0.26,2.33,38.15,1.00,2,
19,2.62,10.48,0.39,4.33,34.61,1.00,2,1.54
21,4.20,16.81,0.61,6.33,31.29,0.00,2,
23,7.54,24.70,1.21,8.33,30.29,1.00,1,
25,7.41,24.46,1.90,10.33,30.32,0.00,1,
27,8.57,24.46,2.82,12.33,30.07,1.00,1,
29,9.62,22.89,3.73,13.23,29.65,1.00,1,1.88
31,3.88,10.78,4.81,13.12,28.66,2.00,1,
33,4.14,10.78,5.44,12.84,25.51,2.00,2,
35,5.88,12.74,5.16,14.84,27.61,0.00,2,
37,10.35,24.11,6.16,16.84,27.09,2.00,2,
39,10.30,25.08,5.77,18.84,25.17,2.00,2,2.66
41,5.36,10.92,5.25,20.84,25.32,1.00,2,
43,8.70,13.54,6.22,22.84,23.34,2.00,1,
45,11.89,22.51,6.62,24.84,25.03,0.00,1,
47,11.14,23.69,7.64,26.84,26.99,2.00,1,
49,9.92,17.55,6.71,28.84,29.35,0.00,1,1.90
51,7.30,17.47,7.71,30.84,31.97,1.00,1,
53,7.30,17.47,7.68,32.84,31.27,2.00,4,
55,7.30,17.47,7.61,34.84,34.69,0.00,4,
57,7.01,18.98,8.44,36.84,35.69,2.00,4,
59,5.53,17.47,5.43,20.89,37.23,2.00,4,2.80
61,5.53,17.47,4.67,22.89,32.88,2.00,4,
63,6.11,19.75,4.52,24.89,27.29,1.00,2,
65,9.34,30.03,5.00,26.89,25.66,0.00,2,
67,7.71,30.64,5.80,28.89,25.50,2.00,2,
69,10.06,30.47,3.22,22.27,25.77,1.00,2,3.25
71,3.71,11.88,3.21,24.27,27.23,2.00,2,
73,2.97,11.88,2.17,10.60,30.01,2.00,2,
75,3.90,15.61,2.29,12.60,33.34,1.00,2,
77,5.93,23.71,1.96,14.60,35.41,2.00,2,
79,6.02,24.07,1.80,16.60,37.43,0.00,2,2.72
81,7.33,29.31,2.13,18.60,35.56,0.00,2,
83,7.57,30.29,2.46,20.60,32.88,0.00,1,
85,8.54,34.17,2.80,22.60,32.64,1.00,1,
87,9.23,36.93,2.98,19.94,27.10,1.00,1,
89,9.97,37.61,3.48,21.94,24.73,1.00,1,2.01
91,11.68,43.25,3.78,17.29,26.35,2.00,1,
93,13.91,42.55,3.87,18.95,30.34,1.00,2,
95,8.19,11.53,4.58,15.48,30.55,1.00,2,
97,7.79,11.53,4.75,17.48,30.62,1.00,2,
99,2.94,11.78,5.10,19.48,29.21,2.00,2,2.40
101,5.75,23.01,4.48,21.48,30.47,2.00,2,
103,6.19,24.74,4.87,23.48,31.28,0.00,1,
105,7.92,26.84,5.71,25.48,34.13,0.00,1,
107,8.08,31.18,6.70,27.48,36.49,2.00,1,
109,9.61,31.11,6.59,23.59,38.40,2.00,1,2.70
111,7.25,18.07,5.08,22.96,35.96,1.00,1,
113,7.24,18.06,5.26,24.96,29.38,2.00,2,
115,7.86,18.06,5.60,26.96,24.37,2.00,2,
117,7.86,18.06,5.28,28.96,21.93,0.00,2,
119,11.18,21.93,6.54,30.96,21.25,2.00,2,2.08
121,13.09,29.59,6.67,32.96,24.99,2.00,2,
123,13.05,29.41,7.50,34.96,26.34,1.00,1,
125,13.05,29.41,8.52,36.96,27.26,1.00,1,
127,14.47,29.41,9.60,38.96,28.40,1.00,1,
129,16.10,30.23,9.04,40.96,29.51,2.00,1,2.15
131,14.96,25.83,8.34,42.96,26.47,2.00,1,
133,10.53,18.06,9.11,44.96,23.76,1.00,3,
135,13.06,18.06,9.37,46.96,26.88,0.00,3,
137,14.79,26.04,10.70,48.96,26.08,2.00,3,
139,15.31,35.01,11.32,50.30,24.58,2.00,3,1.98
141,15.49,34.46,10.72,32.87,23.03,2.00,3,
143,10.69,21.13,8.95,28.12,22.92,1.00,2,
145,13.31,23.00,9.96,30.12,23.39,1.00,2,
147,14.08,22.99,11.16,32.12,22.12,2.00,2,
149,12.28,22.99,9.25,34.12,26.07,2.00,2,2.12
151,13.53,25.54,8.17,36.12,26.94,1.00,2,
153,15.62,29.76,9.39,38.12,26.27,0.00,1,
155,15.59,29.70,10.86,40.12,28.54,0.00,1,
157,14.69,29.70,12.65,42.12,25.85,2.00,1,
159,12.89,29.69,12.37,44.12,25.44,2.00,1,1.72
161,9.69,14.52,13.31,46.12,22.77,2.00,1,
163,10.17,18.29,14.24,48.12,23.69,1.00,1,
165,10.60,18.82,13.89,50.12,26.24,2.00,1,
167,14.63,34.97,14.20,52.12,27.19,1.00,1,
169,15.01,36.46,15.71,54.12,26.31,1.00,1,1.88
171,15.00,36.45,17.15,56.12,27.92,2.00,1,
173,16.68,43.16,18.30,58.12,24.49,1.00,2,
175,17.21,42.92,19.17,60.12,19.71,2.00,2,
177,21.17,46.61,18.01,62.12,18.24,0.00,2,
179,22.05,49.23,19.68,64.12,15.73,2.00,2,1.59
181,25.47,49.21,19.37,66.12,16.19,2.00,2,
183,26.31,48.85,19.64,68.12,17.06,2.00,4,
185,25.98,40.72,20.86,70.12,21.83,2.00,4,
187,29.68,47.24,21.70,72.12,23.18,2.00,4,
189,29.03,47.16,18.96,46.98,23.40,3.00,4,1.80
191,30.49,47.16,15.21,42.98,22.53,2.00,4,
193,34.84,54.16,15.19,44.98,21.94,1.00,2,
195,38.53,58.37,16.72,46.98,20.78,0.00,2,
197,36.78,48.38,18.33,48.98,17.70,3.00,2,
199,35.00,52.39,17.26,50.98,14.14,2.00,2,1.95
201,34.78,55.53,17.15,52.98,13.86,2.00,2,
203,38.22,61.45,16.47,54.98,11.89,2.00,1,
