time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,44.30,3
3,0.00,0.00,0.00,0.00,0.00,49.20,3
5,0.00,0.00,0.00,0.00,0.00,56.43,5
7,0.00,0.00,0.00,0.00,0.00,56.85,5
9,0.00,0.00,0.00,0.00,0.00,57.36,5
11,0.00,0.00,0.00,0.00,0.00,56.50,5
13,0.00,0.00,0.00,0.00,0.00,54.95,2
15,0.00,0.00,0.00,0.00,0.00,50.68,2
17,0.00,0.00,0.07,0.12,0.73,52.24,2
19,0.00,0.00,0.18,0.11,2.15,51.23,2
21,0.00,0.00,0.29,0.53,1.78,44.40,7
23,0.13,0.52,0.31,0.57,3.78,36.16,7
25,2.28,9.14,0.48,0.87,5.78,34.60,7
27,1.88,7.51,0.45,0.76,3.89,36.84,7
29,0.00,0.00,0.69,1.25,5.89,36.61,5
31,0.82,2.75,0.99,1.62,4.44,37.12,5
33,3.32,10.00,1.11,1.65,6.42,48.65,5
35,3.68,9.14,0.78,0.84,5.54,53.31,5
37,1.39,5.57,1.11,1.24,7.54,50.23,2
39,1.39,5.57,0.80,0.48,9.54,45.44,2
41,1.39,5.57,1.28,1.07,11.54,42.52,2
43,1.84,5.57,1.94,1.87,13.54,39.68,2
45,1.39,5.57,2.02,2.05,15.54,33.61,1
47,3.02,6.52,2.39,2.31,17.54,32.52,1
49,5.58,16.76,2.84,2.72,19.54,34.26,1
51,5.59,16.77,3.08,2.75,21.54,35.68,1
53,3.40,5.57,3.90,3.69,23.54,39.39,1
55,3.03,5.57,4.07,4.39,25.54,42.41,8
57,2.46,5.57,4.28,4.17,27.54,39.88,8
59,2.46,5.57,4.76,4.86,29.54,39.05,8
61,3.44,9.48,5.43,5.68,31.54,40.71,8
63,3.19,8.48,5.08,4.60,33.54,40.17,4
65,2.35,5.12,3.45,4.03,15.44,37.38,4
67,4.88,10.90,3.58,4.37,17.44,36.01,4
69,5.49,11.09,4.23,5.23,19.44,38.45,4
71,5.49,11.08,4.71,5.54,21.44,38.71,2
73,5.49,11.08,4.93,5.41,23.44,37.87,2
75,5.76,11.08,5.49,6.15,25.44,35.31,2
77,9.72,20.02,6.05,6.55,27.44,31.22,2
79,11.67,24.11,4.70,3.53,27.51,30.61,2
81,12.05,23.68,5.71,4.74,29.51,32.34,4
83,5.64,11.47,4.98,4.86,31.51,27.67,4
85,6.09,11.47,6.17,6.29,33.51,27.20,4
87,6.60,11.08,5.79,4.98,35.51,29.71,4
89,8.45,15.69,5.59,4.02,37.51,32.32,3
91,10.39,17.32,4.40,2.64,39.51,33.68,3
93,10.38,17.31,4.90,2.94,41.51,35.63,3
95,9.83,17.29,5.53,3.32,43.51,35.79,3
97,5.95,17.20,4.94,2.96,31.56,35.60,4
99,6.17,18.28,3.08,2.03,13.61,32.97,4
101,7.76,18.28,2.88,2.11,15.61,35.33,4
103,8.07,18.28,3.88,2.91,17.61,35.06,4
105,8.86,18.28,3.18,2.54,19.61,33.90,7
107,8.82,18.28,3.29,2.17,21.61,30.53,7
109,11.76,18.56,3.76,2.26,23.61,30.50,7
111,16.95,37.97,4.86,3.31,25.61,28.34,7
113,16.70,36.99,5.62,4.23,27.61,24.84,7
115,14.10,25.14,6.37,5.24,29.61,26.67,7
117,9.20,18.54,6.19,5.40,31.61,28.03,7
119,11.44,27.48,7.25,6.70,33.61,28.69,7
121,12.23,30.66,7.90,7.05,35.61,26.95,5
123,13.59,31.00,8.12,6.77,37.61,26.66,5
125,15.74,39.90,8.54,6.74,39.61,27.42,5
127,16.97,44.80,8.93,6.63,41.61,24.32,5
129,19.35,54.33,9.25,7.02,43.61,22.13,5
131,21.61,63.37,7.92,6.42,45.61,26.09,5
133,24.21,70.95,8.74,6.70,47.61,28.65,5
135,26.85,76.97,9.50,7.43,49.61,28.24,5
137,28.04,76.78,10.40,7.65,51.61,27.82,1
139,23.92,53.48,10.90,8.35,53.61,24.80,1
141,13.93,27.27,12.21,9.31,55.61,21.04,1
143,15.74,32.98,13.94,11.02,57.61,17.87,1
145,19.27,39.02,15.26,12.53,59.61,14.63,1
147,23.70,47.99,16.02,12.49,61.61,12.95,1
149,18.74,52.65,15.93,12.26,63.61,14.11,8
151,21.72,56.93,16.39,13.33,65.61,16.77,8
153,23.72,56.83,17.71,14.51,67.61,19.90,8
155,25.71,56.83,19.20,16.00,69.61,22.20,8
157,25.72,56.83,19.83,16.22,71.11,24.54,8
159,25.72,56.83,18.30,16.05,64.45,24.94,8
161,27.81,65.16,16.13,15.55,40.94,21.92,6
163,30.30,70.07,17.26,17.03,42.94,19.81,6
165,33.33,69.85,18.12,17.30,44.94,19.32,6
167,23.06,47.97,19.95,19.20,46.94,19.09,6
169,23.61,50.11,17.72,18.17,35.85,19.11,2
171,27.09,56.30,16.66,15.58,37.85,18.79,2
173,31.27,58.46,15.17,13.67,39.85,18.46,2
175,36.54,67.64,14.96,14.34,41.85,19.94,2
177,38.57,69.91,16.45,15.83,43.85,21.46,3
179,25.88,43.52,15.17,15.71,45.85,22.16,3
181,23.26,46.82,16.25,16.65,47.85,23.20,3
183,16.41,28.91,16.20,15.56,49.85,22.52,3
185,16.01,29.25,14.75,14.91,37.31,25.08,3
187,20.28,29.25,13.78,14.86,26.22,25.26,3
189,24.54,33.46,13.12,14.59,28.22,25.57,1
191,24.93,35.36,12.26,14.30,30.22,22.65,1
193,27.33,39.81,13.86,15.80,32.22,20.08,1
195,30.02,45.38,14.26,15.11,34.22,19.15,1
197,32.79,49.41,15.96,16.94,36.22,17.31,1
199,38.80,55.57,17.51,18.60,38.22,16.66,1
201,44.43,68.38,18.50,18.78,40.22,16.36,1
203,43.09,78.79,17.55,18.67,42.22,16.59,1
205,47.64,85.93,18.11,18.28,44.22,16.64,2
207,33.19,87.24,18.90,18.12,46.22,14.77,2
209,32.53,89.51,19.72,19.25,48.22,15.85,2
211,36.92,100.64,20.79,19.79,50.22,17.15,2
213,39.73,105.30,20.73,20.55,52.22,17.05,2
215,38.09,105.23,20.44,20.85,54.22,15.31,2
217,44.51,108.19,21.74,21.77,56.22,14.68,6
219,50.62,115.26,22.31,21.40,58.22,13.42,6
221,54.55,128.31,22.74,20.78,60.22,13.73,6
223,59.26,130.32,23.53,20.81,62.22,15.94,6
225,60.83,130.30,24.90,21.99,64.22,16.23,3
227,61.63,130.30,24.63,21.34,66.22,15.05,3
229,64.51,130.30,24.26,21.92,68.22,17.30,3
231,67.07,130.30,25.52,22.58,70.22,18.48,3
233,67.29,129.65,23.56,21.72,72.22,15.54,1
235,36.57,84.46,21.76,21.24,74.22,14.72,1
237,34.06,67.79,22.93,21.94,76.22,15.07,1
239,35.53,57.94,24.69,23.71,78.22,16.12,1
241,43.77,84.17,25.99,24.94,80.22,18.23,1
243,45.00,84.67,25.43,23.03,82.22,18.82,1
245,37.05,87.03,24.16,22.53,84.22,15.74,1
247,41.32,94.32,25.00,23.33,86.22,14.09,1
249,43.84,97.07,26.36,24.37,88.22,11.71,1
251,48.09,104.67,27.17,24.43,90.22,12.37,6
