time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed,outflow
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.16,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.89,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.85,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.78,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.01,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.05,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.91,0.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.24,0.00
19,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.44,0.80,1.33,42.55,0.00
21,0.00,5.32,2.66,5.32,0.00,0.00,3.33,1.11,2.00,3.33,32.75,0.00
23,0.00,5.05,2.52,5.05,0.00,0.00,5.33,1.78,3.20,5.33,23.53,0.00
25,2.55,5.05,3.80,5.05,0.00,1.98,7.33,3.10,4.79,7.33,15.09,0.00
27,4.68,8.18,6.43,8.18,0.00,3.98,9.33,4.43,6.39,9.33,17.41,0.00
29,4.66,11.51,8.09,11.51,0.00,5.98,11.33,5.77,7.99,11.33,15.30,0.00
31,4.66,11.48,8.07,11.48,0.00,7.98,13.33,7.10,9.59,13.33,14.08,0.00
33,9.25,11.48,10.36,11.48,1.19,9.98,15.33,8.83,11.43,15.33,19.93,0.00
35,10.87,11.48,11.17,11.48,3.19,11.98,17.33,10.83,13.43,17.33,18.06,0.00
37,10.87,11.48,11.17,11.48,5.19,13.98,19.33,12.83,15.43,19.33,14.30,0.00
39,10.87,11.48,11.17,11.48,7.19,15.98,21.33,14.83,17.43,21.33,11.29,0.00
41,12.43,11.48,11.95,12.43,9.19,17.98,23.33,16.83,19.43,23.33,16.17,0.00
43,16.60,11.48,14.04,16.60,11.19,19.98,25.33,18.83,21.43,25.33,14.38,0.00
45,16.52,11.48,14.00,16.52,13.19,21.98,27.33,20.83,23.43,27.33,17.98,0.00
47,16.52,11.48,14.00,16.52,15.19,23.98,29.33,22.83,25.43,29.33,19.84,0.00
49,16.46,17.94,17.20,17.94,17.19,25.98,31.33,24.83,27.43,31.33,25.95,1.00
51,4.65,18.76,11.71,18.76,19.19,12.24,33.33,21.59,26.28,33.33,27.89,1.00
53,0.00,18.76,9.38,18.76,0.00,14.24,35.33,16.52,24.04,35.33,22.45,1.00
55,0.00,20.17,10.09,20.17,0.00,0.00,37.33,12.44,22.40,37.33,18.79,0.00
57,0.00,25.92,12.96,25.92,0.00,0.00,39.33,13.11,23.60,39.33,19.70,0.00
59,0.00,31.68,15.84,31.68,0.00,0.00,41.33,13.78,24.80,41.33,18.90,1.00
