time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,5.0
21.0,0.2
23.0,9.5
25.0,11.4
27.0,13.3
29.0,18.3
31.0,11.6
33.0,11.6
35.0,11.6
37.0,13.8
39.0,16.0
41.0,17.9
43.0,24.0
45.0,23.8
47.0,22.3
49.0,17.4
51.0,17.4
53.0,19.5
55.0,23.7
57.0,24.3
59.0,29.9
61.0,30.0
63.0,29.9
65.0,29.9
67.0,31.9
69.0,34.1
71.0,41.0
73.0,42.5
75.0,51.5
77.0,58.0
79.0,60.8
81.0,66.1
83.0,67.5
85.0,70.6
87.0,83.5
89.0,85.0
91.0,85.0
93.0,85.0
95.0,83.6
97.0,50.2
99.0,50.2
101.0,50.9
103.0,57.1
105.0,59.7
107.0,63.1
109.0,68.7
111.0,74.1
113.0,80.5
115.0,89.2
117.0,99.0
119.0,99.1
121.0,100.2
123.0,111.0
125.0,115.2
127.0,119.0
129.0,118.8
131.0,70.5
133.0,70.5
135.0,70.4
137.0,70.4
139.0,75.0
141.0,75.6
143.0,40.7
145.0,47.9
147.0,52.8
149.0,66.2
151.0,78.6
153.0,91.0
155.0,100.6
157.0,104.3
159.0,107.5
161.0,110.3
163.0,110.2
165.0,109.9
167.0,107.7
169.0,96.1
171.0,50.3
173.0,59.2
175.0,67.6
177.0,74.4
179.0,74.8
181.0,74.8
183.0,74.8
185.0,84.1
187.0,93.2
189.0,98.3
191.0,100.5
193.0,100.4
195.0,77.6
197.0,72.3
199.0,75.4
201.0,79.8
203.0,86.1
205.0,97.1
207.0,108.7
209.0,120.2
211.0,132.4
213.0,144.2
215.0,155.3
217.0,163.5
219.0,163.4
221.0,163.3
223.0,162.7
225.0,160.6
227.0,164.5
229.0,168.7
231.0,174.9
233.0,181.1
235.0,187.5
237.0,187.3
239.0,187.1
241.0,179.8
243.0,138.8
245.0,148.0
247.0,158.0
249.0,170.4
251.0,181.4
253.0,190.2
255.0,197.1
257.0,203.6
259.0,201.9
261.0,201.7
263.0,201.7
265.0,201.7
267.0,201.5
269.0,123.2
271.0,111.4
273.0,122.0
275.0,128.9
277.0,136.1
279.0,144.5
281.0,160.5
283.0,171.7
285.0,180.1
287.0,180.0
289.0,180.0
291.0,180.0
293.0,180.0
295.0,180.0
297.0,179.8
299.0,150.4
301.0,100.6
303.0,107.0
305.0,114.4
307.0,121.9
309.0,129.3
311.0,145.5
313.0,149.2
315.0,149.2
317.0,149.2
319.0,149.2
321.0,149.2
323.0,149.2
325.0,149.2
327.0,156.7
329.0,162.4
331.0,162.3
333.0,162.0
335.0,169.1
337.0,179.0
339.0,184.5
341.0,186.7
343.0,189.1
345.0,81.2
347.0,93.7
349.0,94.5
351.0,100.1
353.0,106.5
355.0,106.3
357.0,106.3
359.0,106.3
361.0,106.3
363.0,106.1
365.0,79.0
367.0,88.9
369.0,95.7
371.0,101.7
373.0,101.6
375.0,106.4
377.0,113.3
379.0,116.4
381.0,129.0
383.0,132.2
385.0,132.2
387.0,132.2
389.0,132.2
391.0,132.2
393.0,132.2
395.0,132.2
397.0,132.2
399.0,132.2
401.0,132.2
403.0,132.2
405.0,132.2
407.0,132.5
409.0,138.4
411.0,145.3
413.0,145.0
415.0,145.0
417.0,153.5
419.0,163.4
421.0,170.5
423.0,170.4
425.0,113.8
427.0,62.2
429.0,70.7
431.0,80.3
433.0,86.2
435.0,92.6
437.0,106.0
439.0,114.0
441.0,113.7
443.0,113.7
445.0,113.4
447.0,74.4
449.0,78.8
451.0,80.8
453.0,91.5
455.0,91.1
457.0,91.1
459.0,68.7
461.0,78.9
463.0,81.2
465.0,81.2
467.0,90.6
469.0,109.2
471.0,116.0
473.0,128.0
475.0,141.9
477.0,144.2
479.0,144.2
481.0,144.2
483.0,143.9
485.0,143.0
487.0,134.1
489.0,137.6
491.0,142.1
493.0,141.7
495.0,146.6
497.0,146.5
499.0,146.5
501.0,155.7
503.0,167.2
505.0,178.9
507.0,188.5
509.0,195.8
511.0,197.5
513.0,197.5
515.0,197.5
517.0,197.5
519.0,197.5
521.0,197.5
523.0,197.5
525.0,197.4
527.0,195.8
529.0,50.7
531.0,61.0
533.0,61.6
535.0,67.6
537.0,74.4
539.0,74.0
541.0,62.3
543.0,79.2
545.0,91.2
547.0,103.7
549.0,117.2
551.0,122.9
553.0,132.2
555.0,132.0
557.0,132.0
559.0,135.0
561.0,147.5
563.0,161.1
565.0,172.7
567.0,174.0
569.0,173.9
571.0,172.7
573.0,169.0
575.0,165.8
577.0,164.7
579.0,164.4
581.0,163.9
583.0,165.6
585.0,174.6
587.0,181.5
589.0,181.4
591.0,181.4
593.0,181.4
595.0,181.4
597.0,181.4
599.0,181.4
601.0,181.4
603.0,181.4
605.0,181.4
607.0,181.4
609.0,181.3
611.0,180.8
613.0,172.1
615.0,127.5
617.0,127.3
619.0,127.3
621.0,130.0
623.0,143.5
625.0,154.4
627.0,168.6
629.0,179.5
631.0,180.2
633.0,180.2
635.0,180.2
637.0,181.8
639.0,186.2
641.0,185.2
643.0,139.1
645.0,115.5
647.0,115.1
649.0,93.9
651.0,102.1
653.0,108.0
655.0,114.6
657.0,116.8
659.0,123.6
