time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,44.74,0
3,0.00,0.00,0.00,0.00,0.00,53.48,8
5,0.00,0.00,0.00,0.00,0.00,59.36,8
7,0.00,0.00,0.00,0.00,0.00,58.28,8
9,0.00,0.00,0.00,0.00,0.00,57.84,8
11,0.00,0.00,0.00,0.00,0.00,56.39,8
13,0.00,0.00,0.00,0.00,0.00,50.88,1
15,0.00,0.00,0.06,0.09,0.67,48.42,1
17,0.00,0.00,0.22,0.37,2.67,47.96,1
19,0.00,0.00,0.26,0.38,2.40,43.53,1
21,0.95,3.80,0.50,0.54,2.39,39.78,1
23,1.62,4.75,0.75,0.67,4.39,35.14,2
25,2.14,4.67,1.31,1.13,6.39,38.37,2
27,2.58,5.19,1.54,1.40,8.39,35.17,2
29,4.03,10.94,1.69,1.70,6.27,32.41,2
31,5.07,10.92,2.28,2.50,8.27,31.73,2
33,6.64,10.92,2.31,2.31,10.27,28.89,4
35,7.71,10.92,2.74,2.74,12.27,35.27,4
37,5.18,10.92,3.40,3.40,14.27,31.21,4
39,6.07,17.74,2.08,3.44,14.74,26.20,4
41,9.52,23.89,2.61,4.19,16.74,21.36,4
43,11.73,23.69,3.27,5.17,18.74,22.85,1
45,13.06,23.69,3.94,6.15,20.74,24.54,1
47,12.56,23.68,4.61,7.13,22.74,26.94,1
49,8.66,24.26,3.84,5.74,15.00,29.94,1
51,6.36,25.43,3.41,4.90,14.76,30.67,1
53,7.66,30.66,2.19,2.77,13.97,31.28,2
55,9.45,37.82,1.33,1.22,15.97,32.76,2
57,9.43,37.71,1.75,1.72,17.97,29.96,2
59,9.76,37.71,1.94,2.11,16.84,32.50,2
61,7.34,24.11,2.35,2.63,15.80,32.33,2
63,2.06,5.27,2.30,2.25,17.01,31.80,1
65,4.33,12.09,2.47,2.43,14.76,33.32,1
67,6.11,11.43,2.79,2.49,16.76,34.43,1
69,5.71,17.59,3.62,3.39,18.76,36.55,1
71,5.68,17.47,4.06,3.50,20.76,38.26,1
73,5.68,17.47,4.58,3.66,22.76,37.56,1
75,5.68,17.47,5.05,3.74,24.76,35.50,1
77,5.68,17.47,5.48,3.72,26.76,29.66,1
79,5.68,17.47,6.52,4.62,28.76,28.26,1
81,5.83,17.47,7.20,4.86,30.76,26.03,1
83,8.18,17.47,8.35,5.76,32.76,30.41,8
85,8.56,17.47,9.20,6.17,34.76,33.03,8
87,9.33,15.37,10.20,6.82,36.76,34.92,8
89,5.64,11.53,7.27,4.31,30.52,34.33,8
91,5.64,11.53,7.20,4.75,32.52,31.64,8
93,5.64,11.53,5.87,3.53,34.52,28.17,5
95,6.74,11.53,6.71,4.39,36.52,29.37,5
97,5.86,11.04,7.40,5.10,38.52,28.06,5
99,6.85,17.30,7.87,5.32,40.52,23.48,5
101,7.48,19.13,6.86,4.57,42.52,16.18,5
103,9.99,24.57,7.34,5.17,44.52,12.70,6
105,11.87,25.09,8.17,6.08,46.52,12.36,6
107,14.07,32.92,9.01,6.99,48.52,13.32,6
109,19.32,40.36,6.23,5.93,24.05,18.12,6
111,21.44,48.97,3.93,5.34,18.71,17.94,6
113,15.35,48.84,4.23,5.81,20.71,20.78,1
115,12.36,49.44,3.76,5.62,22.71,19.35,1
117,15.89,58.66,4.26,6.33,24.71,16.72,1
119,18.24,61.85,4.49,6.53,22.84,16.33,1
121,19.58,67.40,4.80,6.73,20.57,23.32,1
