time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0.00,0,
3,0.00,0.00,0.00,0.00,60.99,0.00,4,
5,0.00,0.00,0.00,0.00,59.54,0.00,4,
7,0.00,0.00,0.00,0.00,57.40,0.00,4,
9,0.00,0.00,0.00,0.00,57.61,0.00,4,4.00
11,0.00,0.00,0.00,0.00,58.04,0.00,4,
13,0.00,0.00,0.00,0.00,54.56,0.00,10,
15,0.00,0.00,0.00,0.00,52.39,0.00,10,
17,0.00,0.00,0.05,0.55,50.99,2.00,10,
19,0.00,0.00,0.05,0.60,44.68,0.00,10,2.37
21,0.00,0.00,0.32,2.60,38.54,1.00,10,
23,0.84,3.37,0.38,4.60,34.17,0.00,11,
25,2.70,10.81,0.55,6.60,33.87,1.00,11,
27,4.12,16.48,0.69,6.55,37.85,0.00,11,
29,1.74,6.94,1.08,8.55,44.59,2.00,11,3.48
31,1.42,5.68,1.00,5.71,47.33,2.00,11,
33,1.42,5.68,0.75,7.71,47.44,1.00,7,
35,1.40,5.59,0.81,9.71,51.72,0.00,7,
37,0.12,0.48,0.98,11.71,44.61,1.00,7,
39,0.00,0.00,0.18,1.29,38.61,0.00,7,2.86
41,0.49,1.98,0.68,3.29,36.04,1.00,7,
43,1.41,5.63,0.95,5.29,38.11,1.00,7,
45,1.39,5.57,1.35,7.29,42.02,1.00,7,
47,2.13,5.57,1.75,9.29,43.96,0.00,7,
49,2.62,5.57,2.37,11.29,44.17,0.00,7,2.16
51,2.62,5.57,3.05,13.29,40.65,1.00,7,
53,2.62,5.57,3.70,15.29,34.33,0.00,8,
55,2.68,5.47,4.61,17.29,31.41,1.00,8,
57,2.86,11.18,4.11,18.65,26.64,2.00,8,
59,4.35,13.08,3.46,15.00,25.76,2.00,8,2.23
61,6.00,17.50,3.98,17.00,25.24,1.00,8,
63,7.14,17.42,4.45,19.00,28.17,0.00,3,
65,7.11,17.42,5.19,21.00,34.36,2.00,3,
67,6.48,17.42,5.36,23.00,35.32,1.00,3,
69,4.35,17.42,5.03,25.00,35.71,2.00,3,2.62
71,4.35,17.42,4.42,27.00,30.40,2.00,3,
73,5.32,19.30,4.56,29.00,29.85,0.00,9,
75,6.10,24.39,5.22,31.00,29.84,2.00,9,
77,7.55,27.00,4.03,23.61,32.87,0.00,9,
