time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,0
3,0.00,0.00,0.00,0.00,51.98,13
5,0.00,0.00,0.00,0.00,59.90,13
7,0.00,0.00,0.00,0.00,63.89,13
9,0.00,0.00,0.00,0.00,65.15,13
11,0.00,0.00,0.00,0.00,58.01,13
13,0.00,0.00,0.00,0.00,51.17,7
15,0.00,0.00,0.00,0.00,51.09,7
17,0.00,0.00,0.11,1.33,49.98,7
19,0.07,0.29,0.13,1.40,50.87,7
21,1.28,5.11,0.47,3.40,50.43,7
23,1.22,4.90,0.45,5.40,48.26,5
25,1.04,4.14,0.62,7.40,47.96,5
27,0.00,0.00,0.32,2.00,41.27,5
29,0.70,2.80,0.64,4.00,41.48,5
31,1.28,5.13,0.89,6.00,42.83,5
33,2.51,10.04,0.72,6.15,41.20,4
35,3.48,11.34,0.99,8.15,46.47,4
37,2.89,11.33,1.65,10.15,44.64,4
39,2.83,11.33,1.04,12.15,41.26,4
41,2.83,11.33,1.40,14.15,37.42,4
43,2.83,11.33,1.49,16.15,29.18,7
45,4.00,12.36,2.39,18.15,36.08,7
47,5.38,17.49,2.62,20.15,36.31,7
49,6.56,22.23,2.01,17.87,38.47,7
51,2.08,4.31,1.32,8.26,39.18,7
53,1.01,4.02,1.56,10.26,34.93,3
55,1.01,4.02,1.07,12.26,38.76,3
57,2.71,10.84,1.48,14.26,41.39,3
59,2.65,10.59,1.40,16.26,42.66,3
61,2.65,10.59,1.66,18.26,45.79,3
63,2.65,10.59,2.08,20.26,47.54,6
65,2.65,10.59,1.86,22.26,47.95,6
67,2.16,8.64,1.07,12.04,48.99,6
69,0.20,0.82,1.23,14.04,46.75,6
71,1.20,4.81,0.31,2.74,44.01,6
73,2.34,9.38,0.47,4.74,40.58,5
75,2.57,10.27,0.90,6.74,40.81,5
77,3.41,7.80,1.68,8.74,39.93,5
79,2.50,5.19,1.69,7.96,38.93,5
81,2.49,5.14,1.69,6.91,35.83,5
83,2.49,5.14,2.07,8.91,36.18,5
85,2.49,5.14,2.64,10.91,35.51,5
87,2.49,5.14,3.03,12.91,33.36,5
89,3.44,5.14,3.48,14.91,35.90,5
91,5.05,10.26,4.14,16.91,34.18,5
93,5.03,10.16,4.91,18.91,31.66,4
95,6.33,13.32,5.50,20.91,36.43,4
97,6.74,16.00,6.06,22.91,38.01,4
99,2.76,6.08,3.50,17.92,40.95,4
101,2.59,5.40,2.91,19.92,41.32,4
103,2.86,6.45,2.73,21.92,41.59,3
105,4.18,11.75,3.37,23.92,40.18,3
107,3.62,9.50,4.04,25.92,40.52,3
109,4.07,11.29,3.43,27.92,40.21,3
111,5.37,16.49,3.56,29.92,39.02,3
113,6.13,16.36,3.78,31.92,33.57,1
115,7.29,16.36,4.28,33.92,31.99,1
117,8.54,16.33,5.45,35.92,31.48,1
119,8.09,11.50,5.83,37.92,32.27,1
121,8.33,11.50,6.24,39.92,31.86,1
123,8.33,11.50,6.03,41.92,31.25,4
125,8.57,12.23,6.79,43.92,32.28,4
127,9.72,16.82,7.71,45.92,31.08,4
129,7.87,11.50,8.08,47.92,27.99,4
131,11.63,18.36,7.85,49.92,25.22,4
133,14.15,23.97,8.32,51.92,22.07,3
135,18.16,32.68,8.67,53.92,23.80,3
137,18.47,37.31,9.40,55.92,26.49,3
139,14.26,42.40,7.95,57.92,27.63,3
141,15.01,43.36,7.66,59.92,32.76,3
143,16.15,49.27,7.94,61.92,37.44,2
145,11.63,31.20,7.98,63.92,39.96,2
147,4.49,9.43,8.81,65.92,37.65,2
149,3.53,8.33,6.95,38.81,35.68,2
151,5.68,11.61,4.02,14.75,29.86,2
153,7.87,19.25,3.89,16.75,22.33,4
155,10.47,23.47,5.13,18.75,21.15,4
157,17.44,35.16,5.30,15.91,21.62,4
159,21.00,37.46,6.05,15.44,22.45,4
161,15.58,26.78,5.79,17.44,23.10,4
163,9.45,24.27,5.61,19.44,23.06,3
165,11.49,24.27,6.78,21.44,26.20,3
167,12.54,24.27,5.85,17.25,27.33,3
169,9.66,21.55,6.09,16.96,28.21,3
171,7.17,9.57,6.80,18.96,27.68,3
173,9.35,16.81,6.98,20.96,26.32,1
175,10.20,16.83,6.67,22.96,29.99,1
177,12.20,16.77,7.04,24.96,30.39,1
179,6.61,10.97,5.96,21.59,34.39,1
181,7.64,17.13,6.25,23.59,36.51,1
183,8.32,16.87,5.01,25.59,34.98,3
185,8.31,16.87,5.47,27.59,33.36,3
187,9.68,16.87,6.27,29.59,31.34,3
189,7.26,16.87,6.41,31.59,31.37,3
191,7.87,16.87,5.70,33.59,25.60,3
193,10.46,16.87,6.40,35.59,22.77,7
195,12.17,19.05,7.58,37.59,21.45,7
197,14.82,24.25,8.79,39.59,21.85,7
199,15.63,24.22,9.75,41.59,22.97,7
201,10.87,26.59,9.89,43.59,21.00,7
203,12.53,33.22,10.79,45.59,21.32,6
205,13.67,36.99,11.25,47.59,23.27,6
207,13.59,36.92,11.21,49.59,24.26,6
209,14.22,36.92,9.16,46.04,25.72,6
211,16.86,43.35,9.48,48.04,26.16,6
213,14.08,32.29,7.44,50.04,26.18,2
215,7.19,18.77,8.02,52.04,26.98,2
217,7.40,18.76,8.79,54.04,24.95,2
219,6.15,11.11,7.38,35.88,24.34,2
