time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,2.6
21.0,0.525
23.0,0.6125
25.0,0.6125
27.0,0.6375
29.0,1.4
31.0,2.55
33.0,4.4
35.0,5.65
37.0,5.65
39.0,5.65
41.0,6.175000000000001
43.0,7.050000000000001
45.0,5.725
47.0,3.825
49.0,3.725
51.0,3.725
53.0,3.725
55.0,3.725
57.0,4.0375
59.0,4.4875
61.0,2.675
63.0,3.8625000000000003
65.0,5.25
67.0,5.2125
69.0,3.0875
71.0,2.65
73.0,2.6
75.0,4.8
77.0,9.1
79.0,9.925
81.0,8.6
83.0,6.0375
85.0,6.937500000000001
87.0,7.3375
89.0,8.75
91.0,8.8125
93.0,4.3375
95.0,4.175
97.0,6.225
99.0,6.6499999999999995
101.0,5.975
103.0,3.825
105.0,6.475
107.0,6.425
109.0,9.225
111.0,11.125
113.0,13.275
115.0,13.5375
117.0,4.137499999999999
119.0,7.0125
121.0,8.6375
123.0,9.8125
125.0,10.7375
127.0,13.3625
129.0,13.375
131.0,13.899999999999999
133.0,14.6375
135.0,15.712499999999999
137.0,16.2125
139.0,16.8375
141.0,11.9625
143.0,14.712499999999999
145.0,15.862499999999999
147.0,16.9875
149.0,16.9625
151.0,16.9625
153.0,11.7375
155.0,11.375
157.0,17.5
159.0,21.787499999999998
161.0,21.737499999999997
163.0,21.862499999999997
165.0,22.5125
167.0,22.487499999999997
169.0,22.3875
171.0,10.362499999999999
173.0,9.8375
175.0,11.299999999999999
177.0,11.475000000000001
179.0,11.275
181.0,8.175
183.0,7.4125
185.0,7.375
187.0,7.35
189.0,9.225
191.0,6.125
193.0,6.3375
195.0,7.762499999999999
197.0,8.5125
199.0,10.5875
201.0,11.925
203.0,13.424999999999999
205.0,14.775
207.0,13.6
209.0,14.7
211.0,8.225
213.0,8.225
215.0,11.275
217.0,11.675
219.0,6.574999999999999
221.0,5.6
223.0,7.475
225.0,9.8625
227.0,10.1
229.0,10.524999999999999
231.0,10.475
233.0,10.45
235.0,12.375
237.0,12.149999999999999
239.0,11.149999999999999
241.0,9.475
243.0,7.012499999999999
245.0,8.75
247.0,8.7
249.0,9.424999999999999
251.0,10.3375
253.0,11.575000000000001
255.0,12.187499999999998
257.0,12.362499999999999
259.0,10.4375
261.0,7.025
263.0,7.0
265.0,8.05
267.0,4.65
269.0,1.625
271.0,3.775
273.0,4.25
275.0,4.25
277.0,4.25
279.0,4.25
281.0,4.3125
283.0,3.1750000000000003
285.0,5.625
287.0,6.2125
289.0,6.6625
291.0,11.4375
293.0,15.012500000000001
295.0,14.787500000000001
297.0,11.975000000000001
299.0,11.975000000000001
301.0,12.375
303.0,12.75
305.0,13.5
307.0,13.55
309.0,13.5
311.0,12.9875
313.0,11.025
315.0,9.15
317.0,9.15
319.0,10.1
321.0,13.7
323.0,16.675
325.0,17.525000000000002
327.0,14.0
329.0,16.3125
331.0,16.35
333.0,16.325000000000003
335.0,13.425
337.0,9.7
339.0,9.7
341.0,9.7
343.0,9.675
345.0,7.075
347.0,7.8125
349.0,5.65
351.0,5.65
353.0,5.65
355.0,5.65
357.0,5.95
359.0,3.425
361.0,4.075
363.0,5.05
365.0,6.35
367.0,7.45
369.0,6.15
371.0,4.25
373.0,6.85
375.0,7.125
377.0,7.55
379.0,8.4875
381.0,8.662500000000001
383.0,10.0125
385.0,11.662500000000001
387.0,11.0875
389.0,11.662499999999998
391.0,12.900000000000002
393.0,17.8625
395.0,16.075
397.0,9.775
399.0,9.775
401.0,11.025
403.0,13.075
405.0,13.075
407.0,8.25
409.0,7.65
411.0,7.65
413.0,7.65
415.0,7.65
417.0,8.575000000000001
419.0,8.9
421.0,7.737500000000001
423.0,7.737500000000001
425.0,8.1125
427.0,7.3875
429.0,7.3375
431.0,9.6875
433.0,11.325000000000001
435.0,11.85
437.0,12.587499999999999
439.0,12.674999999999999
441.0,9.075
443.0,12.75
445.0,16.775
447.0,16.6
449.0,6.175
451.0,6.825
453.0,10.025
455.0,11.9125
457.0,12.95
459.0,13.6375
461.0,16.525
463.0,16.525
465.0,13.5125
467.0,13.5125
469.0,14.149999999999999
471.0,14.075
473.0,12.6875
475.0,12.6875
477.0,12.6875
479.0,13.4375
481.0,16.362499999999997
483.0,15.2625
485.0,16.0875
487.0,12.200000000000001
489.0,11.95
491.0,12.875
493.0,12.850000000000001
495.0,13.012500000000001
497.0,14.524999999999999
499.0,13.5625
501.0,18.287499999999998
