time,delay
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.9
19.0,0.9
21.0,1.1
23.0,1.1
25.0,5.6
27.0,5.6
29.0,5.6
31.0,10.5
33.0,10.5
35.0,11.2
37.0,11.7
39.0,11.7
41.0,11.7
43.0,11.7
45.0,11.7
47.0,11.7
49.0,11.7
51.0,11.7
53.0,11.7
55.0,12.9
57.0,12.9
59.0,11.7
61.0,11.7
63.0,11.7
65.0,11.7
67.0,13.3
69.0,13.3
71.0,12.2
73.0,12.2
75.0,12.2
77.0,30.5
79.0,19.0
81.0,19.0
83.0,19.0
85.0,19.0
87.0,19.0
89.0,19.0
91.0,19.0
93.0,19.0
95.0,19.0
97.0,19.0
99.0,19.0
101.0,19.0
103.0,19.0
105.0,19.0
107.0,19.0
109.0,19.0
111.0,19.0
113.0,19.0
115.0,19.0
117.0,19.0
119.0,19.0
121.0,19.0
123.0,19.0
125.0,45.7
127.0,38.4
129.0,33.1
131.0,33.1
133.0,33.1
135.0,33.1
137.0,33.1
139.0,33.1
141.0,33.1
143.0,33.1
145.0,42.4
147.0,35.2
149.0,33.1
151.0,33.1
153.0,33.1
155.0,33.1
157.0,64.9
159.0,64.9
161.0,64.9
163.0,64.9
165.0,64.9
167.0,64.9
169.0,64.9
171.0,64.9
173.0,64.9
175.0,64.9
177.0,64.9
179.0,64.9
181.0,64.9
183.0,64.9
185.0,64.9
187.0,64.9
189.0,64.9
191.0,64.9
193.0,64.9
195.0,64.9
197.0,64.9
199.0,64.9
201.0,64.9
203.0,64.9
205.0,64.9
207.0,64.9
209.0,64.9
211.0,64.9
213.0,64.9
215.0,64.9
217.0,64.9
219.0,64.9
221.0,64.9
223.0,64.9
225.0,64.9
227.0,64.9
229.0,64.9
231.0,64.9
233.0,103.6
235.0,92.5
237.0,37.2
239.0,37.2
241.0,25.7
243.0,38.6
245.0,38.6
247.0,30.5
249.0,32.3
251.0,32.3
253.0,30.8
255.0,30.8
257.0,28.2
259.0,28.2
261.0,28.2
263.0,28.2
265.0,28.2
267.0,25.7
269.0,25.7
271.0,25.7
273.0,25.7
275.0,25.9
277.0,53.4
279.0,54.4
281.0,53.4
283.0,53.4
285.0,53.4
287.0,53.4
289.0,53.4
291.0,53.4
293.0,83.6
295.0,69.6
297.0,53.4
299.0,53.4
301.0,53.4
303.0,53.4
305.0,53.4
307.0,53.4
309.0,53.4
311.0,53.4
313.0,53.4
315.0,53.4
317.0,119.4
319.0,84.9
321.0,72.2
323.0,72.2
325.0,72.2
327.0,72.2
329.0,72.2
331.0,72.2
333.0,72.2
335.0,72.2
337.0,72.2
339.0,72.2
341.0,72.2
343.0,72.2
345.0,55.3
347.0,55.3
349.0,55.3
351.0,55.3
353.0,55.3
355.0,55.3
357.0,55.3
359.0,55.3
361.0,55.3
363.0,55.3
365.0,55.3
367.0,55.3
369.0,55.3
371.0,55.3
373.0,70.6
375.0,70.6
377.0,70.6
379.0,70.6
381.0,81.1
383.0,70.6
385.0,70.6
387.0,70.6
389.0,70.6
391.0,70.6
393.0,70.6
395.0,70.6
397.0,70.6
399.0,70.6
401.0,70.6
403.0,70.6
405.0,70.6
407.0,70.6
409.0,70.6
411.0,70.6
413.0,70.6
415.0,70.6
417.0,70.6
419.0,70.6
421.0,70.6
423.0,70.6
425.0,70.6
427.0,70.6
429.0,84.6
431.0,81.4
433.0,81.4
435.0,81.4
437.0,87.7
439.0,88.5
441.0,87.7
443.0,87.7
445.0,81.4
447.0,81.4
449.0,81.4
451.0,81.4
453.0,90.0
455.0,86.6
457.0,85.0
459.0,85.0
461.0,85.0
463.0,85.0
465.0,85.0
467.0,85.0
469.0,85.0
471.0,85.0
473.0,85.0
475.0,85.0
477.0,85.0
479.0,85.0
481.0,108.3
483.0,87.3
485.0,87.3
487.0,87.3
489.0,87.3
491.0,87.3
493.0,87.3
495.0,87.3
497.0,87.3
499.0,87.3
501.0,87.3
