time,queue_main,queue_right,delay_direction_1,delay_direction_2,delay_direction_3,speed
1,0.00,0.00,0.00,0.00,0.00,44.30
3,0.00,0.00,0.00,0.00,0.00,57.40
5,0.00,0.00,0.00,0.00,0.00,63.20
7,0.00,0.00,0.00,0.00,0.00,61.80
9,0.00,0.00,0.00,0.00,0.00,59.27
11,0.00,0.00,0.00,0.00,0.00,56.20
13,0.00,0.00,0.00,0.00,0.00,51.85
15,0.00,0.00,0.00,0.00,0.00,44.92
17,0.00,0.00,0.00,0.00,0.98,49.47
19,0.00,0.00,0.00,0.00,2.98,42.12
21,0.00,0.00,0.00,0.99,0.00,37.10
23,5.11,0.00,0.87,2.99,0.00,31.20
25,8.92,0.00,2.87,4.99,0.00,31.07
27,8.33,0.00,4.87,6.99,0.00,39.40
29,0.00,0.00,6.87,0.00,0.00,44.04
31,0.00,0.00,5.86,0.00,0.00,45.60
33,0.00,0.00,2.97,0.00,0.00,48.33
35,0.00,0.00,0.00,1.28,0.00,45.18
37,2.46,0.00,0.00,3.28,0.00,43.93
39,5.70,0.00,0.00,5.28,0.00,39.93
41,5.57,0.00,0.00,7.28,0.00,39.73
43,0.24,0.00,1.83,9.28,0.00,39.20
45,0.00,0.00,3.83,3.01,0.00,42.88
47,0.00,0.00,0.00,5.01,0.00,41.17
49,3.32,0.00,0.79,2.86,0.00,35.66
51,8.12,0.00,2.79,4.86,0.00,30.24
53,16.91,0.00,4.79,6.86,0.43,24.46
55,18.20,1.76,6.79,8.86,2.43,22.25
57,18.19,5.30,8.79,10.86,4.43,15.47
59,22.14,5.22,10.79,12.86,6.43,15.87
61,28.81,5.22,12.79,14.86,8.43,12.57
63,34.96,5.22,14.79,16.86,10.43,9.72
65,37.00,4.90,16.79,18.86,12.43,15.86
67,39.94,0.00,18.79,20.86,14.43,26.02
69,43.86,0.00,20.79,19.94,0.00,32.11
71,43.81,0.00,14.35,21.94,0.00,34.59
73,30.31,0.27,16.35,10.83,1.06,36.98
75,0.00,4.88,16.08,12.83,3.06,37.76
77,0.00,4.73,8.66,14.83,5.06,34.97
79,8.20,4.73,10.66,16.83,7.06,30.46
81,19.09,4.73,12.66,18.83,9.06,27.95
83,30.17,4.73,14.66,20.83,11.06,22.54
85,31.88,4.73,16.66,5.87,13.06,20.71
87,17.25,16.81,11.15,7.87,15.06,19.61
89,0.00,26.21,0.00,9.87,17.06,16.51
91,0.00,32.12,0.31,10.93,19.06,12.53
93,0.00,31.95,2.31,3.28,21.06,10.77
95,0.00,31.95,4.31,0.00,23.06,13.14
97,1.24,31.95,6.31,0.00,25.06,15.48
99,0.00,31.95,0.00,0.84,27.06,22.80
101,1.21,31.95,0.00,2.84,18.68,27.65
103,11.54,20.44,0.00,4.84,18.47,32.66
105,11.38,0.00,0.00,6.84,17.76,28.50
107,11.38,0.00,0.00,8.84,17.57,22.00
109,11.38,0.00,0.00,10.84,0.00,17.00
111,15.82,0.00,0.97,12.84,0.00,20.62
113,18.34,0.00,2.97,14.84,0.42,16.23
115,18.27,1.03,4.97,16.84,2.42,24.74
117,16.91,4.59,6.97,18.84,4.42,23.50
119,14.19,4.48,8.97,20.84,6.42,29.82
121,12.61,4.48,10.97,22.84,8.42,27.72
123,12.54,4.48,12.97,24.84,10.42,29.11
125,12.54,4.48,14.97,26.84,12.42,25.89
127,16.82,4.48,16.97,28.84,14.42,21.34
129,22.53,4.48,18.97,30.84,16.42,24.93
131,25.39,4.48,20.97,32.84,18.42,26.38
133,26.72,4.48,22.97,34.84,20.42,24.46
135,31.55,4.48,24.97,36.84,22.42,20.72
137,37.61,4.48,26.97,38.84,24.42,15.84
139,43.82,4.48,28.97,40.84,26.42,13.47
141,46.89,4.48,30.97,42.84,28.42,9.12
143,59.55,4.48,32.97,44.84,30.42,10.33
145,68.93,4.48,34.97,18.72,32.42,10.38
147,76.61,4.48,22.17,20.72,34.42,14.53
149,78.79,4.48,10.46,22.72,36.42,16.31
151,82.73,4.48,12.46,18.87,38.42,17.65
153,83.05,4.48,14.46,17.43,40.42,19.17
155,89.55,4.48,16.46,11.82,42.42,17.85
157,93.90,4.48,16.47,13.82,44.42,18.47
159,89.57,4.48,15.27,15.82,46.42,19.75
161,0.60,4.48,15.97,17.82,48.42,15.14
163,8.46,4.48,17.97,19.82,50.42,13.73
165,16.63,4.48,19.97,21.82,52.42,13.53
167,28.80,4.48,21.97,23.82,54.42,16.50
169,31.38,4.48,23.97,25.82,56.42,13.80
171,34.57,5.87,25.97,27.82,58.42,16.49
173,37.35,10.89,27.97,29.82,60.42,17.66
175,37.33,10.79,29.97,31.82,62.42,14.05
177,37.33,10.79,31.97,33.82,64.42,17.35
179,43.11,8.30,33.97,35.82,66.42,19.41
181,48.65,0.00,35.97,35.14,20.65,21.16
183,50.05,0.00,27.21,37.14,0.00,23.02
185,50.01,0.00,29.21,32.98,0.40,21.69
187,48.00,0.00,31.21,34.98,2.40,18.07
189,34.98,2.09,33.21,36.98,4.40,20.33
191,22.21,5.51,35.21,38.98,6.40,19.90
193,29.88,5.46,37.21,40.98,8.40,19.42
195,43.90,5.46,39.21,42.98,10.40,18.40
197,43.62,5.37,41.21,44.98,12.40,17.90
199,43.98,0.23,43.21,46.98,14.40,16.24
201,50.80,0.00,45.21,11.28,6.59,18.82
203,60.54,0.00,39.51,13.28,5.29,21.75
205,62.52,0.00,26.49,15.28,2.09,20.71
207,67.75,0.00,26.03,17.28,4.09,20.13
209,68.94,0.00,21.43,19.28,6.09,22.02
211,6.77,0.00,23.43,21.28,8.09,22.66
213,6.26,0.00,13.37,23.28,10.09,17.68
215,16.97,0.00,15.37,25.28,12.09,13.13
217,21.91,1.57,17.37,27.28,14.09,14.00
219,27.13,4.79,19.37,29.28,16.09,11.58
221,36.46,4.74,21.37,31.28,18.09,7.81
223,44.52,4.74,23.37,33.28,20.09,10.10
225,50.84,4.74,25.37,35.28,22.09,8.32
227,51.94,4.74,27.37,37.28,24.09,10.65
229,51.93,4.74,29.37,39.28,26.09,12.05
231,51.93,4.74,31.37,41.28,28.09,10.12
233,51.93,4.74,33.37,43.28,30.09,11.60
235,59.26,4.74,35.37,45.28,32.09,10.08
237,64.80,4.74,37.37,35.15,34.09,9.31
239,72.20,4.74,24.23,37.15,36.09,8.93
241,78.53,4.74,26.23,34.00,38.09,9.23
243,78.41,4.74,28.23,31.58,40.09,13.37
245,83.99,4.74,30.23,8.34,42.09,19.82
247,85.26,4.74,30.21,10.34,44.09,22.06
249,8.39,4.74,27.07,12.34,46.09,18.20
251,1.75,9.09,29.07,14.34,48.09,21.95
253,10.29,11.06,31.07,16.34,50.09,25.34
255,20.41,11.05,33.07,18.34,52.09,21.81
257,24.71,11.05,35.07,20.34,54.09,17.12
259,24.67,16.61,19.17,22.34,56.09,13.67
261,24.33,18.14,21.17,24.34,58.09,8.59
263,29.54,18.14,23.17,26.34,60.09,9.74
265,32.67,18.14,25.17,28.34,62.09,8.20
267,34.97,19.33,27.17,30.34,64.09,6.83
269,33.38,25.47,29.17,32.34,66.09,8.29
271,31.82,25.33,31.17,34.34,68.09,12.02
273,31.69,23.73,33.17,9.69,41.04,20.36
275,18.68,0.00,32.60,11.69,27.88,24.52
