time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,0.00,51.60,1
5,0.00,0.00,0.00,0.00,0.00,54.75,1
7,0.00,0.00,0.00,0.00,0.00,56.90,1
9,0.00,0.00,0.00,0.00,0.00,58.54,2
11,0.00,0.00,0.00,0.00,0.00,58.58,2
13,0.00,0.00,0.00,0.00,0.00,56.21,2
15,0.00,0.00,0.00,0.00,0.00,53.23,2
17,0.00,0.00,0.06,0.08,0.70,50.83,2
19,0.00,0.00,0.09,0.13,0.60,44.25,1
21,0.00,0.00,0.31,0.62,2.60,38.63,1
23,0.77,3.06,0.38,0.89,4.60,35.04,1
25,2.71,10.82,0.55,1.27,6.60,34.42,1
27,4.12,16.49,0.69,1.38,6.57,37.75,3
29,1.73,6.94,1.09,2.04,8.57,36.73,3
31,2.17,5.68,1.35,2.37,7.88,35.32,3
33,2.56,5.59,2.02,3.49,9.88,48.95,3
35,1.29,4.67,2.33,4.15,11.88,45.34,4
37,1.17,4.67,1.86,4.30,13.88,36.27,4
39,1.30,4.67,2.30,5.21,15.88,26.77,4
41,3.48,9.68,2.93,6.25,17.88,29.86,4
43,2.00,7.99,1.33,1.92,5.94,39.16,1
45,0.00,0.00,1.62,2.71,7.94,43.16,1
47,0.23,0.91,1.45,1.90,9.29,43.50,1
49,3.79,11.94,2.08,2.72,11.29,44.76,1
51,3.05,7.91,2.74,3.58,13.29,45.51,1
53,1.07,4.28,2.63,3.83,15.29,41.07,1
55,1.07,4.28,2.55,2.84,17.29,35.05,3
57,1.21,4.28,2.91,3.54,19.29,24.96,3
59,4.89,5.79,3.75,4.56,21.29,21.74,3
61,8.47,11.96,4.67,5.79,23.29,24.94,3
63,11.62,17.40,3.00,3.74,15.48,29.44,1
65,7.19,17.23,2.93,4.30,10.55,30.61,1
67,8.11,17.23,3.02,4.84,12.55,27.54,1
69,8.32,17.23,3.86,6.11,14.55,29.50,1
71,9.22,21.02,3.84,5.99,14.26,28.87,1
73,10.02,23.18,3.48,4.67,16.26,30.92,1
75,5.04,16.91,3.75,4.75,18.26,32.05,3
77,7.24,16.91,3.90,4.27,20.26,29.87,3
79,8.96,16.91,4.47,4.67,22.26,28.22,3
81,10.23,16.91,5.52,6.11,24.26,31.90,3
83,10.25,16.91,6.68,7.64,26.26,34.89,4
85,5.46,16.91,7.32,8.76,28.26,36.66,4
87,5.33,16.91,6.53,8.20,30.26,34.64,4
89,6.76,16.91,7.41,9.36,32.26,35.81,4
91,8.00,16.91,6.23,5.36,34.26,30.78,4
93,8.42,16.91,6.87,6.25,36.26,31.49,4
95,8.63,16.91,7.86,6.98,38.26,30.46,4
97,10.06,16.91,8.57,7.04,40.26,28.65,1
99,13.46,20.39,9.55,7.43,42.26,27.89,1
101,17.67,37.35,10.81,8.84,44.26,25.84,1
103,17.41,36.30,12.19,9.87,46.26,24.62,1
105,18.42,36.94,13.55,11.30,48.26,25.93,1
107,21.53,42.99,14.60,12.12,50.26,25.95,1
109,16.35,23.21,14.61,12.55,52.26,24.79,1
111,15.71,23.16,15.75,13.24,54.26,21.46,1
113,16.02,23.16,17.37,14.77,56.26,20.51,1
115,17.61,23.16,18.27,14.96,58.26,22.42,1
117,17.57,23.16,18.68,13.79,60.26,24.11,1
119,17.57,23.16,20.26,15.09,62.26,23.87,1
121,18.40,26.50,21.82,16.34,64.26,22.29,1
123,19.75,30.15,23.12,17.54,66.26,18.96,1
125,20.63,30.12,24.79,18.78,68.26,15.66,2
127,22.26,36.71,25.83,19.15,70.26,15.17,2
129,24.10,44.07,27.05,20.47,72.26,13.81,2
131,25.48,49.64,28.72,22.21,74.26,11.08,2
133,23.93,49.58,21.25,20.04,69.56,12.48,4
135,25.65,49.58,22.19,20.99,65.66,15.34,4
137,26.96,49.54,18.52,16.02,48.52,18.80,4
139,26.62,48.90,19.14,15.82,50.52,20.87,4
141,20.74,36.27,18.91,15.61,52.52,22.70,3
143,16.18,28.67,14.33,14.29,54.52,21.94,3
145,18.18,28.67,13.44,11.57,56.52,23.43,3
147,21.03,37.47,14.41,12.55,58.52,23.03,3
149,19.70,37.21,14.41,12.78,54.27,25.56,3
151,19.92,36.75,8.80,7.41,43.03,25.90,3
153,13.64,35.30,7.62,6.65,33.20,25.80,3
155,14.76,30.89,7.17,6.59,29.60,26.40,3
157,15.98,26.07,6.85,6.73,31.60,27.86,1
159,16.07,24.74,7.86,7.86,33.60,27.06,1
161,16.06,24.71,8.15,8.42,35.60,27.48,1
163,15.62,24.71,8.36,7.71,37.60,29.93,1
165,14.90,29.38,9.22,8.72,39.60,30.26,1
167,11.11,24.71,8.81,7.11,41.60,29.07,1
169,7.55,24.71,8.86,5.85,43.60,26.24,1
171,7.55,24.71,8.41,5.65,45.60,25.80,1
173,9.57,24.71,9.22,5.98,47.60,24.96,2
175,13.20,24.71,9.67,5.39,49.60,23.10,2
177,14.38,24.71,11.05,6.89,51.60,23.32,2
179,18.00,29.51,12.27,8.11,53.60,22.33,2
181,18.40,29.34,13.60,9.63,53.52,22.64,2
183,14.15,19.11,14.84,10.97,54.21,18.97,2
185,13.58,22.13,14.90,11.63,42.44,18.96,1
187,17.56,26.56,12.95,11.87,41.59,18.74,1
189,20.70,35.76,13.81,12.69,43.59,17.96,1
191,22.66,38.83,14.25,11.88,45.59,18.41,1
193,25.10,47.72,15.63,13.23,47.59,19.77,1
195,23.22,56.58,15.76,13.35,49.59,19.17,1
197,23.10,61.32,16.33,12.85,51.59,16.70,1
199,28.02,72.32,16.65,12.05,53.59,17.40,1
201,28.45,72.56,16.77,12.32,55.59,19.09,4
203,15.11,23.99,17.68,12.53,57.59,22.24,4
205,14.83,23.99,18.36,13.22,59.59,24.20,4
207,14.71,23.99,19.67,14.37,61.59,27.58,4
209,13.74,20.11,16.84,12.76,46.12,31.20,3
211,8.71,11.93,13.11,11.88,39.86,30.16,3
213,10.82,18.72,14.23,13.18,41.86,31.27,3
215,12.15,24.34,13.09,11.45,43.86,31.74,3
217,9.11,24.26,11.50,10.68,37.23,28.23,2
219,12.56,28.22,9.35,9.53,21.42,24.79,2
221,15.39,37.43,9.96,10.52,23.42,23.16,2
223,17.77,45.89,11.06,11.87,25.42,19.33,2
225,16.36,50.06,9.54,12.19,27.42,16.40,1
227,17.27,57.04,9.76,12.30,29.42,15.58,1
229,21.71,66.90,10.28,12.71,31.42,17.75,1
231,22.18,69.64,10.30,11.13,33.42,17.24,1
233,23.94,74.51,10.01,11.29,35.42,16.54,1
235,25.12,74.42,10.95,11.55,37.42,17.81,1
237,26.72,74.42,11.67,11.25,39.42,20.49,1
239,29.82,85.74,12.42,10.82,41.42,21.80,1
241,30.98,90.39,13.61,11.83,43.42,25.97,1
243,32.06,94.73,14.79,12.35,45.42,26.48,1
245,32.78,97.61,15.39,12.38,47.42,26.20,1
247,33.25,99.47,16.18,12.42,49.42,26.33,1
249,8.38,17.40,15.92,12.34,51.42,25.46,1
251,9.01,19.92,17.11,13.15,53.42,26.02,1
253,10.05,24.06,18.19,13.57,55.42,26.06,1
255,12.45,24.00,19.18,13.76,57.42,22.71,1
257,13.45,24.73,20.64,14.97,59.42,23.23,2
259,13.69,25.71,20.44,14.23,61.42,23.00,2
261,16.39,30.86,21.36,14.80,63.42,25.49,2
263,17.93,30.73,22.86,16.42,65.42,25.29,2
265,21.34,35.49,18.18,15.40,67.42,22.68,4
267,24.18,37.50,18.97,16.15,69.42,20.42,4
269,19.79,34.60,19.02,15.97,71.42,21.64,4
271,15.76,32.54,19.82,16.01,73.42,22.89,4
273,18.05,37.53,15.71,14.78,46.00,23.15,2
275,24.43,37.13,10.55,11.66,48.00,20.52,2
277,26.12,42.61,11.38,12.15,50.00,18.80,2
279,23.17,42.21,11.81,12.64,52.00,16.57,2
281,25.60,42.21,13.04,13.93,54.00,17.03,3
283,23.58,42.07,13.35,14.19,56.00,18.00,3
285,16.70,35.59,12.26,14.06,58.00,19.99,3
287,16.36,40.39,12.73,14.66,60.00,24.17,3
289,18.21,47.79,9.62,12.70,24.62,27.60,1
291,18.19,47.72,8.00,11.39,26.62,31.16,1
293,18.29,48.11,8.84,12.69,28.62,32.91,1
295,20.45,54.97,10.02,14.28,30.62,32.62,1
297,19.58,54.81,10.03,14.92,28.99,31.24,1
299,14.70,55.90,9.12,14.40,27.80,29.08,1
301,20.46,61.44,8.12,10.34,26.92,24.74,1
303,20.58,54.83,6.53,8.18,19.24,23.11,1
305,10.78,14.44,7.85,9.43,21.24,22.90,1
307,15.72,30.28,9.09,10.52,22.50,20.87,1
309,18.95,43.18,9.56,9.79,24.50,18.75,2
311,21.21,44.29,10.89,11.08,26.50,20.64,2
313,23.56,48.49,11.29,10.20,28.50,20.89,2
315,23.53,48.43,11.43,9.95,30.50,20.09,2
317,24.04,48.43,12.58,10.65,32.50,22.15,2
319,23.76,48.43,11.97,10.92,34.50,20.51,2
321,19.97,43.24,12.53,11.44,36.50,17.86,3
323,16.48,24.09,13.55,12.56,38.50,15.68,3
325,16.67,24.09,12.56,12.66,40.50,14.81,3
327,19.13,29.26,13.70,13.93,42.50,19.54,3
329,20.15,33.46,11.69,12.78,34.16,20.25,4
331,21.01,36.90,9.31,10.68,36.16,22.98,4
333,20.97,36.86,10.65,12.19,38.16,23.15,4
335,20.40,39.69,10.75,12.76,40.16,23.51,4
337,18.00,42.62,10.75,13.65,40.81,26.56,1
339,19.61,44.37,10.23,13.82,30.29,30.18,1
341,24.48,54.43,7.29,11.13,25.23,33.48,1
343,25.21,54.88,7.80,11.57,27.23,34.06,1
345,12.83,29.59,6.31,10.78,26.54,31.70,1
347,14.27,34.42,6.87,10.76,27.07,27.66,1
349,9.32,16.33,7.54,11.01,28.29,25.24,1
351,8.56,21.16,7.29,8.83,24.10,23.15,1
353,10.95,25.98,7.06,6.59,26.10,22.50,1
355,11.47,28.16,7.73,6.88,28.10,24.32,1
357,11.47,28.15,8.89,8.11,30.10,24.60,1
359,11.47,28.15,9.66,8.73,32.10,27.24,1
361,12.33,28.15,10.79,9.23,34.10,25.94,1
363,14.21,28.15,11.77,9.40,36.10,23.38,1
365,14.75,28.15,12.81,10.40,38.10,21.18,3
367,17.48,28.15,13.85,10.68,40.10,18.09,3
369,17.68,28.15,14.84,11.59,42.10,17.84,3
371,21.21,31.80,14.63,10.86,44.10,18.76,3
373,27.27,38.79,13.58,10.50,40.10,22.73,4
375,23.92,38.37,14.61,11.69,40.62,21.66,4
377,22.16,35.92,14.57,11.43,32.61,24.48,4
379,15.98,23.84,15.39,11.40,34.61,27.30,4
381,12.90,23.84,16.11,12.74,31.75,25.64,2
383,13.28,23.84,13.01,11.90,33.75,24.88,2
385,15.12,29.87,12.52,10.61,35.75,23.76,2
387,20.66,40.97,13.85,11.95,37.75,23.60,2
389,20.05,49.04,9.15,10.71,38.52,23.22,1
391,13.26,48.57,6.99,7.94,26.95,18.44,1
393,13.98,48.56,8.17,9.50,28.95,19.26,1
395,18.64,48.56,9.70,11.30,30.95,21.21,1
397,19.30,48.56,9.61,11.81,32.95,20.87,1
399,20.52,48.56,10.10,11.20,34.95,19.40,1
401,16.13,31.22,11.30,12.23,36.95,21.86,1
403,13.02,18.79,12.03,12.72,38.95,22.96,1
405,13.02,18.79,13.44,14.13,40.95,26.28,1
407,13.02,18.79,14.88,15.46,42.95,26.30,1
