time,value
5,0.02
9,0.01
13,0.05
17,0.05
21,0.07
25,0.05
29,0.06
33,0.06
37,0.08
41,0.05
45,0.06
49,0.06
53,0.07
57,0.04
61,0.08
65,0.05
69,0.09
73,0.17
77,0.17
81,0.15
85,0.11
89,0.13
93,0.13
97,0.19
101,0.21
105,0.16
109,0.14
113,0.21
117,0.14
121,0.15
125,0.37
129,0.32
133,0.26
137,0.20
141,0.18
145,0.20
149,0.23
153,0.21
157,0.19
161,0.10
165,0.22
169,0.14
173,0.19
177,0.25
181,0.30
185,0.18
189,0.46
193,0.25
197,0.12
201,0.21
205,0.23
209,0.24
213,0.24
217,0.15
221,0.18
225,0.07
229,0.14
233,0.15
237,0.19
241,0.08
245,0.14
249,0.12
253,0.15
257,0.03
261,0.06
265,0.07
269,0.07
273,0.09
277,0.12
281,0.11
285,0.13
289,0.19
293,0.12
297,0.25
301,0.19
305,0.15
309,0.27
313,0.14
317,0.19
321,0.14
325,0.16
329,0.13
333,0.15
337,0.05
341,0.11
345,0.12
349,0.10
353,0.08
357,0.07
361,0.21
365,0.15
369,0.13
373,0.11
377,0.16
381,0.13
385,0.17
389,0.21
393,0.20
397,0.17
401,0.16
405,0.21
409,0.10
413,0.17
417,0.18
421,0.14
425,0.11
429,0.16
433,0.14
437,0.22
441,0.21
445,0.21
449,0.11
453,0.17
457,0.21
461,0.14
465,0.21
469,0.13
473,0.16
477,0.16
481,0.08
485,0.16
489,0.24
493,0.09
497,0.16
