time,queue_main,queue_right,queue_avg,queue_max,delay_direction_1,delay_direction_2,delay_direction_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.30
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.60
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.40
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.80
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.80
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.40
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.43
33,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.14,0.17,0.41,40.87
35,0.00,2.68,1.34,2.68,0.00,0.00,2.41,0.80,1.03,2.41,43.17
37,0.00,5.46,2.73,5.46,0.00,0.00,4.41,1.47,1.89,4.41,57.42
39,0.00,0.48,0.24,0.48,0.00,0.00,6.41,2.14,2.75,6.41,57.07
41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.92
43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.23
45,0.00,0.00,0.00,0.00,1.89,0.00,0.64,0.85,1.09,1.89,33.87
47,1.53,0.00,0.77,1.53,3.89,0.00,0.00,1.30,1.67,3.89,18.23
49,1.18,0.00,0.59,1.18,5.89,0.00,0.00,1.96,2.53,5.89,14.55
51,0.00,0.00,0.00,0.00,2.49,0.00,0.00,0.83,1.07,2.49,15.60
53,0.00,0.00,0.00,0.00,4.49,0.00,0.00,1.50,1.92,4.49,45.70
55,0.00,0.00,0.00,0.00,5.12,0.00,0.00,1.71,2.20,5.12,55.70
57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.20
59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.65
61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.77
63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.83
65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.80
67,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.07,0.08,0.20,40.70
69,0.00,2.01,1.01,2.01,0.00,0.00,2.20,0.73,0.94,2.20,37.98
71,0.00,5.26,2.63,5.26,0.00,0.00,4.20,1.40,1.80,4.20,28.05
