time,queue_avg,queue_max,delay_avg,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,44.30,1
3,0.00,0.00,0.00,0.00,54.43,4
5,0.00,0.00,0.00,0.00,62.80,4
7,0.00,0.00,0.00,0.00,62.02,4
9,0.00,0.00,0.00,0.00,60.80,4
11,0.00,0.00,0.00,0.00,58.00,4
13,0.00,0.00,0.00,0.00,54.10,4
15,0.00,0.00,0.01,0.06,50.76,3
17,0.33,1.32,0.28,2.06,47.19,3
19,1.50,4.76,0.50,4.06,41.73,3
21,2.18,4.58,1.09,6.06,42.88,3
23,2.61,5.31,1.85,8.06,38.34,3
25,4.05,8.94,1.06,4.99,33.40,1
27,6.46,13.30,2.00,6.99,33.88,1
29,8.70,17.90,3.00,8.99,33.57,1
31,8.81,17.78,4.02,10.99,31.79,1
33,6.18,15.47,3.24,12.82,31.11,1
35,5.81,17.94,3.56,14.82,32.67,1
37,7.06,17.92,4.42,16.82,31.84,1
39,7.17,18.57,4.66,18.82,30.68,1
41,9.69,21.88,5.01,20.82,31.54,2
43,11.41,24.79,5.95,22.82,29.30,2
45,12.45,24.76,6.73,24.82,27.75,2
47,12.64,24.76,7.89,26.82,23.87,2
49,11.10,24.76,7.25,23.13,23.01,2
51,14.72,24.76,6.75,25.13,21.11,2
53,18.93,24.76,7.58,27.13,19.00,2
55,19.51,24.76,8.37,29.13,17.47,2
57,19.78,24.76,9.41,31.13,15.52,4
59,22.70,30.42,10.78,33.13,16.30,4
61,24.11,36.16,11.80,35.13,16.33,4
63,25.69,41.86,13.22,37.13,18.87,4
65,24.64,43.24,14.16,37.17,22.08,4
67,22.44,47.24,14.53,33.02,24.96,1
69,18.56,50.08,15.55,35.02,24.96,1
71,21.89,50.06,15.74,37.02,23.46,1
73,22.86,50.06,17.28,39.02,21.83,1
75,22.41,50.06,18.94,41.02,20.26,1
77,24.65,55.97,17.33,43.02,22.16,1
79,27.76,62.73,18.58,45.02,21.63,1
81,30.50,71.41,18.69,47.02,20.53,1
83,33.25,82.38,18.51,49.02,21.34,1
85,35.29,90.55,19.72,51.02,21.00,1
87,38.81,100.80,20.72,53.02,18.97,1
89,41.62,109.28,20.08,55.02,20.53,3
91,41.71,109.68,20.79,57.02,20.29,3
93,44.34,108.98,22.37,59.02,19.47,3
95,33.92,62.26,20.26,61.02,19.00,3
97,23.10,39.44,18.88,55.90,19.17,3
99,25.75,44.01,18.63,49.97,18.44,1
101,23.63,34.76,19.77,48.79,16.91,1
103,20.36,31.26,16.99,40.85,13.82,1
105,24.94,31.26,18.75,42.85,12.64,1
107,28.57,31.28,18.61,44.85,11.85,1
109,30.35,37.03,20.06,46.85,10.84,1
111,31.75,36.66,19.89,48.85,10.66,1
113,25.64,36.42,20.03,50.85,9.16,3
115,25.64,36.42,20.84,52.85,9.84,3
117,28.17,36.42,19.47,54.85,10.66,3
119,30.47,43.52,20.51,56.85,14.69,3
121,29.11,43.28,21.67,58.85,17.47,3
123,29.09,43.28,20.52,60.85,21.23,3
125,25.22,37.93,20.21,62.85,19.82,4
127,21.60,37.93,21.48,64.85,18.00,4
129,23.89,37.93,23.11,66.85,18.29,4
131,25.70,37.93,24.78,68.85,20.49,4
133,26.68,45.40,25.04,63.97,18.68,4
135,25.16,45.14,25.04,65.97,15.59,1
137,27.01,45.67,26.25,67.97,13.92,1
139,32.77,58.32,25.36,69.97,11.68,1
141,34.94,61.48,26.90,71.97,10.88,1
143,38.24,62.06,28.45,73.97,13.16,1
145,42.02,68.93,23.62,75.97,13.76,1
147,45.40,76.61,22.52,77.97,14.34,1
149,46.52,78.79,21.01,79.97,14.22,2
151,48.78,82.73,21.23,81.97,12.83,2
153,50.16,83.05,22.21,83.97,11.29,2
155,52.03,89.53,22.76,85.97,9.84,2
157,53.71,93.90,23.06,79.94,11.47,2
159,54.64,95.47,21.85,63.05,12.02,2
161,53.99,92.87,20.68,62.44,13.08,2
163,47.89,84.92,21.21,64.44,12.32,2
165,40.29,86.04,21.60,66.44,12.85,1
167,45.02,96.73,22.86,68.44,13.75,1
169,49.35,104.16,24.21,70.44,13.96,1
171,49.24,104.02,22.66,72.44,14.57,1
173,50.55,103.63,23.99,74.44,17.06,1
175,36.23,55.56,25.24,76.44,16.20,1
177,33.88,56.58,26.50,78.44,17.56,1
179,35.45,62.91,27.82,80.44,18.75,2
181,37.71,68.05,28.25,82.44,17.57,2
183,29.80,47.66,28.79,84.44,14.77,2
185,27.86,53.60,30.24,86.44,12.35,2
187,32.78,57.69,31.69,88.44,12.38,2
189,37.41,57.61,32.12,90.44,12.81,3
191,42.95,68.23,31.66,92.44,10.47,3
193,45.12,69.81,32.59,94.44,8.87,3
195,50.87,77.24,34.11,96.44,12.48,3
197,52.09,77.07,31.85,98.44,13.86,3
199,53.05,84.43,31.01,100.44,14.74,1
201,43.03,84.19,31.21,102.44,13.16,1
203,47.30,84.19,32.51,104.44,13.58,1
205,50.98,84.19,34.27,106.44,13.28,1
207,51.63,84.19,36.04,108.44,11.35,1
209,57.67,83.85,33.76,110.44,10.86,4
211,52.83,76.71,34.69,112.44,11.91,4
213,51.36,84.75,34.84,114.44,11.66,4
215,53.20,89.47,36.34,116.44,10.89,4
217,54.17,89.40,34.86,101.39,11.49,4
219,54.61,89.40,34.16,88.10,13.43,4
221,52.03,95.16,31.52,76.89,14.06,4
223,53.38,93.55,32.91,78.89,13.18,1
225,51.88,87.80,32.38,80.89,10.53,1
227,37.21,82.79,33.48,82.89,8.01,1
229,39.75,82.79,35.12,84.89,6.42,1
231,43.14,84.29,36.76,86.89,6.35,1
233,48.63,89.74,35.76,88.89,8.94,1
235,52.74,89.63,35.39,90.89,10.82,1
237,54.57,89.63,35.19,92.89,12.40,1
239,56.08,89.63,35.68,94.89,14.17,1
241,51.25,89.63,34.62,96.89,15.50,2
243,42.30,89.63,35.01,98.89,15.11,2
245,35.32,93.42,34.01,100.89,14.71,2
247,37.42,95.60,35.50,102.89,12.33,2
249,41.16,105.81,36.75,104.89,10.53,2
251,44.68,113.23,37.37,106.89,11.26,2
253,46.49,113.02,36.47,108.89,10.21,4
255,46.99,115.12,37.95,110.89,9.48,4
257,49.14,119.47,38.84,112.89,9.47,4
259,52.25,119.40,38.40,114.89,11.38,4
261,54.19,119.40,39.46,116.89,13.22,4
263,48.41,119.40,39.70,118.89,15.58,3
265,48.64,119.40,40.38,120.89,14.51,3
267,49.34,119.39,41.42,122.89,13.62,3
269,49.87,118.04,43.24,124.89,13.78,3
271,30.93,43.83,44.51,126.89,12.05,3
273,32.43,49.92,44.49,117.22,11.42,2
275,36.61,60.01,41.95,117.93,11.56,2
277,38.00,65.49,40.63,103.41,9.61,2
279,40.42,78.84,42.63,105.41,11.59,2
281,36.39,84.95,43.90,107.41,14.35,2
283,36.37,84.90,44.26,109.41,14.52,2
285,37.67,84.67,42.36,111.41,13.69,2
287,37.46,63.14,43.26,113.41,14.36,2
289,25.21,50.15,44.34,115.41,13.88,1
291,26.13,49.79,45.78,117.41,12.53,1
293,27.06,53.58,46.47,119.41,10.38,1
295,28.67,60.02,46.10,121.41,7.99,1
297,29.30,62.54,44.95,123.41,9.76,1
299,32.27,70.05,42.93,125.41,12.95,3
301,29.47,75.37,40.72,127.41,13.71,3
303,30.49,79.44,35.33,129.41,13.82,3
305,30.47,79.34,36.99,131.41,13.05,3
307,30.46,79.34,36.14,133.41,15.30,3
309,29.25,79.34,34.40,124.88,15.22,3
311,29.89,79.34,34.44,125.05,15.42,3
313,30.24,79.34,24.73,93.13,15.36,1
