time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,1.3
19.0,4.8
21.0,4.7
23.0,4.7
25.0,5.3
27.0,5.3
29.0,5.3
31.0,12.0
33.0,12.2
35.0,18.0
37.0,17.9
39.0,18.6
41.0,21.9
43.0,24.8
45.0,24.8
47.0,27.9
49.0,33.2
51.0,42.1
53.0,42.2
55.0,42.2
57.0,45.1
59.0,50.8
61.0,56.6
63.0,61.0
65.0,61.3
67.0,68.0
69.0,67.8
71.0,73.6
73.0,73.6
75.0,77.4
77.0,82.5
79.0,92.7
81.0,104.0
83.0,112.7
85.0,119.8
87.0,131.9
89.0,133.2
91.0,133.0
93.0,132.2
95.0,138.1
97.0,137.4
99.0,135.7
101.0,134.9
103.0,137.9
105.0,138.6
107.0,147.4
109.0,147.5
111.0,147.5
113.0,151.8
115.0,156.8
117.0,156.6
119.0,134.4
121.0,31.2
123.0,31.2
125.0,36.1
127.0,42.7
129.0,47.8
131.0,55.4
133.0,60.8
135.0,67.8
137.0,74.8
139.0,77.9
141.0,90.9
143.0,101.6
145.0,107.8
147.0,109.8
149.0,114.1
151.0,114.0
153.0,119.2
155.0,124.6
157.0,126.9
159.0,130.1
161.0,132.9
163.0,132.2
165.0,130.7
167.0,129.8
169.0,128.2
171.0,127.1
173.0,128.1
175.0,134.3
177.0,139.9
179.0,149.7
181.0,153.5
183.0,156.6
185.0,162.3
187.0,166.1
189.0,165.8
191.0,90.8
193.0,99.8
195.0,101.1
197.0,106.6
199.0,108.2
201.0,108.2
203.0,108.2
205.0,107.9
207.0,98.1
209.0,97.7
211.0,96.3
213.0,94.7
215.0,99.5
217.0,111.3
219.0,115.9
221.0,121.2
223.0,121.2
225.0,121.2
227.0,124.9
229.0,127.5
231.0,131.3
233.0,134.0
235.0,142.2
237.0,147.7
239.0,147.6
241.0,148.8
243.0,154.9
245.0,154.7
247.0,154.7
249.0,153.8
251.0,151.8
253.0,150.3
255.0,155.3
257.0,155.5
259.0,165.1
261.0,169.1
263.0,169.0
265.0,169.0
267.0,168.1
269.0,79.0
271.0,79.0
273.0,79.0
275.0,79.0
277.0,87.2
279.0,91.8
281.0,91.7
283.0,91.7
285.0,91.7
287.0,82.6
289.0,50.2
291.0,64.0
293.0,74.3
295.0,79.2
297.0,79.1
299.0,79.1
301.0,74.9
303.0,43.4
305.0,46.6
307.0,48.9
309.0,48.9
311.0,50.3
313.0,56.4
315.0,65.1
317.0,67.7
319.0,67.2
321.0,65.7
323.0,63.9
325.0,62.5
327.0,68.1
329.0,67.9
331.0,73.9
333.0,86.2
335.0,97.3
337.0,98.9
339.0,42.6
341.0,42.6
343.0,42.6
345.0,42.6
347.0,42.6
349.0,42.6
351.0,42.6
353.0,42.6
355.0,42.6
357.0,44.9
359.0,48.7
361.0,48.7
363.0,48.7
365.0,48.7
367.0,48.7
369.0,48.7
371.0,48.7
373.0,48.7
375.0,48.7
377.0,48.5
379.0,43.1
381.0,43.1
383.0,45.1
385.0,49.1
387.0,49.1
389.0,49.1
391.0,57.5
393.0,67.6
395.0,68.8
397.0,76.5
399.0,85.3
401.0,91.7
403.0,95.0
405.0,94.9
407.0,34.0
409.0,35.7
411.0,35.7
413.0,35.7
415.0,35.7
417.0,35.7
419.0,35.7
421.0,35.7
423.0,35.7
425.0,40.9
427.0,41.3
429.0,41.3
431.0,41.3
433.0,45.1
435.0,47.8
437.0,47.7
439.0,47.7
441.0,47.6
443.0,18.7
445.0,18.0
447.0,18.0
449.0,20.2
451.0,31.3
453.0,38.7
455.0,44.7
457.0,45.1
459.0,45.8
461.0,51.6
463.0,56.9
465.0,58.0
467.0,61.3
469.0,69.5
471.0,72.2
473.0,76.5
475.0,87.5
477.0,93.0
479.0,96.3
481.0,104.7
483.0,115.2
485.0,115.3
487.0,118.3
489.0,128.3
491.0,128.3
493.0,128.3
495.0,128.1
497.0,100.2
499.0,34.1
501.0,49.6
