time,queue_avg,queue_max,delay_avg,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,44.00,1
5,0.00,0.00,0.00,0.00,52.67,1
7,0.00,0.00,0.00,0.00,58.80,1
9,0.00,0.00,0.00,0.00,59.75,1
11,0.00,0.00,0.00,0.00,59.19,1
13,0.00,0.00,0.00,0.00,57.66,1
15,0.00,0.00,0.00,0.00,56.97,1
17,0.00,0.00,0.10,0.50,56.96,1
19,0.00,0.00,0.14,0.67,56.85,1
21,0.00,0.00,0.51,1.92,55.79,1
23,0.00,0.00,0.33,1.43,49.31,3
25,0.00,0.00,0.45,2.56,42.56,3
27,0.67,1.52,0.45,2.56,35.19,3
29,3.38,5.31,0.46,2.56,25.96,3
31,5.10,9.30,0.46,2.56,26.47,3
33,8.39,17.16,0.46,2.56,26.50,3
35,9.95,21.41,0.46,2.56,25.00,3
37,13.11,23.87,0.46,2.56,26.49,3
39,13.37,24.55,0.46,2.56,27.45,3
41,16.37,30.16,0.46,2.56,25.10,3
43,16.44,29.98,0.46,2.56,22.05,2
45,18.04,31.28,0.46,2.56,21.15,2
47,21.08,38.34,2.73,21.16,19.84,2
49,21.23,42.11,3.24,21.16,20.07,2
51,22.42,46.87,2.88,21.16,17.32,2
53,25.52,53.60,2.88,21.16,16.85,2
55,27.93,62.91,2.78,21.16,13.01,2
57,30.18,71.94,2.83,21.16,11.48,2
59,31.31,76.44,2.83,21.16,11.30,2
61,32.55,81.39,0.65,2.56,7.35,2
63,32.52,81.30,0.60,2.56,6.54,4
65,33.80,86.72,3.18,41.31,8.59,4
67,34.61,87.78,4.49,41.31,14.39,4
69,34.54,87.78,4.40,39.81,19.98,4
71,34.54,87.78,4.40,39.81,17.87,4
73,34.54,87.78,4.40,39.81,14.90,4
75,35.86,88.13,4.40,39.81,11.39,4
77,38.74,98.48,4.40,39.81,9.20,4
79,45.26,108.87,4.40,39.81,9.45,1
81,49.11,111.65,4.40,39.81,10.29,1
83,51.69,111.62,25.38,57.25,10.47,1
85,53.81,111.62,29.41,57.25,10.87,1
87,56.31,120.38,28.44,55.78,11.53,1
89,58.88,130.66,26.21,53.17,11.33,1
91,61.14,131.06,25.83,53.17,12.65,1
93,63.26,130.42,25.15,49.60,15.62,1
95,64.11,128.14,24.54,49.60,17.62,1
97,64.75,124.75,23.31,49.60,18.28,1
99,64.24,119.65,18.23,41.40,19.57,1
101,19.99,24.90,16.90,40.35,20.55,1
103,16.53,24.39,15.97,36.85,20.81,3
105,16.53,24.39,13.70,36.85,22.00,3
107,18.46,24.39,20.96,57.66,22.83,3
109,21.91,24.39,20.29,53.11,21.81,3
111,18.35,24.39,20.00,49.51,20.22,3
113,22.16,30.34,18.80,49.51,17.81,3
115,26.98,38.35,18.80,49.51,18.15,3
117,31.66,46.43,18.80,49.51,16.96,3
119,34.96,54.92,17.57,49.51,15.25,3
121,37.71,63.65,17.29,49.51,12.32,2
123,39.23,64.09,17.26,49.51,13.74,2
125,42.57,64.09,28.23,52.54,12.14,2
127,45.95,72.74,26.30,49.51,13.79,2
129,45.17,78.40,27.18,49.51,12.41,2
