time,queue_main,queue_right,delay_direction_1,delay_direction_2,delay_direction_3,speed
1,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,60.00
9,0.00,0.00,0.00,0.00,0.00,43.30
11,0.00,0.00,0.00,0.00,0.00,53.70
13,0.00,0.00,0.00,0.00,0.00,58.30
15,0.00,0.00,0.00,0.00,0.00,59.08
17,0.00,0.00,0.00,0.00,0.00,59.50
19,0.00,0.00,0.00,0.00,0.00,60.90
21,0.00,0.00,0.00,0.00,0.00,57.82
23,0.00,0.00,0.00,0.46,0.00,49.02
25,0.00,0.00,0.00,0.46,0.00,43.23
27,0.62,0.00,0.00,0.46,1.98,44.12
29,5.56,0.00,0.00,0.46,0.33,41.54
31,5.37,0.00,0.00,0.46,1.20,44.36
33,5.37,0.00,0.00,0.46,1.20,41.97
35,5.37,0.00,0.00,0.46,1.20,36.28
37,5.71,0.00,0.00,0.46,1.20,34.01
39,12.21,0.00,0.00,0.46,1.20,34.09
41,17.71,0.00,0.00,0.46,2.51,33.84
43,17.54,0.00,0.00,0.46,2.51,30.24
45,17.54,0.00,0.00,0.46,2.51,25.06
47,22.86,0.00,0.00,0.46,2.51,21.97
49,23.17,3.49,0.00,0.46,2.51,19.25
51,23.17,4.30,0.00,0.46,2.51,19.08
53,23.17,13.70,0.00,0.46,2.51,19.81
55,23.17,23.04,0.00,0.46,2.51,22.59
57,23.17,23.71,0.00,0.46,2.51,22.02
59,23.17,23.71,0.00,0.46,2.51,19.73
61,28.97,23.71,0.00,0.46,2.51,18.64
63,30.12,25.20,0.00,0.46,2.51,14.84
65,30.12,34.01,0.00,0.46,2.51,12.00
67,31.24,36.30,0.00,0.46,2.51,12.89
69,36.93,41.77,0.00,0.46,2.51,11.63
71,36.76,48.65,0.00,0.46,2.51,9.62
73,41.90,48.57,0.00,0.46,2.51,6.72
75,49.66,48.57,0.00,0.46,2.51,3.37
77,49.46,48.57,0.00,0.46,2.51,0.92
79,59.36,56.41,0.00,0.46,2.51,0.05
81,67.17,68.30,0.00,0.46,2.51,0.25
83,67.00,68.13,0.00,57.99,2.51,2.83
85,67.00,68.13,0.00,49.27,2.51,6.90
87,67.00,68.13,0.00,50.18,2.51,9.58
89,67.00,68.13,44.46,50.18,2.51,11.20
91,67.00,68.13,44.46,31.78,2.51,14.40
93,56.66,64.91,44.46,25.03,2.51,17.24
95,0.00,48.57,44.46,22.66,2.51,20.59
97,0.00,48.57,44.46,18.75,2.51,20.69
99,0.00,48.57,44.46,18.75,53.55,19.43
101,6.43,54.94,44.46,18.75,49.95,21.96
103,15.50,55.40,44.46,18.75,51.61,19.35
105,16.04,61.85,44.46,18.75,51.55,17.24
107,16.04,71.89,44.46,18.75,43.58,14.75
109,16.04,77.58,44.46,18.75,43.82,15.92
111,16.04,89.22,44.46,18.75,42.71,19.36
113,16.04,98.44,44.46,18.75,29.24,19.60
115,20.74,98.71,44.46,18.75,29.24,15.58
117,23.23,95.48,44.46,18.75,10.80,11.27
119,28.88,0.00,44.46,18.75,10.80,9.15
121,35.46,0.00,44.46,18.75,10.80,6.96
123,43.54,0.00,44.46,18.75,10.80,3.38
125,50.51,0.00,44.46,18.75,10.80,3.11
127,65.48,0.00,44.46,18.75,10.80,3.46
129,66.89,0.00,44.46,18.75,10.80,4.14
131,66.88,0.00,44.46,18.75,10.80,11.70
133,66.88,0.00,44.46,18.75,10.80,14.62
135,66.88,0.00,44.46,18.75,10.80,14.47
137,66.88,0.00,44.46,18.75,10.80,11.41
139,72.28,0.00,44.46,18.75,10.80,10.06
141,74.43,0.00,44.46,18.75,10.80,8.31
143,83.43,0.00,44.46,18.75,10.80,7.97
145,94.69,0.00,44.46,18.75,10.80,5.04
147,98.37,0.00,44.46,18.75,10.80,2.11
149,105.71,0.00,44.46,18.75,10.80,0.42
151,114.12,0.00,44.46,18.75,10.80,0.28
153,117.92,0.00,44.46,72.87,10.80,1.02
