time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,44.74,1
3,0.00,0.00,0.00,0.00,53.03,1
5,0.00,0.00,0.00,0.00,56.38,1
7,0.00,0.00,0.00,0.00,58.18,1
9,0.00,0.00,0.00,0.00,58.99,1
11,0.00,0.00,0.00,0.00,60.70,3
13,0.00,0.00,0.00,0.00,55.58,3
15,0.00,0.00,0.04,0.51,46.30,3
17,0.14,0.54,0.07,0.88,40.57,3
19,1.21,4.83,0.28,2.88,34.59,3
21,4.08,13.23,0.64,4.88,31.03,2
23,5.64,17.82,1.23,6.88,30.60,2
25,6.58,17.74,2.01,8.88,34.10,2
27,5.73,17.74,2.69,10.88,29.95,2
29,7.21,23.66,2.54,12.88,25.91,2
31,9.94,30.15,3.45,14.88,22.70,4
33,11.42,30.03,4.02,16.88,20.47,4
35,12.49,30.03,4.61,18.88,26.28,4
37,10.70,33.02,5.45,20.88,23.80,4
39,12.04,41.61,4.29,22.88,20.50,4
41,14.42,42.80,4.95,24.88,16.78,1
43,16.50,42.80,5.62,26.88,18.82,1
45,17.84,42.80,6.29,28.88,20.13,1
47,17.34,42.80,6.95,30.88,22.98,1
49,16.76,42.80,7.05,31.36,25.45,1
51,17.03,42.70,6.15,30.26,27.62,1
53,9.75,30.66,4.82,29.73,28.52,3
55,9.45,37.82,4.49,20.36,26.30,3
57,9.43,37.71,3.30,18.21,23.27,3
59,10.80,37.71,4.01,20.21,21.38,3
61,11.91,37.71,4.23,22.21,17.82,3
63,14.51,42.19,4.90,24.21,18.48,2
65,16.37,44.21,5.73,26.21,20.99,2
67,16.76,44.20,6.56,28.21,23.78,2
69,18.90,44.20,7.46,30.21,24.68,2
71,19.81,44.20,7.14,32.21,26.88,2
73,20.78,44.13,7.88,34.21,26.54,2
75,13.01,35.99,8.82,36.21,26.61,4
77,12.81,40.53,9.69,38.21,19.82,4
79,13.29,42.61,8.07,40.21,22.18,4
81,11.50,43.97,7.51,23.12,23.80,4
83,12.96,48.86,5.94,25.12,28.19,4
85,14.33,48.75,6.12,23.76,29.96,1
87,14.88,48.63,6.39,23.96,31.25,1
89,12.57,39.39,6.32,25.96,30.04,1
91,4.98,11.53,7.15,27.96,30.52,1
93,3.32,11.53,7.41,29.96,30.36,1
95,6.66,15.12,6.90,31.96,32.55,1
97,8.19,17.23,5.39,33.96,29.30,1
99,9.67,17.22,5.45,35.96,27.70,3
101,12.00,18.28,5.73,37.96,20.81,3
103,13.19,18.06,6.65,39.96,22.17,3
105,13.41,18.41,4.90,24.78,19.36,3
107,9.77,25.06,5.81,26.19,15.07,3
109,13.50,31.05,5.27,15.22,16.82,2
111,15.10,30.89,3.73,16.96,14.97,2
113,16.20,30.89,4.53,18.96,21.62,2
115,16.13,30.89,5.36,20.96,22.66,2
117,17.61,35.26,5.33,19.03,22.09,2
119,14.91,35.61,5.90,17.32,18.78,2
121,10.49,37.67,5.29,19.27,23.86,2
123,11.76,42.76,6.00,21.27,22.92,4
125,13.37,49.19,5.24,23.27,22.36,4
127,14.34,53.52,6.02,25.27,23.72,4
129,13.36,53.42,6.72,24.23,22.26,4
131,14.37,53.42,6.09,26.23,20.40,4
133,15.62,57.86,4.57,27.51,19.14,1
135,17.84,66.81,5.25,29.51,19.75,1
137,20.86,66.53,6.28,31.51,24.04,1
139,22.26,65.92,7.73,33.51,27.22,1
141,14.04,34.59,7.84,34.26,30.93,1
143,7.20,12.52,8.08,28.74,32.53,1
145,7.19,12.52,8.56,26.54,32.93,1
147,8.61,12.52,9.46,28.54,32.37,1
149,8.80,12.52,8.76,30.54,31.45,3
151,9.85,14.44,9.90,32.54,27.85,3
153,11.98,18.57,10.73,34.54,26.01,3
155,15.94,27.86,9.80,36.54,23.40,3
157,20.76,41.84,10.02,24.62,18.81,3
159,22.38,43.50,9.35,24.14,15.15,2
161,25.67,51.70,10.85,26.14,12.73,2
163,28.47,54.83,12.35,28.14,16.47,2
165,31.88,67.70,13.30,30.14,18.12,2
167,34.79,73.36,10.84,30.12,19.23,2
169,33.14,73.32,8.84,25.30,19.53,2
171,29.60,76.29,9.13,27.30,18.83,2
173,32.24,86.85,8.62,29.30,17.51,2
175,33.83,91.43,8.14,31.30,17.83,4
177,37.17,95.51,9.06,33.30,13.76,4
179,39.51,98.29,9.88,35.30,12.48,4
181,40.23,98.26,9.98,33.23,10.96,4
183,43.59,98.26,10.58,35.23,9.87,4
185,49.26,98.26,11.56,37.23,10.20,1
187,54.75,98.26,12.72,39.23,9.10,1
189,55.07,98.66,13.99,41.23,10.93,1
191,57.97,110.27,15.33,43.23,13.23,1
193,60.53,111.86,15.87,44.38,12.49,1
195,63.15,111.85,15.77,44.22,11.35,1
197,65.93,115.94,16.27,45.76,11.53,1
199,71.93,127.57,17.36,43.92,13.24,1
201,75.94,131.72,17.82,45.92,14.32,1
203,76.21,131.67,18.81,41.78,15.38,3
205,77.42,131.67,19.60,43.85,14.78,3
207,78.11,131.67,20.30,44.02,11.86,3
209,80.22,134.42,21.97,46.02,11.35,3
211,58.62,133.79,23.64,48.02,13.87,3
213,61.93,132.28,25.30,50.02,15.65,2
215,63.38,130.66,26.97,52.02,14.90,2
217,47.06,62.95,26.20,54.02,14.04,2
219,42.90,71.98,27.70,56.02,11.05,2
221,45.65,75.52,25.89,58.02,7.81,2
223,47.19,84.44,26.63,60.02,6.89,2
225,46.81,97.18,24.11,62.02,6.46,2
227,48.11,106.80,22.35,64.02,6.56,2
229,49.36,108.30,22.98,66.02,6.48,2
231,49.36,108.30,24.28,68.02,7.67,4
233,49.36,108.30,23.56,70.02,10.68,4
235,49.32,108.30,23.84,72.02,13.55,4
237,45.78,108.30,24.84,74.02,14.41,4
239,46.98,108.30,21.43,76.02,12.93,4
241,47.14,108.30,22.59,78.02,9.58,1
243,51.10,114.19,23.85,80.02,6.33,1
245,53.84,121.56,25.18,82.02,4.98,1
247,57.39,125.69,26.51,84.02,4.87,1
249,60.78,127.18,27.14,83.83,5.04,1
251,64.57,127.17,27.90,85.83,6.59,1
253,65.18,127.17,26.43,77.68,7.97,1
255,64.66,127.17,27.72,79.68,11.30,1
257,65.90,127.17,28.52,79.68,14.13,1
259,66.06,127.17,29.69,78.39,17.17,1
261,58.24,127.17,29.39,69.45,21.70,3
263,44.04,127.17,29.64,63.21,21.36,3
265,44.23,127.17,27.21,62.34,20.66,3
267,47.83,127.12,28.15,64.34,21.62,3
269,48.67,126.68,27.48,66.34,21.57,3
271,29.01,42.05,29.15,68.34,17.95,2
273,27.97,37.23,30.95,70.34,14.51,2
275,32.27,42.67,32.78,72.34,12.17,2
277,37.39,48.74,34.62,74.34,12.26,2
279,35.91,51.52,33.46,76.34,12.93,2
281,37.18,56.61,32.89,78.34,12.79,2
283,31.85,66.01,33.72,80.34,12.22,2
285,33.23,73.77,34.60,82.34,10.50,2
287,36.23,85.77,34.14,84.34,8.84,2
289,39.96,100.71,33.46,86.34,12.58,2
291,41.64,107.44,33.23,88.34,13.66,4
293,43.78,115.99,34.40,90.34,14.04,4
295,44.70,119.65,35.71,92.34,11.61,4
297,45.29,119.62,36.18,94.34,10.67,4
299,45.99,121.64,35.36,96.34,11.09,4
301,51.56,131.68,30.96,98.34,11.20,1
303,52.71,138.02,32.53,100.34,9.94,1
305,60.87,154.22,33.97,102.34,9.44,1
307,62.55,157.65,35.64,104.34,8.24,1
309,64.95,160.00,35.05,106.09,10.06,1
311,64.85,163.11,34.31,89.00,9.76,1
313,63.94,163.07,35.34,87.64,9.10,1
315,66.09,165.91,36.38,89.00,9.98,1
317,61.99,172.49,31.41,89.09,10.18,1
319,64.84,176.20,31.02,90.03,11.15,1
321,65.05,176.17,30.98,75.92,11.23,3
323,66.78,176.17,31.58,74.58,11.64,3
325,69.40,176.17,30.76,76.58,10.82,3
327,71.36,177.54,30.42,78.58,10.40,3
329,75.57,189.47,24.94,78.87,10.25,3
331,77.91,192.21,26.01,80.87,11.23,2
333,77.63,193.38,27.20,82.87,10.95,2
335,77.50,195.58,26.20,84.87,11.67,2
337,75.43,195.57,27.70,86.87,12.46,2
339,73.28,195.57,24.83,88.87,13.67,2
341,68.93,195.57,25.64,90.87,13.00,2
343,70.20,195.57,25.34,92.87,12.34,2
345,70.70,195.57,25.21,94.87,11.87,2
347,63.87,195.13,26.01,96.87,11.40,2
349,36.54,109.75,26.57,98.87,11.12,2
351,37.19,105.62,25.05,100.87,11.22,4
353,40.68,113.43,24.91,102.87,9.89,4
355,43.46,120.05,25.41,104.87,7.97,4
357,49.24,125.94,22.96,81.17,7.49,4
359,53.16,133.37,24.13,83.17,5.79,4
361,58.25,147.74,23.41,85.17,5.22,1
363,64.35,160.94,24.75,87.17,6.28,1
365,67.82,174.28,26.08,89.17,6.36,1
367,70.47,184.89,27.41,91.17,7.50,1
369,73.07,191.80,28.27,88.88,8.20,1
371,74.74,195.77,27.98,90.88,8.47,1
373,76.67,198.82,28.89,85.32,8.59,1
375,75.04,198.80,28.67,85.42,8.85,1
377,67.05,198.80,29.69,85.23,9.09,1
379,67.45,198.80,30.48,86.91,9.28,1
381,69.04,198.80,31.47,83.51,10.40,1
383,69.14,198.80,31.32,84.73,12.04,3
385,69.14,198.80,32.63,81.98,13.05,3
387,69.14,198.80,33.42,83.64,12.50,3
389,70.24,198.80,35.25,85.64,11.61,3
391,70.73,198.80,36.98,87.64,12.83,3
393,71.15,198.63,37.90,89.64,10.99,2
395,72.08,197.35,39.69,91.64,9.38,2
397,73.97,196.28,39.69,93.64,11.06,2
399,76.08,196.08,41.52,95.64,11.71,2
401,79.46,195.24,42.33,97.64,12.80,2
403,77.85,199.35,37.23,99.64,12.38,2
405,76.83,201.34,34.26,101.64,12.53,2
407,70.47,200.47,35.09,103.64,11.56,2
409,66.01,200.44,35.24,105.64,12.06,2
411,58.92,164.17,35.87,107.64,9.54,2
413,44.42,102.30,37.35,109.64,7.85,4
415,46.11,109.12,36.92,111.64,6.81,4
417,48.70,114.68,38.42,113.64,7.40,4
419,51.79,121.78,38.26,113.11,7.78,4
421,54.43,132.38,36.26,115.11,7.92,4
423,57.82,145.93,37.34,117.11,9.62,1
425,63.18,159.27,37.10,119.11,9.81,1
427,67.40,171.35,38.60,121.11,10.46,1
429,69.76,180.89,40.10,123.11,10.61,1
431,67.06,189.74,39.84,121.12,10.70,1
433,55.56,195.92,40.82,123.12,12.36,1
435,56.81,196.37,40.62,116.94,12.83,1
437,57.33,196.37,41.63,118.94,12.73,1
439,60.54,196.37,42.23,116.52,12.80,1
441,60.57,196.37,40.75,116.66,13.13,1
443,62.05,196.37,39.31,107.31,14.23,1
445,62.16,196.37,38.27,102.38,16.44,1
447,62.25,196.37,39.03,104.38,16.43,3
449,63.81,196.37,38.82,100.89,17.38,3
451,63.75,196.37,39.93,102.89,15.93,3
453,63.91,196.37,41.77,104.89,14.98,3
455,66.89,196.25,,,13.68,3
457,66.44,195.54,,,11.25,2
459,70.62,197.91,,,11.34,2
461,76.06,201.80,,,10.91,2
463,77.41,200.44,,,12.86,2
465,78.85,200.40,,,12.63,2
467,72.29,200.40,,,11.01,2
469,65.95,200.20,,,11.29,2
471,46.55,114.88,,,8.86,2
473,39.77,83.75,,,9.46,2
475,42.70,90.70,,,8.76,2
477,44.76,98.06,,,9.37,4
479,46.51,104.45,,,10.77,4
481,49.87,112.83,,,12.64,4
483,50.19,122.76,,,13.51,4
485,51.60,137.19,,,11.36,4
487,54.46,148.63,,,9.41,1
489,57.96,159.96,,,7.29,1
491,64.34,172.37,,,5.27,1
493,69.91,180.99,,,5.30,1
495,74.66,188.43,,,7.52,1
497,77.50,196.36,,,9.65,1
499,81.25,202.83,,,11.63,1
501,80.50,201.98,,,13.37,1
