time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed,outflow
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.20,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.94,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.81,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.11,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.43,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.81,0.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.51,0.00
19,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.11,0.15,0.34,38.92,0.00
21,0.00,1.24,0.62,1.24,0.00,0.00,2.34,0.78,1.00,2.34,31.81,0.00
23,0.00,11.12,5.56,11.12,0.00,0.00,4.34,1.45,1.86,4.34,28.07,0.00
25,0.00,11.39,5.70,11.39,0.00,0.00,6.34,2.11,2.72,6.34,22.84,0.00
27,0.00,17.66,8.83,17.66,0.00,0.62,8.34,2.99,3.84,8.34,24.65,1.00
29,3.74,9.36,6.55,9.36,0.00,2.62,8.57,3.73,4.80,8.57,33.83,1.00
31,5.41,0.00,2.71,5.41,0.00,4.62,6.28,3.63,4.67,6.28,38.42,1.00
33,5.41,0.00,2.70,5.41,0.00,6.62,4.64,3.75,4.82,6.62,41.97,1.00
35,5.41,0.00,2.70,5.41,0.00,8.62,0.00,2.87,3.69,8.62,43.58,0.00
37,5.41,0.00,2.70,5.41,0.00,10.62,0.28,3.63,4.67,10.62,38.19,0.00
39,5.41,0.00,2.70,5.41,0.00,12.62,2.28,4.97,6.39,12.62,32.29,1.00
41,5.41,0.00,2.70,5.41,0.00,14.62,0.00,4.87,6.27,14.62,22.38,0.00
43,7.95,0.00,3.97,7.95,0.00,16.62,0.62,5.75,7.39,16.62,10.73,0.00
45,12.15,2.29,7.22,12.15,0.00,18.62,2.62,7.08,9.10,18.62,4.20,0.00
47,12.09,4.67,8.38,12.09,0.00,20.62,4.62,8.41,10.82,20.62,9.33,0.00
49,12.09,10.09,11.09,12.09,0.00,22.62,6.62,9.75,12.53,22.62,17.47,0.00
