time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase
1,0.00,0.00,0.00,0.00,60.00,0.00,1
3,0.00,0.00,0.00,0.00,47.00,0.00,1
5,0.00,0.00,0.00,0.00,55.82,0.00,1
7,0.00,0.00,0.00,0.00,63.44,0.00,1
9,0.00,0.00,0.00,0.00,64.70,0.00,1
11,0.00,0.00,0.00,0.00,58.69,0.00,1
13,0.00,0.00,0.00,0.00,51.82,0.00,1
15,0.00,0.00,0.00,0.00,47.59,0.00,1
17,0.00,0.00,0.15,1.79,47.05,0.00,1
19,1.39,5.54,0.38,3.79,50.86,1.00,1
21,1.32,5.28,0.50,5.79,50.19,1.00,3
23,1.32,5.28,0.65,7.79,47.31,0.00,3
25,1.30,5.18,0.82,9.79,49.87,0.00,3
27,0.00,0.00,1.28,11.79,46.79,2.00,3
29,0.00,0.00,0.69,3.90,44.95,2.00,3
31,0.30,1.20,0.83,5.90,44.13,3.00,3
33,0.53,2.13,0.46,5.11,39.89,0.00,3
35,3.91,12.94,0.86,7.11,38.17,0.00,3
37,6.89,17.74,1.36,9.11,35.89,0.00,3
39,6.97,17.64,1.86,11.11,30.20,0.00,3
41,7.16,17.64,2.36,13.11,27.04,0.00,2
43,11.00,19.51,3.08,15.11,21.02,1.00,2
45,15.25,23.36,3.83,17.11,21.11,0.00,2
47,15.89,23.29,4.87,19.11,19.64,1.00,2
49,15.88,23.29,5.81,21.11,17.61,0.00,2
51,15.88,23.29,6.85,23.11,15.22,1.00,4
53,15.88,23.29,8.02,25.11,13.00,1.00,4
55,17.58,30.08,8.81,27.11,17.40,1.00,4
57,16.29,29.85,9.56,25.28,21.13,2.00,4
59,12.03,29.84,9.36,27.28,25.44,4.00,1
61,10.26,25.03,5.50,27.26,28.49,1.00,1
63,8.82,24.83,5.50,20.15,30.30,1.00,1
65,9.17,24.83,5.41,22.15,30.97,2.00,1
67,8.82,24.83,3.18,21.71,31.99,0.00,1
69,9.67,24.83,3.85,23.71,32.32,0.00,1
71,11.57,24.83,4.58,25.71,28.60,0.00,1
73,11.64,24.83,5.43,27.71,27.46,1.00,1
75,14.48,24.83,6.10,29.71,23.32,0.00,1
77,18.61,24.83,7.12,31.71,20.44,1.00,1
79,19.03,24.83,7.80,33.71,19.08,1.00,1
81,21.62,33.68,8.66,35.71,17.60,0.00,1
83,23.67,36.96,10.02,37.71,17.14,1.00,3
85,24.90,40.95,11.01,39.71,15.10,1.00,3
87,25.49,43.30,11.96,41.71,13.64,1.00,3
89,26.77,48.45,12.15,43.71,18.66,2.00,3
91,24.84,52.41,13.22,44.79,20.18,3.00,3
93,21.97,55.30,11.67,39.19,21.39,2.00,3
95,23.29,55.28,12.12,35.85,22.09,2.00,3
97,22.91,46.59,9.81,30.19,22.46,2.00,3
99,15.54,22.62,10.35,32.19,24.19,2.00,3
101,17.17,23.66,10.87,34.19,24.73,1.00,3
103,17.12,23.66,11.52,36.19,25.83,0.00,3
105,17.95,23.66,12.68,38.19,23.96,2.00,2
107,20.97,25.20,12.66,40.19,24.45,1.00,2
109,22.36,30.75,13.31,42.19,23.62,0.00,2
111,23.25,34.33,14.48,44.19,21.10,1.00,2
113,23.24,34.30,13.22,46.19,17.53,1.00,4
115,24.15,34.30,14.23,48.19,15.83,1.00,4
117,27.88,35.81,15.32,50.19,15.95,2.00,4
119,31.22,41.60,15.96,52.19,18.14,2.00,4
121,32.00,51.39,14.97,47.48,20.63,4.00,4
123,33.16,55.57,13.76,48.98,23.39,4.00,1
125,25.38,57.67,8.58,28.04,23.87,2.00,1
127,24.03,57.61,8.15,23.12,22.99,1.00,1
129,14.64,32.22,9.24,23.77,20.80,2.00,1
131,14.20,24.08,9.29,25.77,19.78,2.00,1
133,17.59,27.91,9.16,27.77,16.67,2.00,1
135,19.37,29.59,9.97,29.77,16.65,2.00,1
137,22.64,31.33,9.69,31.77,16.46,1.00,1
139,23.79,36.06,9.86,33.77,16.76,1.00,1
141,24.01,36.94,10.83,35.77,18.98,0.00,1
143,26.66,43.37,12.00,37.77,20.14,1.00,1
145,27.80,44.95,12.71,39.77,20.13,0.00,1
147,29.03,49.90,13.71,41.77,18.98,0.00,3
149,29.41,49.80,14.84,43.77,17.60,1.00,3
151,30.78,49.80,15.74,45.77,13.61,1.00,3
153,32.18,49.80,16.74,47.77,11.67,2.00,3
155,35.36,55.53,17.79,46.10,12.06,3.00,3
157,42.45,60.54,18.94,43.11,13.81,3.00,3
159,41.50,68.65,17.53,45.11,15.03,3.00,3
161,38.37,70.28,17.91,47.11,16.64,3.00,3
163,38.30,70.00,16.57,49.11,16.29,2.00,3
165,21.66,60.91,17.20,51.11,16.75,3.00,2
167,20.80,60.91,18.24,53.11,15.55,1.00,2
169,22.01,60.91,19.53,55.11,15.01,0.00,2
171,25.83,60.91,21.05,57.11,13.76,2.00,2
173,28.35,62.21,19.01,59.11,11.91,2.00,2
175,31.72,68.63,19.26,61.11,12.84,1.00,4
177,35.04,76.91,18.08,63.11,12.32,0.00,4
179,35.71,79.76,19.41,65.11,17.04,2.00,4
181,37.07,84.32,18.57,67.11,21.32,2.00,4
183,36.17,86.69,17.48,66.62,20.29,3.00,4
185,34.85,91.09,15.69,59.99,18.46,2.00,4
187,33.09,97.33,15.81,56.93,16.53,2.00,1
189,35.94,102.80,15.81,47.33,16.25,2.00,1
191,37.77,110.96,15.82,47.87,14.13,0.00,1
193,39.01,115.93,17.47,49.87,14.91,3.00,1
195,40.97,115.86,14.97,51.87,14.89,2.00,1
197,41.21,121.87,16.11,53.87,15.37,2.00,1
199,43.43,127.47,15.95,55.87,16.22,1.00,1
201,43.75,128.76,16.10,57.87,16.80,1.00,1
203,44.54,128.76,16.54,59.87,18.16,0.00,1
205,45.39,128.70,17.71,61.87,17.36,1.00,1
207,46.57,132.57,18.31,63.87,15.87,0.00,3
209,47.67,132.38,19.64,65.87,14.86,0.00,3
211,36.42,86.13,20.98,67.87,13.76,0.00,3
213,25.58,42.14,22.31,69.87,14.24,2.00,3
215,26.48,42.14,20.72,71.87,16.22,3.00,3
217,22.78,45.68,20.13,73.87,15.37,3.00,3
219,20.50,52.08,20.04,75.87,14.75,2.00,3
221,22.40,59.72,18.74,77.87,14.17,2.00,2
223,23.84,62.79,19.11,79.87,11.82,1.00,2
225,28.34,64.70,20.29,81.87,11.43,0.00,2
227,30.25,65.69,21.62,83.87,14.43,2.00,2
229,32.83,70.88,17.76,85.87,16.62,2.00,2
231,29.82,67.82,17.95,87.87,20.58,2.00,2
233,26.69,66.39,17.89,89.87,23.09,1.00,4
235,27.20,68.70,18.87,91.87,21.64,2.00,4
237,22.59,50.24,19.30,93.87,19.88,1.00,4
239,21.80,50.17,20.09,95.87,19.26,3.00,4
241,24.81,54.94,19.93,91.19,19.97,3.00,4
243,24.56,54.84,17.39,90.21,21.42,2.00,4
245,25.64,54.76,18.24,89.09,20.55,1.00,4
247,20.33,23.70,18.35,72.71,19.42,2.00,4
249,21.98,25.27,19.37,70.66,15.28,1.00,1
251,22.33,25.26,17.38,41.27,11.68,1.00,1
253,24.98,29.46,17.80,43.27,10.18,0.00,1
255,26.63,35.61,19.30,45.27,12.62,2.00,1
257,28.03,38.87,15.00,47.27,13.05,2.00,1
259,29.08,38.75,14.81,49.27,14.28,2.00,1
261,22.56,36.46,15.48,51.27,16.61,2.00,1
263,22.55,36.46,14.71,53.27,14.79,1.00,3
265,22.55,36.46,15.46,55.27,13.91,1.00,3
267,22.55,36.46,16.05,57.27,19.89,1.00,3
269,22.88,36.46,16.49,59.27,27.00,2.00,3
271,21.99,36.46,15.38,61.27,30.35,4.00,3
273,11.10,36.30,14.12,56.05,31.11,4.00,3
275,6.35,12.09,12.50,48.23,32.26,3.00,2
277,7.41,16.34,8.41,43.81,31.58,1.00,2
279,8.58,16.66,9.05,45.81,29.39,1.00,2
281,10.22,23.32,8.26,47.81,26.99,0.00,2
283,14.27,26.35,9.42,49.81,28.29,1.00,2
285,18.53,32.34,10.32,51.81,27.92,0.00,2
287,19.62,36.37,11.56,53.81,26.14,0.00,2
289,20.33,36.31,12.95,55.81,24.11,2.00,4
291,24.45,36.31,13.61,57.81,20.11,1.00,4
293,27.60,36.31,14.24,59.81,17.87,2.00,4
295,29.54,36.31,12.52,61.81,16.87,2.00,4
297,28.71,39.98,10.94,34.91,14.82,2.00,4
299,27.61,48.93,9.70,30.12,13.64,2.00,4
301,27.90,59.96,9.84,32.12,16.87,1.00,4
303,29.29,61.41,11.44,34.12,19.56,2.00,4
305,29.77,61.03,11.32,36.12,21.45,0.00,1
307,29.03,53.91,12.65,38.12,20.59,0.00,1
309,27.41,50.19,14.13,40.12,22.21,0.00,1
311,28.35,49.94,15.77,42.12,20.33,2.00,1
313,30.02,49.94,16.07,37.88,21.88,2.00,3
315,32.65,54.03,16.32,34.78,18.92,2.00,3
317,36.77,57.03,18.04,34.39,15.61,1.00,3
319,41.78,71.91,18.47,36.39,13.88,2.00,3
321,40.77,81.70,19.71,38.39,13.31,2.00,3
323,38.49,85.69,19.93,40.39,13.92,2.00,2
325,40.99,90.54,19.78,42.39,13.30,1.00,2
327,44.23,88.65,21.29,44.39,10.57,0.00,2
329,40.35,69.90,23.08,46.39,7.91,2.00,2
331,34.60,48.42,23.25,48.39,6.49,2.00,4
333,37.08,53.77,22.47,50.39,6.82,1.00,4
335,40.35,60.66,23.53,52.39,6.95,2.00,4
337,39.70,61.25,23.14,52.99,6.23,2.00,4
339,34.30,67.25,23.72,54.99,7.49,1.00,4
341,35.80,67.06,23.28,56.99,11.67,0.00,4
343,37.38,67.06,24.61,58.99,12.70,0.00,1
345,39.11,73.36,25.95,60.99,12.29,0.00,1
347,38.82,73.43,27.36,62.99,10.14,0.00,1
349,38.63,73.21,28.86,64.99,10.34,2.00,1
351,39.54,79.30,26.91,55.45,10.94,3.00,1
353,44.46,93.46,21.54,53.88,13.15,1.00,3
355,46.90,97.40,22.69,53.73,12.05,2.00,3
357,48.28,97.19,22.61,44.05,14.34,1.00,3
359,48.22,96.22,23.66,46.05,18.98,2.00,3
361,48.58,94.90,21.33,48.05,21.77,2.00,3
363,42.58,93.31,22.02,50.05,24.18,3.00,3
365,36.58,92.17,18.59,52.05,22.22,0.00,2
367,32.71,82.25,20.00,54.05,17.78,1.00,2
369,20.68,41.22,20.90,56.05,15.88,1.00,2
371,21.28,41.21,21.99,58.05,13.07,1.00,2
373,24.34,44.91,19.45,60.05,11.78,0.00,4
375,24.93,47.47,20.74,62.05,12.08,1.00,4
377,25.96,51.59,21.78,64.05,13.61,2.00,4
379,26.65,57.90,22.07,62.58,12.07,1.00,4
381,32.95,90.60,22.72,64.58,17.11,3.00,4
383,34.26,95.83,22.22,61.44,18.68,2.00,4
385,35.05,99.66,22.42,62.35,17.95,1.00,1
387,34.50,99.18,23.41,64.35,16.80,1.00,1
389,36.27,99.14,22.84,66.35,14.11,0.00,1
