time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,43.60,1
3,0.00,0.00,0.00,0.00,0.00,51.33,1
5,0.00,0.00,0.00,0.00,0.00,56.62,1
7,0.00,0.00,0.00,0.00,0.00,59.03,1
9,0.00,0.00,0.00,0.00,0.00,61.10,1
11,0.00,0.00,0.00,0.00,0.00,60.19,1
13,0.00,0.00,0.00,0.00,0.00,55.39,1
15,0.00,0.00,0.00,0.00,0.00,48.85,1
17,0.30,1.21,0.33,0.31,1.84,42.84,1
19,2.09,5.47,0.83,0.77,3.84,37.58,3
21,2.66,5.41,1.44,1.40,5.84,33.92,3
23,5.63,11.34,2.29,2.24,7.84,32.84,3
25,5.76,12.06,2.99,2.81,9.84,29.10,3
27,5.91,12.06,3.85,3.63,11.84,26.12,3
29,7.88,12.06,4.60,4.29,13.84,26.90,3
31,9.00,14.23,5.84,5.75,15.84,29.48,3
33,10.12,18.74,6.54,6.30,17.84,32.19,3
35,10.10,18.67,7.54,7.36,19.84,30.63,3
37,10.19,18.67,8.57,8.48,21.84,29.19,3
39,11.81,18.67,9.58,9.55,23.84,26.54,2
41,13.19,18.67,10.74,10.89,25.84,25.41,2
43,13.74,18.66,11.58,11.67,27.84,22.85,2
45,11.39,17.54,11.39,11.76,29.84,20.99,2
47,12.88,22.86,8.90,11.08,31.84,19.65,2
49,12.96,23.17,8.22,10.88,33.84,17.93,2
51,12.96,23.17,8.92,11.95,35.84,16.83,2
53,13.26,23.17,10.02,13.39,37.84,16.18,2
55,14.42,23.17,11.19,14.89,39.84,20.35,2
57,16.25,23.88,12.35,16.39,41.84,20.60,2
59,16.20,23.71,13.52,17.89,43.84,19.77,2
61,17.51,28.97,14.69,19.39,45.84,20.10,2
63,19.02,30.12,15.85,20.89,47.84,20.14,4
65,20.36,34.01,17.02,22.39,49.84,18.83,4
67,19.68,36.30,18.19,23.89,51.84,17.40,4
69,21.33,41.77,16.77,23.02,43.99,16.36,4
71,20.23,48.65,16.57,23.27,45.99,15.81,4
73,21.71,48.57,16.65,23.77,47.99,15.16,4
75,22.84,49.66,16.03,23.63,49.99,14.70,4
77,23.41,49.46,16.98,24.90,51.99,13.08,4
79,25.88,59.36,18.14,26.30,53.99,11.30,1
81,28.42,68.30,18.80,27.23,55.99,12.45,1
83,28.08,68.13,19.80,28.48,57.99,13.24,1
85,29.23,68.13,18.86,26.43,49.27,15.61,1
87,30.69,68.13,18.39,25.06,50.18,17.32,1
89,32.76,68.13,17.40,22.66,46.48,19.03,1
91,33.13,68.13,14.90,22.03,48.48,20.92,1
93,31.70,64.91,15.37,22.21,50.48,22.48,1
95,27.61,48.57,15.62,22.01,52.48,21.24,3
97,28.22,48.57,15.99,21.90,54.48,19.10,3
