time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,44.27,0
3,0.00,0.00,0.00,0.00,0.00,53.54,4
5,0.00,0.00,0.00,0.00,0.00,57.14,4
7,0.00,0.00,0.00,0.00,0.00,59.57,4
9,0.00,0.00,0.00,0.00,0.00,59.70,4
11,0.00,0.00,0.00,0.00,0.00,57.14,4
13,0.00,0.00,0.00,0.00,0.00,51.42,1
15,0.00,0.00,0.01,0.01,0.09,45.63,1
17,0.38,1.54,0.23,0.27,2.09,38.21,1
19,1.15,4.61,0.54,0.59,4.09,34.98,1
21,2.92,5.16,0.93,1.14,6.09,31.41,1
23,6.33,11.04,1.74,2.19,8.09,28.69,3
25,6.31,10.88,2.40,3.13,10.09,33.72,3
27,5.42,10.88,3.23,4.20,12.09,34.06,3
29,5.36,10.88,2.40,2.25,10.80,30.27,3
31,5.42,10.88,3.40,3.25,12.80,30.03,3
33,6.25,10.88,4.40,4.25,14.80,29.10,4
35,8.27,16.00,5.40,5.25,16.80,29.92,4
37,7.61,16.63,5.67,5.94,18.80,31.32,4
39,7.14,16.63,4.73,3.55,20.80,30.38,4
41,9.19,16.63,5.00,3.47,22.80,28.92,4
43,12.44,16.63,5.85,3.77,24.80,29.49,1
45,14.18,18.09,6.88,4.40,26.80,32.25,1
47,13.39,18.03,8.13,5.52,28.80,31.45,1
49,10.10,18.07,7.02,5.30,30.80,30.80,1
51,10.32,23.24,7.08,5.76,32.80,28.18,1
53,12.72,23.14,7.40,6.71,34.80,24.39,6
55,14.71,23.14,8.57,8.09,36.80,26.97,6
57,16.85,23.14,9.32,9.16,38.80,24.53,6
59,16.15,19.34,9.85,9.55,39.08,25.01,6
61,13.88,22.70,9.33,8.87,33.04,24.98,6
63,16.03,31.46,8.84,8.78,35.04,21.86,3
65,17.20,35.83,8.67,8.95,37.04,21.05,3
67,18.35,35.78,9.39,9.99,39.04,19.02,3
69,18.48,41.16,9.69,9.98,41.04,20.96,3
71,18.61,42.62,10.34,10.67,43.04,23.72,3
73,16.71,27.39,10.20,9.68,45.04,23.51,3
75,9.88,18.19,11.05,10.28,47.04,18.82,3
77,10.26,18.19,12.09,11.41,49.04,13.90,3
79,11.19,18.94,12.50,11.09,51.04,18.26,3
81,12.68,25.00,12.88,10.35,53.04,16.10,3
83,12.64,24.82,14.05,11.42,55.04,15.24,4
85,14.54,28.55,15.21,12.49,57.04,20.09,4
87,16.26,31.83,16.38,13.56,59.04,24.37,4
89,13.29,31.80,15.47,11.81,61.04,29.02,4
91,10.02,18.74,15.44,11.24,63.04,28.84,4
93,7.43,20.34,14.72,9.10,65.04,27.63,2
95,9.94,23.06,15.41,9.19,67.04,30.65,2
97,11.09,23.05,16.74,10.59,69.04,34.72,2
99,10.12,18.18,13.77,9.41,57.26,38.09,2
101,8.33,17.60,10.61,8.82,46.98,38.72,2
103,9.09,17.43,7.86,8.47,35.48,37.47,6
105,9.94,17.43,7.95,9.31,37.48,37.22,6
107,9.26,17.43,8.94,10.62,39.48,32.74,6
109,7.99,17.43,9.08,9.41,41.48,28.25,6
111,8.51,17.43,9.40,8.84,43.48,23.08,6
113,10.92,17.43,10.74,10.37,45.48,19.23,3
115,12.01,19.36,12.11,11.49,47.48,18.58,3
117,15.05,31.51,13.27,12.64,49.48,15.89,3
119,16.62,36.22,13.13,10.67,51.48,12.56,3
121,18.82,35.94,13.59,10.69,53.48,11.01,3
123,15.52,23.16,14.97,11.76,55.48,10.38,1
125,17.03,23.16,16.57,13.26,57.48,10.56,1
127,16.97,23.16,18.40,15.19,59.48,10.10,1
129,15.64,20.50,14.82,14.39,35.38,12.67,1
131,12.35,18.24,15.84,15.85,37.38,15.33,1
133,12.93,18.18,13.13,15.23,39.38,17.92,4
135,12.92,18.18,11.77,15.23,41.38,22.46,4
137,13.70,20.85,12.93,16.76,43.38,25.95,4
139,15.14,26.63,10.94,12.46,28.02,26.14,4
141,13.47,19.95,10.36,11.57,28.50,27.92,4
143,11.48,19.47,10.81,12.01,30.50,25.67,2
145,12.63,24.06,11.64,12.94,32.50,23.83,2
147,11.42,26.12,12.81,14.21,34.50,23.29,2
149,11.05,29.65,10.57,13.13,32.95,25.04,2
151,11.46,29.60,7.27,11.68,34.95,26.77,2
153,11.46,29.60,7.79,12.51,36.95,24.77,3
155,13.94,34.37,8.28,13.62,38.95,27.19,3
157,13.11,36.01,9.10,14.98,40.95,26.20,3
159,13.21,36.01,7.12,12.49,41.74,26.81,3
161,15.13,33.97,6.70,11.54,34.12,30.89,3
163,8.71,23.15,6.13,9.70,24.48,30.50,4
165,10.18,23.14,6.78,10.37,26.48,30.27,4
167,11.54,23.14,7.78,11.83,28.48,28.08,4
169,11.46,21.52,7.55,11.06,23.96,24.38,4
