time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,0
3,0.00,0.00,0.00,0.00,48.17,17
5,0.00,0.00,0.00,0.00,56.82,17
7,0.00,0.00,0.00,0.00,60.05,17
9,0.00,0.00,0.00,0.00,57.33,17
11,0.00,0.00,0.00,0.00,54.17,17
13,0.00,0.00,0.00,0.00,50.38,10
15,0.00,0.00,0.00,0.00,51.38,10
17,0.00,0.00,0.23,1.05,54.61,10
19,0.00,0.00,0.25,3.05,57.53,10
21,0.00,0.00,0.00,0.00,51.55,10
23,0.00,0.00,0.05,0.60,42.47,1
25,0.00,0.00,0.22,2.60,43.40,1
27,0.68,2.72,0.49,4.60,46.78,1
29,0.00,0.00,0.89,6.60,48.99,1
31,0.00,0.00,0.78,8.60,45.72,1
33,0.00,0.00,0.92,10.60,46.12,3
35,0.00,0.00,1.05,12.60,49.41,3
37,0.00,0.00,0.13,1.57,42.93,3
39,0.00,0.00,0.22,1.27,40.74,3
41,0.46,1.84,0.27,2.65,40.18,3
43,1.41,5.63,0.44,4.65,39.16,10
45,1.39,5.57,0.77,6.65,43.95,10
47,1.39,5.57,0.85,8.65,44.40,10
49,2.10,5.57,1.14,10.65,47.55,10
51,2.46,5.57,1.35,12.65,47.71,10
53,2.46,5.57,1.68,14.65,43.21,1
55,2.46,5.57,2.10,16.65,42.84,1
57,2.46,5.57,2.62,18.65,38.76,1
59,2.53,5.57,3.05,20.65,35.46,1
61,4.29,6.50,3.61,22.65,27.98,1
63,5.40,11.15,4.32,24.65,23.27,2
65,6.34,11.08,5.37,26.65,23.60,2
67,8.02,12.14,6.58,28.65,23.22,2
69,7.76,11.92,5.98,30.65,21.65,2
71,7.14,11.92,6.35,32.65,21.73,2
73,7.14,11.92,6.70,34.65,24.65,4
75,7.12,11.92,7.54,36.65,36.83,4
77,5.55,11.08,6.87,38.65,36.97,4
79,2.77,11.08,4.03,31.50,38.37,4
81,3.93,15.71,2.83,33.50,38.36,4
83,4.94,17.32,3.16,35.50,39.25,5
85,5.42,17.31,3.50,37.50,37.57,5
87,5.41,17.29,3.92,39.50,36.90,5
89,3.78,6.61,3.72,28.96,37.03,5
91,4.02,9.08,2.96,11.62,38.62,5
93,6.22,14.78,2.90,12.46,39.00,1
95,6.99,17.89,3.27,14.46,39.27,1
97,7.56,20.17,3.88,16.46,39.37,1
99,9.30,23.38,3.23,12.91,37.43,1
101,6.03,11.31,3.91,14.91,34.40,1
103,5.64,11.23,4.44,16.91,32.19,5
105,8.52,18.12,4.46,18.91,29.73,5
107,10.14,29.35,5.33,20.91,27.86,5
109,10.14,29.35,4.90,22.91,26.07,5
111,13.21,35.61,5.14,24.91,24.02,5
113,14.62,36.02,5.72,26.91,25.31,4
115,14.98,36.02,6.25,28.91,29.71,4
117,16.32,41.39,6.85,30.91,33.91,4
119,16.00,42.82,4.75,21.11,34.80,4
121,10.70,42.82,3.45,22.63,33.14,4
123,11.32,42.82,4.06,24.63,28.54,2
125,12.83,48.45,3.66,26.63,24.44,2
127,14.36,48.80,4.06,26.22,20.18,2
129,17.33,57.36,5.07,28.22,17.41,2
131,21.40,61.09,5.92,28.50,14.56,2
133,22.33,62.19,6.65,27.82,15.39,5
135,27.29,71.77,7.93,31.21,21.52,5
137,27.87,74.37,9.25,33.21,27.75,5
139,27.43,74.17,8.87,35.21,30.29,5
141,15.20,48.27,9.69,37.21,31.30,5
143,10.55,26.14,10.71,39.21,29.30,7
145,12.44,31.72,11.04,41.21,31.40,7
147,13.39,37.74,9.71,35.85,30.60,7
149,14.89,54.03,10.63,37.85,29.70,7
151,16.95,61.49,8.93,34.86,23.95,7
153,19.41,67.05,10.00,36.86,18.38,1
155,22.22,71.57,11.11,38.86,18.03,1
157,27.72,80.99,12.44,40.86,18.54,1
159,29.06,81.35,13.64,42.86,17.34,1
161,28.36,89.46,14.71,44.86,17.88,1
163,29.56,92.09,15.60,46.86,15.25,6
165,31.55,90.44,16.25,48.86,16.44,6
167,30.38,86.10,17.43,50.86,17.69,6
169,31.75,91.56,16.04,43.33,17.59,6
171,35.13,105.09,14.16,41.31,16.08,6
173,38.99,120.51,14.16,39.20,16.46,6
175,43.88,133.34,13.63,34.54,16.27,6
177,47.55,148.26,14.59,36.54,15.18,6
179,48.83,153.36,15.46,38.54,15.67,6
181,48.81,153.30,16.87,40.54,17.23,6
183,51.94,153.96,17.61,42.54,15.30,5
185,54.71,164.45,17.07,44.54,16.49,5
187,56.64,172.11,18.57,46.54,18.34,5
189,56.39,171.39,19.19,48.54,20.07,5
191,51.55,176.78,19.44,50.54,18.56,5
193,53.90,186.20,19.82,52.54,18.06,6
195,55.53,192.71,19.99,54.54,18.29,6
197,57.08,196.14,20.87,56.54,17.97,6
